note,pitch,chord,bar,mapped voice,cost,category
0,64,0,1 5/8,0,n/a,ornamentation
1,66,1,1 11/16,0,n/a,ornamentation
2,67,2,1 3/4,0,n/a,ornamentation
3,66,3,1 13/16,0,n/a,ornamentation
4,64,4,1 7/8,0,n/a,ornamentation
5,66,5,1 15/16,0,n/a,ornamentation
7,67,7,2 1/2,1,0,repetition
9,66,8,3,1,1,ficta
12,69,10,3 5/8,0,n/a,ornamentation
13,70,11,3 3/4,0,n/a,ornamentation
14,72,12,3 7/8,0,n/a,ornamentation
16,67,13,4,1,0,repetition
21,74,15,4 1/2,0,0,repetition
27,66,19,5 1/4,1,2,ficta
31,57,21,5 5/8,2,n/a,ornamentation
32,58,22,5 3/4,2,n/a,ornamentation
33,60,23,5 7/8,2,n/a,ornamentation
37,67,25,6 1/8,0,n/a,ornamentation
39,70,27,6 3/8,3,n/a,ornamentation
41,69,29,6 5/8,0,n/a,ornamentation
44,51,32,7,3,2,ficta
47,55,33,7 1/4,3,3,other
51,67,35,7 5/8,0,n/a,ornamentation
52,53,36,7 3/4,3,3,other
53,69,36,7 3/4,0,4,other
54,55,37,7 7/8,3,n/a,ornamentation
57,69,39,8 1/8,0,n/a,ornamentation
59,70,41,8 3/8,3,n/a,ornamentation
60,53,42,8 1/2,3,4,other
61,72,43,8 5/8,0,n/a,ornamentation
64,46,46,9,2,16,other
67,60,47,9 1/4,2,2,other
69,62,48,9 3/8,2,0,repetition
70,55,49,9 1/2,3,0,repetition
75,51,51,10,3,2,ficta
89,59,60,11 1/8,1,n/a,ornamentation
90,60,61,11 1/4,1,n/a,ornamentation
92,60,63,11 1/2,2,0,repetition
97,64,67,12 1/8,0,0,repetition
105,64,72,13 1/8,1,n/a,ornamentation
107,60,74,13 3/8,1,n/a,ornamentation
109,62,75,13 1/2,1,0,repetition
110,69,75,13 1/2,0,0,repetition
112,62,77,13 3/4,1,2,other
115,51,79,14,3,2,ficta
118,57,80,14 1/8,1,n/a,ornamentation
119,58,81,14 1/4,1,n/a,ornamentation
120,55,82,14 3/8,1,n/a,ornamentation
124,55,84,14 5/8,1,n/a,ornamentation
125,57,85,14 3/4,1,n/a,ornamentation
129,70,88,15 1/8,0,n/a,ornamentation
131,62,90,15 3/8,1,n/a,ornamentation
132,57,91,15 1/2,3,0,repetition
134,72,91,15 1/2,0,0,repetition
135,53,92,15 3/4,2,0,repetition
137,46,94,16,1,19,other
154,51,103,17 1/2,3,1,ficta
157,60,104,17 5/8,1,n/a,ornamentation
158,62,105,17 3/4,1,0,repetition
159,60,106,17 13/16,1,n/a,ornamentation
160,59,107,17 7/8,1,n/a,ornamentation
161,60,108,17 15/16,1,n/a,ornamentation
164,64,110,18 1/8,0,n/a,ornamentation
166,67,112,18 3/8,0,n/a,ornamentation
167,50,113,18 1/2,3,0,repetition
168,65,113,18 1/2,0,0,repetition
185,62,123,19 3/4,1,2,other
186,67,123,19 3/4,0,0,repetition
189,51,126,20 1/4,3,4,ficta
192,48,127,20 3/8,3,4,other
200,58,131,21 1/4,3,3,other
201,55,132,21 1/2,3,0,repetition
202,62,132,21 1/2,1,0,repetition
203,67,132,21 1/2,0,0,repetition
210,72,138,22 3/4,0,n/a,ornamentation
211,70,139,22 7/8,0,n/a,ornamentation
215,60,141,23 1/4,3,n/a,ornamentation
216,58,142,23 3/8,3,n/a,ornamentation
232,69,153,25 1/4,0,n/a,ornamentation
233,67,154,25 3/8,0,n/a,ornamentation
235,60,155,25 1/2,3,3,other
237,64,156,25 5/8,1,n/a,ornamentation
238,62,157,25 3/4,1,n/a,ornamentation
239,60,158,25 7/8,1,n/a,ornamentation
243,69,160,26 1/4,0,n/a,ornamentation
244,67,161,26 3/8,0,n/a,ornamentation
245,55,162,26 1/2,3,0,repetition
246,58,162,26 1/2,1,0,repetition
247,67,162,26 1/2,0,0,repetition
253,62,166,27 1/8,2,0,repetition
254,65,166,27 1/8,0,4,other
256,51,168,27 1/2,3,1,ficta
265,67,172,28 1/8,0,n/a,ornamentation
266,65,173,28 1/4,0,n/a,ornamentation
267,64,174,28 3/8,0,n/a,ornamentation
268,50,175,28 1/2,3,0,repetition
269,65,175,28 1/2,0,0,repetition
273,62,178,29 1/8,1,n/a,ornamentation
274,64,179,29 1/4,1,n/a,ornamentation
276,60,181,29 1/2,2,0,repetition
279,62,183,29 3/4,2,2,other
286,66,188,30 5/8,1,n/a,ornamentation
287,67,189,30 3/4,1,0,repetition
288,66,190,30 13/16,1,n/a,ornamentation
289,64,191,30 7/8,1,n/a,ornamentation
290,66,192,30 15/16,1,n/a,ornamentation
295,55,195,31 1/2,0,n/a,ornamentation
301,69,200,32 1/8,0,n/a,ornamentation
304,70,203,32 5/8,0,n/a,ornamentation
310,67,207,33 1/8,0,n/a,ornamentation
312,53,209,33 1/2,2,2,other
313,65,209,33 1/2,1,3,other
314,69,209,33 1/2,0,0,repetition
329,62,220,35 1/8,1,n/a,ornamentation
330,60,221,35 1/4,1,n/a,ornamentation
331,59,222,35 3/8,1,n/a,ornamentation
334,64,224,35 5/8,1,n/a,ornamentation
335,62,225,35 3/4,1,n/a,ornamentation
336,60,226,35 7/8,1,n/a,ornamentation
340,69,228,36 1/4,0,n/a,ornamentation
341,67,229,36 3/8,0,n/a,ornamentation
342,55,230,36 1/2,3,0,repetition
343,58,230,36 1/2,1,0,repetition
345,67,230,36 1/2,0,0,repetition
351,69,233,37,0,0,repetition
363,55,240,38 1/4,3,5,other
373,67,246,39 1/8,0,2,other
377,60,248,39 1/2,2,0,repetition
386,51,253,40 1/4,3,4,ficta
394,62,256,41,1,0,repetition
396,69,257,41 1/8,0,n/a,ornamentation
397,67,258,41 1/4,1,5,other
398,70,258,41 1/4,0,3,other
399,72,259,41 1/2,0,5,other
400,70,260,41 5/8,1,n/a,ornamentation
401,69,261,41 3/4,1,n/a,ornamentation
402,67,262,41 7/8,1,n/a,ornamentation
403,66,263,42,1,1,ficta
405,70,264,42 1/8,0,n/a,ornamentation
406,72,265,42 1/4,0,n/a,ornamentation
407,69,266,42 3/8,0,n/a,ornamentation
409,69,268,42 5/8,0,n/a,ornamentation
410,70,269,42 3/4,0,n/a,ornamentation
411,72,270,42 7/8,0,n/a,ornamentation
413,67,271,43,1,0,repetition
418,74,273,43 1/2,0,0,repetition
424,66,277,44 1/4,1,2,ficta
428,57,279,44 5/8,2,n/a,ornamentation
429,58,280,44 3/4,2,n/a,ornamentation
430,60,281,44 7/8,2,n/a,ornamentation
434,67,283,45 1/8,0,n/a,ornamentation
436,70,285,45 3/8,3,n/a,ornamentation
437,50,286,45 1/2,3,0,repetition
438,69,287,45 5/8,0,n/a,ornamentation
441,51,290,46,3,2,ficta
444,55,291,46 1/4,3,3,other
448,64,293,46 5/8,1,n/a,ornamentation
449,65,294,46 3/4,1,n/a,ornamentation
450,67,295,46 7/8,1,n/a,ornamentation
453,70,297,47 1/8,0,n/a,ornamentation
455,70,299,47 3/8,3,n/a,ornamentation
456,53,300,47 1/2,3,4,other
457,72,301,47 5/8,0,n/a,ornamentation
462,60,305,48 1/4,2,2,other
464,62,306,48 3/8,2,0,repetition
465,55,307,48 1/2,3,0,repetition
470,51,309,49,3,2,ficta
472,67,310,49 1/8,0,2,other
483,47,318,50 1/8,1,n/a,ornamentation
484,60,319,50 1/4,1,n/a,ornamentation
486,60,321,50 1/2,2,0,repetition
492,64,325,51 1/8,0,0,repetition
499,64,330,52 1/8,1,n/a,ornamentation
501,60,332,52 3/8,1,n/a,ornamentation
503,62,333,52 1/2,1,0,repetition
504,69,333,52 1/2,0,0,repetition
508,51,337,53,3,2,ficta
511,57,338,53 1/8,1,n/a,ornamentation
512,58,339,53 1/4,1,n/a,ornamentation
513,55,340,53 3/8,1,n/a,ornamentation
516,55,342,53 5/8,1,n/a,ornamentation
517,57,343,53 3/4,1,n/a,ornamentation
521,70,346,54 1/8,0,n/a,ornamentation
523,62,348,54 3/8,1,n/a,ornamentation
524,57,349,54 1/2,3,0,repetition
526,72,349,54 1/2,0,0,repetition
527,53,350,54 3/4,2,0,repetition
546,51,361,56 1/2,3,1,ficta
549,60,362,56 5/8,1,n/a,ornamentation
550,62,363,56 3/4,1,0,repetition
551,60,364,56 13/16,1,n/a,ornamentation
552,59,365,56 7/8,1,n/a,ornamentation
553,60,366,56 15/16,1,n/a,ornamentation
556,64,368,57 1/8,0,n/a,ornamentation
558,67,370,57 3/8,0,n/a,ornamentation
559,50,371,57 1/2,3,0,repetition
560,65,371,57 1/2,0,0,repetition
576,62,381,58 3/4,1,2,other
577,67,381,58 3/4,0,0,repetition
580,51,384,59 1/4,3,4,ficta
583,48,385,59 3/8,3,4,other
589,62,388,60,1,0,repetition
592,55,390,60 1/2,3,0,repetition
594,67,390,60 1/2,0,0,repetition
596,55,392,61,3,0,repetition
597,63,393,61 1/8,1,1,other
598,67,393,61 1/8,0,0,repetition
599,62,394,61 1/4,1,n/a,ornamentation
600,60,395,61 3/8,1,n/a,ornamentation
