note,pitch,chord,bar,mapped voice,cost,category
7,50,7,10 5/4,1,n/a,ornamentation
8,52,8,10 3/2,1,0,repetition
14,52,13,12,1,0,repetition
20,57,17,12 5/4,0,n/a,ornamentation
21,59,18,12 3/2,0,0,repetition
23,55,20,13 3/4,1,n/a,ornamentation
26,54,22,13 7/4,1,2,ficta
28,59,23,14,0,0,repetition
30,61,24,14 1/2,0,2,ficta
33,62,26,14 3/2,1,n/a,ornamentation
34,55,27,14 7/4,1,n/a,ornamentation
37,50,29,15 1/4,1,n/a,ornamentation
38,52,30,15 1/2,1,0,repetition
47,54,38,16 7/4,1,2,ficta
78,56,59,20 5/4,0,n/a,ornamentation
79,54,60,20 11/8,0,n/a,ornamentation
80,57,61,20 3/2,0,0,repetition
81,56,62,20 7/4,0,n/a,ornamentation
84,45,64,21 1/1,1,0,repetition
85,57,64,21 1/1,0,0,repetition
86,57,65,22,0,0,repetition
89,57,67,22 1/1,0,0,repetition
93,53,71,23 1/1,1,0,repetition
102,60,76,24 1/1,0,0,repetition
108,55,81,25 1/1,1,0,repetition
115,59,85,26 1/2,0,3,other
117,62,86,26 1/1,0,0,repetition
131,56,97,28 1/1,0,1,ficta
135,57,99,29,0,0,repetition
139,48,103,30,1,0,repetition
148,55,108,31,0,0,repetition
163,50,118,32 5/4,1,n/a,ornamentation
170,53,125,35,1,0,repetition
179,60,130,36,0,0,repetition
183,54,133,36 3/4,1,2,ficta
194,55,140,37 5/4,1,n/a,ornamentation
197,55,143,38 1/1,1,0,repetition
200,55,145,39,0,0,repetition
204,55,149,40,1,0,repetition
212,64,153,40 3/2,0,2,other
214,62,154,41,0,0,repetition
226,59,161,42 1/2,1,1,other
227,57,162,42 3/4,1,0,repetition
232,57,166,43 1/1,1,0,repetition
235,57,168,44,0,0,repetition
239,48,172,45,1,0,repetition
248,55,177,46,0,0,repetition
263,50,187,47 5/4,1,n/a,ornamentation
