note,pitch,chord,bar,mapped voice,cost,category
5,62,2,1 11/8,1,n/a,ornamentation
6,64,3,1 3/2,1,0,repetition
10,67,5,2 3/8,0,n/a,ornamentation
11,69,6,2 1/2,0,0,repetition
15,65,8,2 11/8,0,n/a,ornamentation
16,67,9,2 3/2,0,n/a,ornamentation
17,65,10,2 13/8,0,n/a,ornamentation
18,64,11,2 7/4,0,n/a,ornamentation
19,62,12,2 15/8,0,n/a,ornamentation
27,64,14,3 1/1,0,0,repetition
31,53,16,4 3/4,3,n/a,ornamentation
35,47,18,4 3/2,4,1,other
36,62,18,4 3/2,1,2,other
49,47,24,6 3/4,4,1,other
53,64,25,6 1/1,1,0,repetition
54,57,26,7,3,0,repetition
55,61,26,7,2,1,ficta
56,64,26,7,1,0,repetition
65,61,30,8,1,3,ficta
72,62,34,8 5/4,0,n/a,ornamentation
85,54,40,10,3,3,ficta
102,67,48,11 1/1,0,0,repetition
105,48,51,12,4,0,repetition
107,64,51,12,1,0,repetition
113,71,53,12 5/4,0,n/a,ornamentation
114,69,54,12 3/2,0,n/a,ornamentation
115,67,55,12 7/4,0,n/a,ornamentation
117,57,56,13,2,0,repetition
121,53,57,13 1/1,2,4,other
123,65,57,13 1/1,1,0,repetition
128,57,59,14,3,0,repetition
131,67,60,14 1/2,0,2,other
132,53,61,14 1/1,4,0,repetition
135,65,61,14 1/1,0,4,other
136,58,62,14 5/4,3,n/a,ornamentation
137,57,63,14 3/2,3,0,repetition
139,53,64,15,2,0,repetition
146,58,66,15 1/1,3,0,repetition
150,50,68,16,4,2,other
153,55,70,16 1/2,3,0,repetition
156,48,72,16 1/1,2,2,other
157,55,73,16 5/4,3,n/a,ornamentation
158,54,74,16 3/2,3,0,repetition
162,43,76,17 1/1,4,0,repetition
163,50,76,17 1/1,2,0,repetition
164,55,76,17 1/1,3,0,repetition
168,67,77,18,0,2,other
169,62,78,18 1/2,1,0,repetition
173,67,80,18 3/2,0,0,repetition
181,65,84,19 7/4,0,n/a,ornamentation
186,55,86,20 1/2,3,0,repetition
190,64,87,20 1/1,0,0,repetition
196,55,90,21 1/1,3,0,repetition
197,60,90,21 1/1,2,5,other
200,52,91,21 3/2,3,0,repetition
201,67,91,21 3/2,0,0,repetition
204,71,93,22 3/8,0,n/a,ornamentation
207,53,94,22 1/2,3,0,repetition
208,72,94,22 1/2,0,3,other
209,65,95,22 3/4,3,n/a,ornamentation
213,67,97,22 5/4,0,n/a,ornamentation
215,60,98,22 3/2,1,4,other
216,69,98,22 3/2,0,4,other
228,71,103,23 7/4,0,1,other
230,53,104,24,3,4,other
231,57,104,24,2,0,repetition
240,69,108,24 1/1,0,0,repetition
244,57,111,25,3,0,repetition
246,64,111,25,2,0,repetition
249,65,112,25 1/2,3,8,other
256,57,115,25 3/2,3,0,repetition
266,62,120,26 1/1,1,0,repetition
267,66,120,26 1/1,0,2,ficta
271,50,124,27,4,0,repetition
275,59,125,27 1/2,2,2,ficta
277,50,126,27 1/1,4,0,repetition
279,67,127,27 5/4,0,n/a,ornamentation
284,62,129,28,2,0,repetition
301,60,138,29 5/4,2,n/a,ornamentation
321,57,149,31 5/4,3,n/a,ornamentation
322,56,150,31 3/2,3,1,other
328,57,153,32 1/1,3,0,repetition
346,62,162,34 1/1,1,0,repetition
352,47,167,35 1/1,4,1,ficta
358,43,170,36 1/2,4,0,repetition
360,55,170,36 1/2,3,0,repetition
366,52,172,36 3/2,2,0,repetition
367,61,172,36 3/2,1,2,ficta
377,61,176,37 3/2,1,2,ficta
378,64,176,37 3/2,0,3,other
383,50,178,38 1/2,2,0,repetition
385,62,178,38 1/2,1,0,repetition
389,45,180,38 3/2,4,0,repetition
390,54,181,38 7/4,3,1,other
395,50,184,39 3/4,3,n/a,ornamentation
399,54,186,39 3/2,3,2,ficta
418,61,192,41 1/2,1,2,ficta
452,62,212,45 5/4,1,n/a,ornamentation
455,64,213,45 3/2,0,0,repetition
467,47,219,47,4,1,ficta
468,50,219,47,2,2,other
472,48,222,47 1/1,2,2,other
473,55,223,47 5/4,3,n/a,ornamentation
479,62,226,48 1/1,1,0,repetition
480,74,226,48 1/1,0,0,repetition
481,72,227,48 3/2,0,2,other
483,50,228,49,3,5,other
487,43,229,49 1/1,4,0,repetition
488,55,229,49 1/1,3,0,repetition
489,62,229,49 1/1,1,0,repetition
490,71,229,49 1/1,0,0,repetition
497,52,231,50 1/1,4,4,other
498,55,231,50 1/1,3,0,repetition
499,64,231,50 1/1,1,0,repetition
500,72,231,50 1/1,0,0,repetition
501,54,232,50 3/2,3,1,other
507,43,234,51 1/1,4,0,repetition
508,50,234,51 1/1,2,0,repetition
509,55,234,51 1/1,3,0,repetition
510,62,234,51 1/1,1,0,repetition
511,71,234,51 1/1,0,0,repetition
516,50,237,52 1/1,4,0,repetition
517,53,237,52 1/1,2,0,repetition
518,57,237,52 1/1,3,0,repetition
527,71,239,53 1/1,0,0,repetition
530,55,240,54,3,0,repetition
532,72,240,54,0,5,other
534,52,241,54 1/1,4,4,other
536,64,241,54 1/1,1,0,repetition
537,72,241,54 1/1,0,5,other
538,71,242,54 11/8,1,n/a,ornamentation
539,69,243,54 3/2,1,n/a,ornamentation
540,67,244,54 13/8,1,n/a,ornamentation
541,65,245,54 7/4,1,n/a,ornamentation
542,64,246,54 15/8,1,n/a,ornamentation
546,45,248,55 3/4,4,n/a,ornamentation
548,50,249,55 1/1,2,0,repetition
550,62,249,55 1/1,1,0,repetition
555,62,251,56,1,0,repetition
556,67,251,56,0,0,repetition
560,57,254,56 1/1,3,0,repetition
561,62,254,56 1/1,1,0,repetition
563,67,255,56 5/4,1,n/a,ornamentation
564,50,256,56 3/2,4,0,repetition
565,57,256,56 3/2,3,0,repetition
566,62,256,56 3/2,1,0,repetition
567,66,257,56 7/4,0,n/a,ornamentation
571,62,258,57,1,0,repetition
