note,pitch,chord,bar,mapped voice,cost,category
1,66,1,1 1/8,0,n/a,ornamentation
2,64,2,1 1/4,0,n/a,ornamentation
3,62,3,1 3/8,0,n/a,ornamentation
4,60,4,1 1/2,0,n/a,ornamentation
5,59,5,1 9/16,0,n/a,ornamentation
6,60,6,1 5/8,0,n/a,ornamentation
7,62,7,1 11/16,0,n/a,ornamentation
8,64,8,1 3/4,0,n/a,ornamentation
9,66,9,1 13/16,0,n/a,ornamentation
10,67,10,1 7/8,0,n/a,ornamentation
11,69,11,1 15/16,0,n/a,ornamentation
12,67,12,1 1/1,1,0,repetition
14,69,13,1 5/4,1,n/a,ornamentation
15,70,14,1 11/8,1,n/a,ornamentation
16,72,15,1 3/2,1,n/a,ornamentation
17,70,16,1 13/8,1,n/a,ornamentation
18,72,17,1 7/4,1,n/a,ornamentation
19,70,18,1 29/16,1,n/a,ornamentation
20,69,19,1 15/8,1,n/a,ornamentation
21,67,20,1 31/16,1,n/a,ornamentation
22,66,21,2,1,1,ficta
24,67,22,2 1/8,1,n/a,ornamentation
25,66,23,2 1/4,1,n/a,ornamentation
26,64,24,2 3/8,1,n/a,ornamentation
27,67,25,2 1/2,1,n/a,ornamentation
28,66,26,2 5/8,1,n/a,ornamentation
29,67,27,2 3/4,1,n/a,ornamentation
30,66,28,2 13/16,1,n/a,ornamentation
31,64,29,2 7/8,1,n/a,ornamentation
32,66,30,2 15/16,1,n/a,ornamentation
34,66,32,2 9/8,0,n/a,ornamentation
35,67,33,2 5/4,0,n/a,ornamentation
36,69,34,2 11/8,0,n/a,ornamentation
37,70,35,2 3/2,0,n/a,ornamentation
38,69,36,2 13/8,0,n/a,ornamentation
39,70,37,2 7/4,0,n/a,ornamentation
40,72,38,2 15/8,0,n/a,ornamentation
42,67,39,3,1,0,repetition
47,74,41,3 1/1,0,0,repetition
51,67,44,4,1,5,other
53,66,45,4 1/4,1,n/a,ornamentation
54,64,46,4 3/8,1,n/a,ornamentation
55,67,47,4 1/2,1,3,other
56,66,48,4 5/8,1,n/a,ornamentation
57,67,49,4 3/4,1,n/a,ornamentation
58,66,50,4 13/16,1,n/a,ornamentation
59,64,51,4 7/8,1,n/a,ornamentation
60,66,52,4 15/16,1,n/a,ornamentation
64,69,54,4 5/4,0,n/a,ornamentation
65,70,55,4 11/8,0,n/a,ornamentation
66,72,56,4 3/2,0,n/a,ornamentation
67,70,57,4 13/8,0,n/a,ornamentation
68,72,58,4 7/4,0,n/a,ornamentation
69,70,59,4 29/16,0,n/a,ornamentation
70,69,60,4 15/8,0,n/a,ornamentation
71,67,61,4 31/16,0,n/a,ornamentation
74,69,62,5,0,1,other
75,64,63,5 1/8,0,n/a,ornamentation
76,65,64,5 1/4,0,n/a,ornamentation
77,67,65,5 3/8,0,n/a,ornamentation
79,67,67,5 5/8,0,n/a,ornamentation
80,69,68,5 3/4,0,n/a,ornamentation
81,70,69,5 7/8,0,n/a,ornamentation
83,65,70,5 1/1,1,0,repetition
84,69,70,5 1/1,0,0,repetition
85,64,71,5 5/4,0,n/a,ornamentation
86,65,72,5 11/8,0,n/a,ornamentation
88,65,74,5 13/8,0,n/a,ornamentation
89,67,75,5 7/4,0,0,repetition
90,65,76,5 29/16,1,n/a,ornamentation
91,64,77,5 15/8,1,n/a,ornamentation
92,62,78,5 31/16,1,n/a,ornamentation
96,59,80,6 1/4,1,n/a,ornamentation
97,60,81,6 3/8,1,n/a,ornamentation
98,62,82,6 1/2,1,n/a,ornamentation
99,60,83,6 5/8,1,n/a,ornamentation
100,62,84,6 3/4,1,n/a,ornamentation
101,60,85,6 13/16,1,n/a,ornamentation
102,59,86,6 7/8,1,n/a,ornamentation
103,60,87,6 15/16,1,n/a,ornamentation
