note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/2,1,0,repetition
2,66,2,1 11/16,1,n/a,ornamentation
3,67,3,1 3/4,1,0,repetition
4,66,4,1 13/16,1,n/a,ornamentation
5,67,5,1 7/8,1,n/a,ornamentation
6,66,6,1 29/32,1,n/a,ornamentation
7,64,7,1 15/16,1,n/a,ornamentation
8,66,8,1 31/32,1,n/a,ornamentation
14,67,13,2 1/2,1,0,repetition
15,74,13,2 1/2,0,0,repetition
18,74,15,2 3/4,0,0,repetition
19,72,16,2 13/16,0,n/a,ornamentation
20,74,17,2 7/8,0,n/a,ornamentation
21,72,18,2 29/32,0,n/a,ornamentation
22,71,19,2 15/16,0,n/a,ornamentation
23,72,20,2 31/32,0,n/a,ornamentation
28,60,23,3,1,0,repetition
32,72,25,3 1/4,0,0,repetition
33,71,26,3 5/16,0,n/a,ornamentation
34,72,27,3 3/8,0,0,repetition
35,71,28,3 13/32,0,n/a,ornamentation
36,69,29,3 7/16,0,n/a,ornamentation
37,67,30,3 15/32,0,n/a,ornamentation
40,67,32,3 5/8,0,n/a,ornamentation
41,69,33,3 3/4,0,0,repetition
42,67,34,3 13/16,1,n/a,ornamentation
43,66,35,3 7/8,1,n/a,ornamentation
44,67,36,3 15/16,1,n/a,ornamentation
45,67,37,3 1/1,1,0,repetition
48,64,39,3 19/16,1,n/a,ornamentation
49,67,40,3 5/4,1,1,other
50,66,41,3 21/16,1,n/a,ornamentation
51,67,42,3 11/8,1,1,other
52,66,43,3 45/32,1,n/a,ornamentation
53,64,44,3 23/16,1,n/a,ornamentation
54,66,45,3 47/32,1,n/a,ornamentation
57,67,47,4 1/4,1,0,repetition
60,55,49,4 1/2,3,0,repetition
62,71,49,4 1/2,0,0,repetition
63,69,50,4 9/16,0,n/a,ornamentation
64,71,51,4 5/8,0,0,repetition
65,72,52,4 11/16,0,n/a,ornamentation
77,55,58,5 1/2,3,0,repetition
78,62,58,5 1/2,2,0,repetition
86,48,63,6,3,0,repetition
90,60,65,6 1/4,2,0,repetition
94,55,68,6 5/8,2,n/a,ornamentation
95,57,69,6 3/4,2,0,repetition
96,55,70,6 13/16,2,n/a,ornamentation
97,54,71,6 7/8,2,n/a,ornamentation
98,55,72,6 15/16,2,n/a,ornamentation
100,55,74,6 17/16,2,n/a,ornamentation
101,57,75,6 9/8,2,0,repetition
102,55,76,6 37/32,3,n/a,ornamentation
103,54,77,6 19/16,3,n/a,ornamentation
104,52,78,6 39/32,3,n/a,ornamentation
105,55,79,6 5/4,3,1,other
106,54,80,6 21/16,3,n/a,ornamentation
108,54,82,6 23/16,3,n/a,ornamentation
