note,pitch,chord,bar,mapped voice,cost,category
2,62,2,1 1/1,0,n/a,ornamentation
6,62,6,1 2/1,1,0,repetition
9,61,8,2,1,1,ficta
12,61,10,2 1/1,1,1,other
13,64,10,2 1/1,0,0,repetition
15,49,12,2 3/2,3,2,ficta
18,61,14,2 2/1,1,1,other
19,64,14,2 2/1,0,0,repetition
24,46,18,3 1/1,3,0,repetition
25,62,18,3 1/1,1,0,repetition
29,62,22,3 2/1,1,0,repetition
32,61,24,4,1,1,ficta
35,61,26,4 1/1,1,1,other
36,64,26,4 1/1,0,0,repetition
38,49,28,4 3/2,3,2,ficta
41,61,30,4 2/1,1,1,other
42,64,30,4 2/1,0,0,repetition
48,62,34,5 1/1,0,n/a,ornamentation
62,50,43,6 1/1,0,n/a,ornamentation
66,50,47,6 2/1,3,0,repetition
67,65,47,6 2/1,1,0,repetition
70,60,49,7,3,10,other
73,59,51,7 3/4,0,n/a,ornamentation
74,60,52,7 1/1,0,n/a,ornamentation
80,66,55,7 7/4,1,2,ficta
82,64,56,7 2/1,1,0,repetition
90,62,60,8 1/1,0,n/a,ornamentation
101,62,67,9,1,0,repetition
110,50,73,9 2/1,2,0,repetition
112,62,73,9 2/1,1,0,repetition
121,48,77,10 1/1,2,0,repetition
122,64,77,10 1/1,0,0,repetition
128,48,81,10 2/1,2,0,repetition
134,55,83,10 11/4,1,n/a,ornamentation
137,52,85,11 1/4,1,n/a,ornamentation
139,57,86,11 1/2,2,7,other
140,65,86,11 1/2,0,0,repetition
146,50,91,11 2/1,2,0,repetition
148,62,91,11 2/1,1,0,repetition
157,48,95,12 1/1,2,0,repetition
158,64,95,12 1/1,0,0,repetition
164,48,99,12 2/1,2,0,repetition
177,57,103,13 3/4,1,n/a,ornamentation
178,58,104,13 1/1,1,n/a,ornamentation
195,62,112,14 1/2,0,7,other
197,64,113,14 3/4,1,n/a,ornamentation
199,65,114,14 1/1,1,0,repetition
206,53,118,14 2/1,2,0,repetition
217,61,121,15 1/2,0,6,ficta
218,59,122,15 3/4,0,n/a,ornamentation
219,61,123,15 1/1,0,1,ficta
226,66,126,15 7/4,0,2,ficta
240,57,131,16 3/4,1,n/a,ornamentation
241,58,132,16 1/1,1,n/a,ornamentation
257,54,139,17,2,4,ficta
258,62,139,17,1,7,other
