note,pitch,chord,bar,mapped voice,cost,category
1,58,1,1 1/1,2,0,repetition
4,58,3,1 2/1,2,0,repetition
7,55,5,2 1/1,2,0,repetition
10,55,7,2 2/1,2,0,repetition
17,57,12,3 1/1,2,0,repetition
20,57,14,3 2/1,2,0,repetition
21,60,14,3 2/1,1,0,repetition
23,62,15,3 9/4,1,n/a,ornamentation
24,64,16,3 5/2,1,n/a,ornamentation
25,66,17,3 11/4,1,n/a,ornamentation
30,64,21,4 7/8,1,n/a,ornamentation
43,67,28,5 1/2,0,0,repetition
44,57,29,5 3/4,1,n/a,ornamentation
45,58,30,5 1/1,1,3,other
48,63,31,5 3/2,2,0,repetition
50,63,32,5 2/1,2,0,repetition
62,57,39,6 2/1,1,0,repetition
63,60,39,6 2/1,2,0,repetition
64,71,40,6 9/4,0,1,ficta
72,62,44,7 1/1,0,n/a,ornamentation
76,71,46,7 3/2,0,1,ficta
79,62,48,7 2/1,2,0,repetition
80,71,48,7 2/1,0,2,ficta
81,54,49,7 9/4,1,1,ficta
89,60,53,8 1/1,2,0,repetition
93,57,55,8 2/1,1,0,repetition
94,60,55,8 2/1,2,0,repetition
104,65,62,9 1/1,2,0,repetition
108,62,64,9 2/1,0,0,repetition
109,65,64,9 2/1,2,0,repetition
115,62,68,10 1/1,2,0,repetition
116,74,68,10 1/1,0,0,repetition
117,54,69,10 5/4,1,1,ficta
119,62,70,10 3/2,2,0,repetition
125,70,74,10 5/2,0,0,repetition
132,60,79,11 1/1,3,0,repetition
133,64,79,11 1/1,2,0,repetition
139,64,81,11 2/1,2,0,repetition
148,62,87,12 1/1,1,n/a,ornamentation
149,54,88,12 5/4,1,1,ficta
151,62,89,12 3/2,2,0,repetition
157,70,93,12 5/2,0,0,repetition
160,64,95,13,3,9,other
161,67,95,13,0,3,other
164,58,97,13 3/4,3,1,other
166,60,98,13 1/1,2,0,repetition
170,60,100,13 2/1,2,0,repetition
172,52,101,13 9/4,1,n/a,ornamentation
174,52,103,13 11/4,1,n/a,ornamentation
179,57,106,14 1/1,2,0,repetition
180,62,107,14 5/4,0,n/a,ornamentation
181,64,108,14 11/8,0,n/a,ornamentation
185,57,110,14 2/1,2,0,repetition
188,65,111,14 5/2,0,0,repetition
193,58,114,15 1/1,2,0,repetition
195,62,114,15 1/1,1,0,repetition
198,58,116,15 2/1,2,0,repetition
199,62,116,15 2/1,1,0,repetition
201,58,118,15 5/2,2,0,repetition
210,57,123,16 1/1,2,0,repetition
213,64,124,16 5/4,1,1,other
215,65,125,16 3/2,1,0,repetition
225,59,131,17,1,1,ficta
228,43,133,17 1/1,3,0,repetition
230,57,134,17 5/4,2,1,other
231,58,135,17 3/2,2,0,repetition
233,60,136,17 7/4,2,2,other
237,64,138,17 9/4,0,2,other
239,65,139,17 5/2,0,3,other
241,62,140,17 11/4,1,0,repetition
247,62,143,18 3/4,1,n/a,ornamentation
249,50,145,18 5/4,3,2,other
250,66,145,18 5/4,0,1,ficta
251,52,146,18 3/2,2,3,other
253,53,147,18 7/4,2,2,other
256,55,148,18 2/1,2,0,repetition
258,71,148,18 2/1,0,2,ficta
261,71,151,18 11/4,0,3,ficta
268,57,154,19 1/1,2,0,repetition
279,71,159,19 9/4,0,2,ficta
286,62,162,20,2,5,other
289,55,164,20 1/1,3,0,repetition
290,58,164,20 1/1,1,0,repetition
291,66,165,20 5/4,0,1,ficta
297,71,168,20 2/1,0,2,ficta
300,71,171,20 11/4,0,3,ficta
302,55,172,21,2,0,repetition
305,59,173,21 1/4,1,n/a,ornamentation
306,60,174,21 1/2,1,n/a,ornamentation
307,62,175,21 3/4,1,n/a,ornamentation
308,48,176,21 1/1,3,0,repetition
309,55,176,21 1/1,2,0,repetition
311,65,177,21 5/4,0,n/a,ornamentation
313,65,179,21 7/4,0,n/a,ornamentation
314,67,180,21 2/1,0,0,repetition
315,69,181,21 9/4,0,n/a,ornamentation
316,71,182,21 5/2,0,n/a,ornamentation
317,72,183,21 11/4,0,n/a,ornamentation
319,55,184,22,2,0,repetition
321,71,184,22,0,1,ficta
