note,pitch,chord,bar,mapped voice,cost,category
4,48,3,2 1/8,3,n/a,ornamentation
5,50,4,2 1/4,3,n/a,ornamentation
6,48,5,2 5/16,3,n/a,ornamentation
7,46,6,2 3/8,3,n/a,ornamentation
8,45,7,2 7/16,3,n/a,ornamentation
12,53,9,2 5/8,2,n/a,ornamentation
13,55,10,2 11/16,2,n/a,ornamentation
14,57,11,2 3/4,2,n/a,ornamentation
15,55,12,2 13/16,2,n/a,ornamentation
16,57,13,2 7/8,2,n/a,ornamentation
17,55,14,2 29/32,2,n/a,ornamentation
18,53,15,2 15/16,2,n/a,ornamentation
19,55,16,2 31/32,2,n/a,ornamentation
22,58,18,3 1/8,2,n/a,ornamentation
23,60,19,3 3/16,2,n/a,ornamentation
24,62,20,3 1/4,2,n/a,ornamentation
25,60,21,3 5/16,2,n/a,ornamentation
26,58,22,3 3/8,2,n/a,ornamentation
27,60,23,3 7/16,2,n/a,ornamentation
32,51,26,4,3,1,ficta
43,64,32,5 5/16,0,n/a,ornamentation
44,65,33,5 3/8,0,n/a,ornamentation
45,67,34,5 7/16,0,n/a,ornamentation
50,51,37,6,3,1,ficta
57,60,39,6 3/8,2,n/a,ornamentation
58,58,40,6 13/32,2,n/a,ornamentation
59,57,41,6 7/16,2,n/a,ornamentation
60,58,42,6 15/32,2,n/a,ornamentation
64,67,44,6 5/8,0,n/a,ornamentation
65,65,45,6 11/16,0,n/a,ornamentation
66,64,46,6 3/4,0,n/a,ornamentation
67,65,47,6 13/16,0,n/a,ornamentation
68,67,48,6 7/8,0,n/a,ornamentation
69,69,49,6 15/16,0,n/a,ornamentation
73,45,51,7 1/8,3,n/a,ornamentation
74,46,52,7 3/16,3,n/a,ornamentation
75,48,53,7 1/4,3,n/a,ornamentation
76,50,54,7 5/16,3,n/a,ornamentation
77,51,55,7 3/8,3,n/a,ornamentation
78,53,56,7 7/16,3,n/a,ornamentation
81,58,57,7 1/2,2,0,repetition
82,70,57,7 1/2,0,0,repetition
83,57,58,7 11/16,2,n/a,ornamentation
84,55,59,7 3/4,2,n/a,ornamentation
85,57,60,7 13/16,2,n/a,ornamentation
86,58,61,7 7/8,2,n/a,ornamentation
87,60,62,7 15/16,2,n/a,ornamentation
88,51,63,8,3,0,repetition
89,55,63,8,1,0,repetition
95,58,65,8 1/2,2,0,repetition
96,50,66,8 5/8,3,n/a,ornamentation
97,51,67,8 11/16,3,n/a,ornamentation
98,53,68,8 3/4,3,2,other
99,51,69,8 13/16,3,n/a,ornamentation
100,50,70,8 7/8,3,n/a,ornamentation
101,48,71,8 15/16,3,n/a,ornamentation
113,52,76,9 7/8,1,n/a,ornamentation
114,50,77,9 29/32,1,n/a,ornamentation
115,48,78,9 15/16,1,n/a,ornamentation
116,50,79,9 31/32,1,n/a,ornamentation
128,50,84,11,3,0,repetition
129,53,84,11,1,0,repetition
136,57,87,11 3/8,2,n/a,ornamentation
137,55,88,11 7/16,2,n/a,ornamentation
140,55,90,11 5/8,2,n/a,ornamentation
141,45,91,11 3/4,3,0,repetition
143,55,91,11 3/4,2,1,other
144,54,92,11 7/8,2,n/a,ornamentation
148,60,94,12 1/8,0,n/a,ornamentation
149,62,95,12 3/16,0,n/a,ornamentation
150,64,96,12 1/4,0,n/a,ornamentation
151,65,97,12 5/16,0,n/a,ornamentation
152,67,98,12 3/8,0,n/a,ornamentation
153,69,99,12 7/16,0,n/a,ornamentation
154,55,100,12 1/2,2,0,repetition
167,60,105,13 11/16,1,n/a,ornamentation
168,62,106,13 3/4,1,n/a,ornamentation
169,64,107,13 13/16,1,n/a,ornamentation
170,65,108,13 7/8,1,3,other
171,67,109,13 15/16,1,n/a,ornamentation
176,50,112,14 1/2,3,0,repetition
178,69,112,14 1/2,0,0,repetition
183,62,115,15,1,0,repetition
184,60,116,15 1/8,1,n/a,ornamentation
185,62,117,15 3/16,1,n/a,ornamentation
186,63,118,15 1/4,1,1,other
187,62,119,15 9/32,1,n/a,ornamentation
188,60,120,15 5/16,1,n/a,ornamentation
189,58,121,15 11/32,1,n/a,ornamentation
190,60,122,15 3/8,1,0,repetition
191,58,123,15 13/32,1,n/a,ornamentation
192,57,124,15 7/16,1,n/a,ornamentation
193,55,125,15 15/32,1,n/a,ornamentation
194,50,126,15 1/2,3,0,repetition
