note,pitch,chord,bar,mapped voice,cost,category
1,62,0,1,0,5,other
4,62,1,1 1/1,0,5,other
5,67,1,1 1/1,0,0,repetition
6,54,2,1 5/4,1,1,other
7,55,3,1 3/2,1,0,repetition
11,60,6,2 1/4,1,n/a,ornamentation
12,59,7,2 5/16,1,n/a,ornamentation
13,57,8,2 3/8,1,n/a,ornamentation
14,59,9,2 7/16,1,n/a,ornamentation
16,62,11,2 3/4,1,n/a,ornamentation
17,60,12,2 13/16,1,n/a,ornamentation
18,59,13,2 7/8,1,n/a,ornamentation
19,57,14,2 15/16,1,n/a,ornamentation
21,67,15,2 1/1,0,0,repetition
23,67,17,2 7/4,1,0,repetition
25,67,19,3 1/4,1,0,repetition
26,66,20,3 1/2,1,1,ficta
28,66,22,3 1/1,1,2,ficta
29,69,22,3 1/1,0,0,repetition
32,61,25,4 1/4,1,1,ficta
35,66,28,4 1/1,1,2,ficta
36,69,28,4 1/1,0,0,repetition
38,64,30,4 3/2,0,5,other
40,66,31,4 7/4,1,3,ficta
43,59,32,5,3,4,other
44,62,32,5,1,3,other
47,55,33,5 1/1,3,0,repetition
48,59,33,5 1/1,3,4,other
49,62,33,5 1/1,1,5,other
50,71,33,5 1/1,0,0,repetition
51,43,34,5 3/2,5,0,repetition
55,59,36,6,3,4,other
56,62,36,6,1,5,other
60,55,38,6 1/1,3,0,repetition
61,59,38,6 1/1,3,4,other
62,62,38,6 1/1,1,5,other
63,67,38,6 1/1,0,0,repetition
65,62,40,6 7/4,1,5,other
66,67,40,6 7/4,0,0,repetition
68,55,42,7 1/4,5,0,repetition
69,54,43,7 1/2,5,1,ficta
71,54,45,7 1/1,5,2,ficta
72,57,45,7 1/1,3,0,repetition
75,49,48,8 1/4,5,1,ficta
78,54,51,8 1/1,5,2,ficta
79,57,51,8 1/1,3,0,repetition
82,54,54,8 7/4,5,3,ficta
86,62,55,9,1,5,other
87,67,55,9,0,0,repetition
90,59,56,9 1/1,5,4,other
91,62,56,9 1/1,3,3,other
92,67,56,9 1/1,0,0,repetition
100,67,60,10,0,0,repetition
103,62,62,10 3/4,2,2,other
105,55,63,10 1/1,5,0,repetition
108,67,63,10 1/1,0,0,repetition
110,62,65,10 7/4,2,0,repetition
111,67,65,10 7/4,0,0,repetition
115,55,67,11 1/4,5,0,repetition
116,54,68,11 1/2,5,1,ficta
