note,pitch,chord,bar,mapped voice,cost,category
5,57,5,2 1/4,3,n/a,ornamentation
6,58,6,2 1/2,3,0,repetition
7,57,7,2 5/8,3,n/a,ornamentation
8,55,8,2 3/4,3,n/a,ornamentation
9,57,9,2 7/8,3,n/a,ornamentation
13,58,11,2 7/4,3,0,repetition
15,57,12,3,3,1,other
16,50,13,3 1/2,3,4,other
19,58,15,3 5/4,2,n/a,ornamentation
20,57,16,3 11/8,2,n/a,ornamentation
21,58,17,3 3/2,2,0,repetition
22,57,18,3 13/8,2,n/a,ornamentation
23,55,19,3 7/4,2,n/a,ornamentation
24,57,20,3 15/8,2,n/a,ornamentation
28,60,22,4 1/4,2,2,other
29,62,23,4 1/2,1,0,repetition
30,58,24,4 3/4,2,0,repetition
32,57,25,4 1/1,2,1,other
34,62,26,4 5/4,1,n/a,ornamentation
35,64,27,4 3/2,1,4,other
36,65,28,4 7/4,0,n/a,ornamentation
37,48,29,5,3,2,other
38,55,29,5,2,2,other
40,65,30,5 1/4,0,n/a,ornamentation
41,67,31,5 1/2,0,0,repetition
42,64,32,5 3/4,1,0,repetition
43,53,33,5 1/1,3,5,other
46,55,34,5 3/2,3,5,other
51,69,35,6,0,1,other
52,67,36,6 1/4,0,n/a,ornamentation
53,53,37,6 1/2,3,0,repetition
54,60,37,6 1/2,2,0,repetition
55,70,37,6 1/2,0,0,repetition
56,69,38,6 3/4,0,n/a,ornamentation
60,53,40,6 3/2,1,n/a,ornamentation
61,69,41,6 7/4,1,n/a,ornamentation
62,46,42,7,3,0,repetition
63,58,42,7,2,0,repetition
65,53,43,7 1/2,1,n/a,ornamentation
66,63,44,7 3/4,1,2,ficta
69,58,46,7 3/2,3,0,repetition
70,62,46,7 3/2,1,0,repetition
72,60,47,7 7/4,1,0,repetition
73,58,48,8,2,0,repetition
76,57,50,8 1/2,2,1,other
88,58,57,9 1/2,2,0,repetition
89,67,57,9 1/2,0,3,other
91,58,58,9 1/1,2,0,repetition
93,53,59,9 7/4,3,2,other
94,60,59,9 7/4,2,2,other
96,55,60,10,3,0,repetition
100,57,61,10 1/2,2,1,other
101,66,61,10 1/2,0,1,ficta
102,55,62,10 1/1,3,5,other
103,58,62,10 1/1,2,0,repetition
107,58,64,10 3/2,3,7,other
111,60,66,11,1,5,other
113,67,67,11 1/4,0,n/a,ornamentation
115,66,68,11 1/2,0,3,ficta
116,64,69,11 3/4,0,3,other
118,57,70,11 1/1,2,0,repetition
119,67,70,11 1/1,0,0,repetition
120,66,71,11 5/4,0,1,other
121,67,72,11 3/2,0,0,repetition
122,66,73,11 13/8,0,n/a,ornamentation
123,64,74,11 7/4,0,n/a,ornamentation
124,66,75,11 15/8,0,n/a,ornamentation
126,58,76,12,1,4,other
128,53,77,12 1/4,2,n/a,ornamentation
129,55,78,12 1/2,2,0,repetition
130,57,79,12 3/4,1,n/a,ornamentation
131,58,80,12 1/1,1,0,repetition
132,62,80,12 1/1,0,5,other
134,58,82,12 3/2,3,3,other
137,57,84,13,3,2,other
142,62,86,13 1/1,1,0,repetition
144,60,87,13 3/2,1,0,repetition
148,58,89,14 3/4,3,0,repetition
150,57,90,14 1/1,3,1,other
151,50,91,14 3/2,3,4,other
154,58,93,15 1/4,2,n/a,ornamentation
155,57,94,15 3/8,2,n/a,ornamentation
156,58,95,15 1/2,2,0,repetition
157,57,96,15 5/8,2,n/a,ornamentation
158,55,97,15 3/4,2,n/a,ornamentation
159,57,98,15 7/8,2,n/a,ornamentation
163,60,100,15 5/4,2,2,other
164,62,101,15 3/2,1,0,repetition
165,58,102,15 7/4,2,0,repetition
167,57,103,16,2,1,other
169,62,104,16 1/4,0,n/a,ornamentation
170,64,105,16 1/2,0,3,other
171,65,106,16 3/4,0,n/a,ornamentation
172,48,107,16 1/1,3,2,other
173,55,107,16 1/1,2,2,other
175,65,108,16 5/4,0,n/a,ornamentation
176,67,109,16 3/2,0,0,repetition
177,64,110,16 7/4,1,0,repetition
178,53,111,17,3,5,other
180,60,111,17,0,7,other
182,55,112,17 1/2,3,5,other
187,69,113,17 1/1,0,1,other
188,67,114,17 5/4,0,n/a,ornamentation
189,53,115,17 3/2,3,0,repetition
190,60,115,17 3/2,2,0,repetition
191,70,115,17 3/2,0,0,repetition
192,69,116,17 7/4,0,n/a,ornamentation
196,53,118,18 1/2,1,n/a,ornamentation
197,69,119,18 3/4,1,n/a,ornamentation
198,46,120,18 1/1,3,0,repetition
199,58,120,18 1/1,2,0,repetition
201,53,121,18 3/2,1,n/a,ornamentation
202,63,122,18 7/4,1,2,ficta
205,58,124,19 1/2,3,0,repetition
206,62,124,19 1/2,1,0,repetition
208,60,125,19 3/4,1,0,repetition
209,58,126,19 1/1,2,0,repetition
212,57,128,19 3/2,2,1,other
224,58,135,20 3/2,2,0,repetition
225,67,135,20 3/2,0,3,other
227,58,136,21,2,0,repetition
229,53,137,21 3/4,3,2,other
230,60,137,21 3/4,2,2,other
232,55,138,21 1/1,3,0,repetition
233,58,138,21 1/1,2,0,repetition
235,50,139,21 3/2,3,5,other
236,57,139,21 3/2,2,1,other
237,66,139,21 3/2,0,1,ficta
238,55,140,22,2,3,other
243,58,142,22 1/2,3,0,repetition
247,60,144,22 1/1,3,2,other
249,67,145,22 5/4,0,n/a,ornamentation
250,53,146,22 3/2,1,0,repetition
251,65,146,22 3/2,0,4,other
252,64,147,22 7/4,0,n/a,ornamentation
253,55,148,23,3,3,other
255,62,148,23,0,0,repetition
256,60,149,23 1/8,0,n/a,ornamentation
257,62,150,23 1/4,0,0,repetition
258,64,151,23 3/8,0,n/a,ornamentation
260,67,153,23 5/8,0,n/a,ornamentation
261,69,154,23 3/4,0,4,other
262,70,155,23 7/8,0,n/a,ornamentation
263,53,156,24,2,0,repetition
264,60,156,24,1,2,other
265,69,156,24,0,0,repetition
266,67,157,24 1/4,0,2,other
267,55,158,24 1/2,2,2,other
268,66,158,24 1/2,0,3,ficta
269,64,159,24 3/4,0,3,other
272,67,160,24 1/1,0,0,repetition
273,66,161,24 5/4,0,n/a,ornamentation
274,67,162,24 3/2,0,0,repetition
275,66,163,24 13/8,0,n/a,ornamentation
276,64,164,24 7/4,0,n/a,ornamentation
277,66,165,24 15/8,0,n/a,ornamentation
282,63,168,25 5/8,1,n/a,ornamentation
283,65,169,25 3/4,1,n/a,ornamentation
284,62,170,25 7/8,1,n/a,ornamentation
285,63,171,25 1/1,1,1,other
286,62,172,25 9/8,1,n/a,ornamentation
287,60,173,25 5/4,1,n/a,ornamentation
288,58,174,25 11/8,1,n/a,ornamentation
290,58,176,25 13/8,3,n/a,ornamentation
291,57,177,25 7/4,3,2,other
292,55,178,25 15/8,3,n/a,ornamentation
295,60,179,26,2,5,other
296,57,180,26 1/4,1,n/a,ornamentation
297,62,181,26 1/2,1,5,other
298,52,182,26 1/1,1,5,other
300,61,183,26 5/4,1,n/a,ornamentation
301,62,184,26 3/2,1,5,other
302,61,185,26 13/8,0,n/a,ornamentation
303,59,186,26 7/4,0,n/a,ornamentation
304,61,187,26 15/8,0,n/a,ornamentation
306,57,188,27,1,0,repetition
307,62,188,27,0,5,other
309,62,189,31,1,5,other
311,55,190,31 3/4,2,0,repetition
312,62,190,31 3/4,1,5,other
313,67,190,31 3/4,0,0,repetition
315,66,191,31 1/1,0,1,ficta
317,66,192,31 3/2,0,1,ficta
318,55,193,32,3,5,other
319,62,193,32,1,0,repetition
321,69,194,32 1/4,0,n/a,ornamentation
322,67,195,32 3/8,0,n/a,ornamentation
323,69,196,32 1/2,0,2,other
324,67,197,32 5/8,0,n/a,ornamentation
325,65,198,32 3/4,0,n/a,ornamentation
326,64,199,32 7/8,0,n/a,ornamentation
329,58,201,32 3/2,0,4,other
331,54,202,33,3,1,ficta
333,62,202,33,0,0,repetition
334,54,203,33 3/4,3,1,other
335,57,203,33 3/4,1,0,repetition
336,62,203,33 3/4,0,0,repetition
339,62,204,33 1/1,0,0,repetition
341,58,205,33 3/2,1,0,repetition
342,62,205,33 3/2,0,0,repetition
344,57,206,34,1,0,repetition
345,62,206,34,0,0,repetition
346,60,207,34 1/4,0,n/a,ornamentation
347,62,208,34 3/8,0,n/a,ornamentation
348,64,209,34 1/2,0,n/a,ornamentation
349,65,210,34 5/8,0,n/a,ornamentation
350,67,211,34 3/4,0,n/a,ornamentation
351,69,212,34 7/8,0,n/a,ornamentation
353,58,213,34 1/1,1,5,other
356,58,214,34 7/4,2,4,other
359,58,215,35,2,4,other
362,58,216,35 1/2,2,4,other
367,48,218,35 3/2,3,5,other
368,60,218,35 3/2,2,0,repetition
370,70,219,35 7/4,0,n/a,ornamentation
378,58,224,36 7/4,2,1,other
382,55,226,37 1/4,3,2,other
386,58,228,37 3/4,2,1,other
390,55,230,37 5/4,3,2,other
396,57,233,38,3,2,other
398,53,234,38 1/4,2,n/a,ornamentation
401,46,236,38 1/1,3,3,other
402,58,236,38 1/1,2,3,other
404,46,237,38 7/4,3,9,other
405,58,237,38 7/4,2,4,other
407,46,238,39,3,9,other
408,58,238,39,2,4,other
410,46,239,39 1/2,2,16,other
416,48,241,39 3/2,3,5,other
417,60,241,39 3/2,2,0,repetition
419,70,242,39 7/4,0,n/a,ornamentation
423,58,244,40 1/4,2,n/a,ornamentation
424,53,245,40 1/2,3,0,repetition
425,57,245,40 1/2,2,3,other
426,72,245,40 1/2,0,3,other
427,70,246,40 3/4,0,n/a,ornamentation
428,53,247,40 1/1,3,0,repetition
430,69,247,40 1/1,0,0,repetition
431,67,248,40 5/4,1,3,other
432,53,249,40 3/2,3,5,other
433,57,249,40 3/2,2,3,other
434,65,249,40 3/2,1,1,other
436,55,251,41,3,7,other
437,58,251,41,2,0,repetition
439,67,252,41 1/4,0,n/a,ornamentation
441,64,253,41 1/2,0,1,other
442,66,254,41 3/4,0,n/a,ornamentation
444,58,256,41 5/4,2,n/a,ornamentation
447,67,257,41 3/2,0,0,repetition
448,66,258,41 7/4,0,n/a,ornamentation
449,52,259,42,3,2,other
452,48,260,42 1/4,2,n/a,ornamentation
453,50,261,42 1/2,2,5,other
454,65,261,42 1/2,1,3,other
456,71,262,42 3/4,0,n/a,ornamentation
458,64,263,42 1/1,2,4,ficta
460,71,264,42 5/4,0,1,ficta
461,52,265,42 3/2,1,3,other
462,64,265,42 3/2,2,2,other
467,66,267,43,0,1,ficta
468,67,268,43 1/4,0,n/a,ornamentation
469,50,269,43 1/2,3,0,repetition
470,62,269,43 1/2,1,0,repetition
471,69,269,43 1/2,0,4,other
472,67,270,43 3/4,0,n/a,ornamentation
