note,pitch,chord,bar,mapped voice,cost,category
1,65,1,1 1/1,0,0,repetition
4,60,4,1 9/4,0,n/a,ornamentation
5,62,5,1 5/2,0,n/a,ornamentation
6,59,6,1 11/4,0,n/a,ornamentation
8,60,8,2 1/2,0,n/a,ornamentation
11,66,11,2 5/4,0,2,ficta
22,61,19,3 5/4,1,2,ficta
67,66,43,6 5/4,0,1,ficta
96,62,58,8 1/1,2,0,repetition
99,55,60,8 2/1,3,0,repetition
103,69,62,8 11/4,0,2,other
104,71,63,8 23/8,0,n/a,ornamentation
114,50,68,9 2/1,3,0,repetition
115,62,68,9 2/1,2,0,repetition
118,62,69,9 5/2,0,n/a,ornamentation
124,57,72,10 1/4,2,n/a,ornamentation
125,59,73,10 1/2,2,1,other
127,72,74,10 1/1,0,0,repetition
134,57,78,10 9/4,1,n/a,ornamentation
140,57,81,11 1/4,1,n/a,ornamentation
141,59,82,11 3/8,1,n/a,ornamentation
144,59,85,11 5/4,1,n/a,ornamentation
145,60,86,11 3/2,1,0,repetition
146,62,87,11 7/4,1,n/a,ornamentation
147,57,88,11 2/1,3,0,repetition
151,59,89,11 9/4,1,n/a,ornamentation
153,57,91,11 11/4,3,n/a,ornamentation
164,52,96,12 2/1,3,0,repetition
166,66,97,12 9/4,0,1,ficta
172,70,100,13 1/8,0,n/a,ornamentation
173,69,101,13 1/4,0,0,repetition
174,70,102,13 3/8,0,n/a,ornamentation
175,69,103,13 1/2,0,2,other
176,67,104,13 5/8,0,n/a,ornamentation
177,65,105,13 3/4,0,0,repetition
178,64,106,13 7/8,0,n/a,ornamentation
183,59,109,13 7/4,2,n/a,ornamentation
184,55,110,13 2/1,3,0,repetition
185,59,110,13 2/1,2,0,repetition
186,66,111,13 9/4,0,1,ficta
188,64,113,13 11/4,1,n/a,ornamentation
200,50,119,14 2/1,3,0,repetition
207,69,123,15 1/8,0,n/a,ornamentation
208,67,124,15 1/4,0,0,repetition
209,65,125,15 3/8,0,n/a,ornamentation
211,65,127,15 5/8,0,n/a,ornamentation
212,64,128,15 3/4,0,0,repetition
213,62,129,15 7/8,0,n/a,ornamentation
218,53,132,15 2/1,3,0,repetition
219,57,132,15 2/1,2,0,repetition
227,52,136,16 1/2,3,0,repetition
228,68,136,16 1/2,0,1,ficta
231,64,137,16 1/1,1,0,repetition
234,48,139,16 2/1,3,0,repetition
235,60,139,16 2/1,2,0,repetition
241,57,142,17,2,3,other
248,52,147,17 2/1,3,0,repetition
249,55,147,17 2/1,2,0,repetition
250,59,147,17 2/1,1,0,repetition
251,66,148,17 9/4,0,n/a,ornamentation
252,67,149,17 5/2,0,0,repetition
258,62,152,18 1/2,3,n/a,ornamentation
259,50,153,18 3/4,3,0,repetition
265,59,156,18 2/1,2,0,repetition
279,64,162,19 7/4,2,n/a,ornamentation
282,58,164,19 5/2,3,0,repetition
301,57,172,21 1/2,1,0,repetition
312,62,176,21 9/4,2,n/a,ornamentation
313,64,177,21 5/2,2,0,repetition
315,66,178,21 11/4,2,n/a,ornamentation
330,73,186,22 5/2,0,2,ficta
335,74,188,23 1/2,0,n/a,ornamentation
353,62,197,24 7/8,2,n/a,ornamentation
366,60,204,25 1/2,3,n/a,ornamentation
377,59,209,25 9/4,2,n/a,ornamentation
378,60,210,25 5/2,2,0,repetition
379,62,211,25 11/4,2,n/a,ornamentation
385,60,215,26 7/8,2,n/a,ornamentation
399,57,221,27 1/4,2,n/a,ornamentation
400,59,222,27 1/2,2,0,repetition
402,60,223,27 3/4,2,1,other
404,62,224,27 1/1,1,0,repetition
408,69,226,27 3/2,0,0,repetition
412,57,228,27 9/4,2,n/a,ornamentation
413,59,229,27 5/2,2,0,repetition
414,61,230,27 11/4,2,n/a,ornamentation
419,52,232,28 1/4,3,n/a,ornamentation
420,53,233,28 1/2,3,3,other
421,55,234,28 3/4,1,2,other
424,59,236,28 5/4,2,2,other
431,66,238,28 2/1,1,2,ficta
437,57,241,29 1/2,3,n/a,ornamentation
441,57,243,29 1/1,2,0,repetition
443,49,244,29 5/4,3,1,ficta
447,57,246,29 2/1,2,0,repetition
453,57,249,30,2,0,repetition
454,61,249,30,0,1,ficta
456,69,249,30,1,7,other
