note,pitch,chord,bar,mapped voice,cost,category
6,67,4,2 1/1,1,0,repetition
19,62,12,4 1/1,1,0,repetition
23,64,14,5 1/1,1,0,repetition
32,79,18,6 1/1,0,0,repetition
51,55,27,8 1/1,3,0,repetition
53,74,27,8 1/1,0,0,repetition
59,67,30,9,1,0,repetition
75,62,40,10 1/1,2,0,repetition
85,76,44,11 1/1,0,0,repetition
89,60,47,12,3,0,repetition
92,69,48,12 1/2,1,2,other
96,59,50,12 3/2,3,0,repetition
99,74,51,13,0,0,repetition
102,64,53,13 1/1,2,0,repetition
108,72,56,14,0,0,repetition
116,57,60,15 1/2,3,0,repetition
121,64,62,15 1/1,1,0,repetition
122,72,62,15 1/1,0,0,repetition
126,52,65,15 7/4,3,1,other
127,53,66,16,3,0,repetition
128,52,67,16 1/4,3,1,other
129,50,68,16 1/2,3,3,other
130,48,69,16 3/4,3,n/a,ornamentation
132,59,71,16 5/4,1,n/a,ornamentation
137,48,74,17 1/1,3,0,repetition
138,60,74,17 1/1,2,0,repetition
144,79,76,18 1/1,0,0,repetition
147,67,78,19,1,0,repetition
161,55,85,20 1/1,3,0,repetition
163,74,85,20 1/1,0,0,repetition
169,67,88,21,1,0,repetition
176,76,92,21 1/1,0,0,repetition
183,57,97,22 1/4,1,n/a,ornamentation
188,62,100,22 1/1,2,0,repetition
195,48,103,23 1/1,3,0,repetition
196,60,103,23 1/1,1,0,repetition
197,64,103,23 1/1,2,0,repetition
198,76,103,23 1/1,0,0,repetition
202,48,106,24,3,0,repetition
206,58,108,24 1/1,1,1,ficta
213,48,111,25 1/1,3,0,repetition
214,64,111,25 1/1,2,0,repetition
220,67,114,26,1,0,repetition
221,72,114,26,0,0,repetition
224,67,115,26 1/1,1,0,repetition
229,57,117,27 1/2,3,0,repetition
234,64,119,27 1/1,1,0,repetition
235,72,119,27 1/1,0,0,repetition
239,52,122,27 7/4,3,1,other
240,53,123,28,3,0,repetition
241,52,124,28 1/4,3,1,other
242,50,125,28 1/2,3,3,other
243,48,126,28 3/4,3,n/a,ornamentation
245,59,128,28 5/4,1,n/a,ornamentation
250,48,131,29 1/1,3,0,repetition
253,48,132,30,3,0,repetition
254,60,132,30,2,0,repetition
257,48,134,30 1/1,3,0,repetition
259,72,134,30 1/1,0,0,repetition
260,62,135,30 3/2,2,2,other
261,71,135,30 3/2,0,1,other
264,62,137,31 3/4,1,n/a,ornamentation
271,60,141,32 1/1,2,0,repetition
272,67,141,32 1/1,1,0,repetition
273,76,141,32 1/1,0,0,repetition
275,59,143,32 3/2,2,1,other
279,76,146,33 1/4,1,n/a,ornamentation
289,64,151,34 1/1,2,0,repetition
290,79,151,34 1/1,0,0,repetition
296,72,154,35,2,12,other
298,57,155,35 1/1,3,0,repetition
304,76,156,36,0,0,repetition
307,67,158,36 1/1,2,0,repetition
313,74,161,37,0,0,repetition
314,57,162,37 1/2,1,n/a,ornamentation
324,55,167,38 1/2,1,0,repetition
325,58,167,38 1/2,3,0,repetition
330,74,169,38 1/1,0,0,repetition
334,55,172,39,3,0,repetition
335,62,172,39,2,0,repetition
340,60,176,39 1/1,2,2,ficta
347,62,180,40 1/1,2,0,repetition
350,55,182,41,3,0,repetition
355,79,184,41 1/1,0,0,repetition
359,55,186,42,1,0,repetition
369,55,190,43 1/2,1,0,repetition
373,67,192,43 1/1,2,0,repetition
383,58,197,44 1/1,3,10,other
403,67,206,46 1/1,1,0,repetition
409,74,209,47,0,0,repetition
412,57,211,47 1/1,3,0,repetition
420,72,213,48,0,0,repetition
426,60,216,49,2,2,other
429,57,217,49 1/2,3,0,repetition
433,64,219,49 1/1,1,0,repetition
434,72,219,49 1/1,0,0,repetition
440,60,223,50,2,0,repetition
445,53,226,50 1/1,1,2,other
447,59,227,50 3/2,2,0,repetition
454,62,230,51 3/4,1,n/a,ornamentation
455,60,231,51 1/1,1,0,repetition
456,64,231,51 1/1,2,4,other
457,72,232,51 3/2,0,4,other
464,64,235,52 3/4,1,2,other
465,58,236,52 1/1,3,1,ficta
467,74,236,52 1/1,0,0,repetition
479,62,244,53 7/4,2,0,repetition
480,60,245,53 15/8,2,n/a,ornamentation
482,67,246,54,1,0,repetition
483,55,247,54 1/2,3,0,repetition
498,67,254,55 1/2,1,0,repetition
503,79,256,55 1/1,0,0,repetition
511,60,261,56 1/2,2,0,repetition
520,60,265,56 7/4,2,0,repetition
521,62,266,56 15/8,2,n/a,ornamentation
527,60,269,57 1/2,1,0,repetition
534,67,271,57 1/1,2,0,repetition
543,76,275,58,0,0,repetition
554,64,281,59,2,2,other
555,67,281,59,1,0,repetition
