note,pitch,chord,bar,mapped voice,cost,category
26,54,19,5 3/8,2,n/a,ornamentation
27,55,20,5 1/2,2,0,repetition
28,54,21,5 5/8,2,n/a,ornamentation
29,55,22,5 3/4,2,n/a,ornamentation
30,54,23,5 13/16,2,n/a,ornamentation
31,52,24,5 7/8,2,n/a,ornamentation
32,54,25,5 15/16,2,n/a,ornamentation
45,64,32,6 11/8,2,n/a,ornamentation
46,62,33,6 23/16,2,n/a,ornamentation
47,65,34,6 3/2,2,3,other
48,64,35,6 13/8,2,n/a,ornamentation
49,65,36,6 7/4,2,n/a,ornamentation
50,64,37,6 29/16,2,n/a,ornamentation
51,62,38,6 15/8,2,n/a,ornamentation
52,64,39,6 31/16,2,n/a,ornamentation
116,61,67,11 5/4,1,n/a,ornamentation
117,59,68,11 11/8,1,n/a,ornamentation
126,50,73,12 1/1,2,0,repetition
135,57,78,13 1/8,4,n/a,ornamentation
136,58,79,13 1/4,4,n/a,ornamentation
137,60,80,13 3/8,4,n/a,ornamentation
139,58,81,13 1/2,4,0,repetition
143,62,83,13 1/1,1,0,repetition
146,52,85,14,4,1,ficta
150,61,87,14 1/2,1,1,ficta
154,54,89,14 11/8,3,n/a,ornamentation
155,55,90,14 3/2,3,0,repetition
158,54,91,14 13/8,3,n/a,ornamentation
159,55,92,14 7/4,3,n/a,ornamentation
160,54,93,14 29/16,3,n/a,ornamentation
161,52,94,14 15/8,3,n/a,ornamentation
162,54,95,14 31/16,3,n/a,ornamentation
176,61,103,16 3/8,2,n/a,ornamentation
177,59,104,16 7/16,2,n/a,ornamentation
179,62,105,16 1/2,1,0,repetition
180,61,106,16 5/8,1,n/a,ornamentation
181,62,107,16 3/4,1,n/a,ornamentation
182,61,108,16 13/16,1,n/a,ornamentation
183,59,109,16 7/8,1,n/a,ornamentation
184,61,110,16 15/16,1,n/a,ornamentation
187,60,112,16 11/8,0,2,other
188,64,112,16 11/8,1,2,other
189,62,113,16 23/16,3,n/a,ornamentation
190,60,114,16 3/2,3,n/a,ornamentation
191,58,115,16 7/4,3,n/a,ornamentation
192,50,116,17,4,0,repetition
193,57,116,17,3,2,other
194,62,116,17,1,0,repetition
195,55,117,17 1/4,3,n/a,ornamentation
200,57,120,17 9/8,4,n/a,ornamentation
201,58,121,17 5/4,4,n/a,ornamentation
202,60,122,17 11/8,4,n/a,ornamentation
204,58,123,17 3/2,4,0,repetition
210,52,127,18 1/1,4,1,ficta
214,61,129,18 3/2,1,1,ficta
218,54,131,19 3/8,3,n/a,ornamentation
219,55,132,19 1/2,3,0,repetition
222,54,133,19 5/8,3,n/a,ornamentation
223,55,134,19 3/4,3,n/a,ornamentation
224,54,135,19 13/16,3,n/a,ornamentation
225,52,136,19 7/8,3,n/a,ornamentation
226,54,137,19 15/16,3,n/a,ornamentation
230,67,139,19 5/4,0,n/a,ornamentation
232,70,140,19 3/2,0,0,repetition
240,61,146,20 11/8,1,n/a,ornamentation
241,62,147,20 3/2,1,0,repetition
242,61,148,20 13/8,1,n/a,ornamentation
243,59,149,20 7/4,1,n/a,ornamentation
244,61,150,20 15/8,1,n/a,ornamentation
247,57,152,21 1/8,1,n/a,ornamentation
248,55,153,21 1/4,1,n/a,ornamentation
249,53,154,21 3/8,1,n/a,ornamentation
250,55,155,21 1/2,1,n/a,ornamentation
251,57,156,21 5/8,1,n/a,ornamentation
252,58,157,21 3/4,1,n/a,ornamentation
253,60,158,21 7/8,1,n/a,ornamentation
255,62,159,21 1/1,1,0,repetition
267,52,165,23,2,1,ficta
281,67,171,24 3/8,0,n/a,ornamentation
282,69,172,24 7/16,0,n/a,ornamentation
283,70,173,24 1/2,0,n/a,ornamentation
284,69,174,24 5/8,0,n/a,ornamentation
285,70,175,24 3/4,0,0,repetition
286,72,176,24 7/8,0,n/a,ornamentation
287,43,177,24 1/1,4,0,repetition
288,55,177,24 1/1,3,0,repetition
296,66,180,25 1/2,1,2,ficta
300,50,182,25 5/4,4,n/a,ornamentation
301,52,183,25 3/2,4,n/a,ornamentation
310,66,188,26 3/2,1,2,ficta
326,59,196,28 1/2,3,2,ficta
343,59,204,29 3/2,3,2,ficta
348,62,206,30 1/4,0,n/a,ornamentation
349,60,207,30 1/2,0,n/a,ornamentation
352,48,209,30 1/1,4,0,repetition
353,60,209,30 1/1,3,0,repetition
373,72,219,31 7/4,0,n/a,ornamentation
374,70,220,32,0,n/a,ornamentation
382,67,224,32 11/8,0,n/a,ornamentation
384,69,225,32 3/2,0,0,repetition
385,67,226,32 13/8,0,n/a,ornamentation
386,69,227,32 7/4,0,n/a,ornamentation
387,67,228,32 29/16,0,n/a,ornamentation
388,65,229,32 15/8,0,n/a,ornamentation
389,67,230,32 31/16,0,n/a,ornamentation
393,62,232,33 1/8,1,n/a,ornamentation
394,64,233,33 1/4,1,n/a,ornamentation
395,65,234,33 3/8,1,n/a,ornamentation
396,64,235,33 1/2,1,n/a,ornamentation
397,62,236,33 3/4,1,n/a,ornamentation
399,57,237,33 1/1,2,0,repetition
400,64,237,33 1/1,1,0,repetition
429,56,250,35 3/2,3,1,ficta
456,64,262,37 5/4,1,n/a,ornamentation
457,62,263,37 11/8,1,n/a,ornamentation
470,61,270,38 3/2,1,4,ficta
494,57,279,40 1/1,3,1,other
531,46,296,43 1/1,4,0,repetition
532,58,296,43 1/1,3,0,repetition
537,62,299,44,0,0,repetition
540,62,301,44 1/1,0,0,repetition
564,54,318,48 3/8,2,n/a,ornamentation
565,55,319,48 1/2,2,0,repetition
566,54,320,48 5/8,2,n/a,ornamentation
567,55,321,48 3/4,2,n/a,ornamentation
568,54,322,48 13/16,2,n/a,ornamentation
569,52,323,48 7/8,2,n/a,ornamentation
570,54,324,48 15/16,2,n/a,ornamentation
583,64,331,49 11/8,1,n/a,ornamentation
584,62,332,49 23/16,1,n/a,ornamentation
585,65,333,49 3/2,1,0,repetition
586,64,334,49 13/8,1,n/a,ornamentation
587,65,335,49 7/4,1,n/a,ornamentation
588,64,336,49 29/16,1,n/a,ornamentation
589,62,337,49 15/8,1,n/a,ornamentation
590,64,338,49 31/16,1,n/a,ornamentation
622,64,353,52 5/4,2,2,other
655,61,366,54 5/4,1,n/a,ornamentation
656,59,367,54 11/8,1,n/a,ornamentation
665,50,372,55 1/1,2,0,repetition
674,57,377,56 1/8,1,n/a,ornamentation
675,58,378,56 1/4,1,n/a,ornamentation
676,60,379,56 3/8,1,n/a,ornamentation
678,62,380,56 1/2,1,0,repetition
679,60,381,56 5/8,4,n/a,ornamentation
680,58,382,56 3/4,4,0,repetition
681,57,383,56 7/8,2,n/a,ornamentation
684,62,384,56 1/1,1,0,repetition
687,52,386,57,4,1,ficta
691,61,388,57 1/2,1,1,ficta
695,54,390,57 11/8,3,n/a,ornamentation
696,55,391,57 3/2,3,0,repetition
699,54,392,57 13/8,3,n/a,ornamentation
700,55,393,57 7/4,3,n/a,ornamentation
701,54,394,57 29/16,3,n/a,ornamentation
702,52,395,57 15/8,3,n/a,ornamentation
703,54,396,57 31/16,3,n/a,ornamentation
717,61,404,59 3/8,2,n/a,ornamentation
718,59,405,59 7/16,2,n/a,ornamentation
720,62,406,59 1/2,1,0,repetition
721,61,407,59 5/8,1,n/a,ornamentation
722,62,408,59 3/4,1,n/a,ornamentation
723,61,409,59 13/16,1,n/a,ornamentation
724,59,410,59 7/8,1,n/a,ornamentation
725,61,411,59 15/16,1,n/a,ornamentation
728,60,413,59 3/2,3,n/a,ornamentation
729,58,414,59 7/4,3,n/a,ornamentation
730,50,415,60,4,0,repetition
731,57,415,60,3,2,other
732,55,416,60 1/4,3,n/a,ornamentation
737,57,419,60 9/8,1,n/a,ornamentation
738,58,420,60 5/4,1,n/a,ornamentation
739,60,421,60 11/8,1,n/a,ornamentation
741,62,422,60 3/2,1,0,repetition
742,60,423,60 13/8,4,n/a,ornamentation
743,58,424,60 7/4,4,0,repetition
744,57,425,60 15/8,2,n/a,ornamentation
749,52,428,61 1/1,4,1,ficta
753,61,430,61 3/2,1,1,ficta
757,54,432,62 3/8,3,n/a,ornamentation
758,55,433,62 1/2,3,0,repetition
761,54,434,62 5/8,3,n/a,ornamentation
762,55,435,62 3/4,3,n/a,ornamentation
763,54,436,62 13/16,3,n/a,ornamentation
764,52,437,62 7/8,3,n/a,ornamentation
765,54,438,62 15/16,3,n/a,ornamentation
777,61,446,63 11/8,1,n/a,ornamentation
778,59,447,63 23/16,1,n/a,ornamentation
779,62,448,63 3/2,1,0,repetition
780,61,449,63 13/8,1,n/a,ornamentation
781,62,450,63 7/4,1,n/a,ornamentation
782,61,451,63 29/16,1,n/a,ornamentation
783,59,452,63 15/8,1,n/a,ornamentation
784,61,453,63 31/16,1,n/a,ornamentation
795,58,458,65,1,4,ficta
798,63,459,65 1/2,0,1,ficta
806,58,463,65 7/4,3,1,ficta
813,58,466,66 1/2,1,1,ficta
815,54,468,66 11/8,3,n/a,ornamentation
816,55,469,66 3/2,3,0,repetition
819,54,470,66 13/8,3,n/a,ornamentation
820,55,471,66 7/4,3,n/a,ornamentation
821,54,472,66 29/16,3,n/a,ornamentation
822,52,473,66 15/8,3,n/a,ornamentation
823,54,474,66 31/16,3,n/a,ornamentation
830,46,477,67 3/4,4,2,ficta
833,58,478,67 1/1,3,3,ficta
838,58,480,67 3/2,2,1,ficta
847,46,484,68 3/4,4,1,ficta
850,57,485,68 1/1,3,0,repetition
851,60,485,68 1/1,2,0,repetition
854,58,486,68 5/4,1,1,ficta
863,57,489,69,1,0,repetition
867,46,491,69 3/4,4,1,ficta
868,58,491,69 3/4,1,1,ficta
880,57,496,70,1,0,repetition
888,57,500,70 1/1,1,0,repetition
889,61,501,70 11/8,0,n/a,ornamentation
890,59,502,70 23/16,0,n/a,ornamentation
891,62,503,70 3/2,0,0,repetition
892,61,504,70 13/8,0,n/a,ornamentation
893,62,505,70 7/4,0,n/a,ornamentation
894,61,506,70 29/16,0,n/a,ornamentation
895,59,507,70 15/8,0,n/a,ornamentation
896,61,508,70 31/16,0,n/a,ornamentation
899,57,509,71,1,0,repetition
