note,pitch,chord,bar,mapped voice,cost,category
1,62,1,1 3/2,1,0,repetition
6,69,3,2 1/1,0,0,repetition
7,50,4,2 3/2,3,0,repetition
19,68,8,4 1/1,0,3,ficta
48,50,23,8 1/1,4,0,repetition
52,52,25,8 7/4,4,n/a,ornamentation
57,52,27,9 3/8,3,n/a,ornamentation
58,53,28,9 1/2,3,n/a,ornamentation
59,55,29,9 3/4,3,n/a,ornamentation
61,59,31,9 5/4,3,n/a,ornamentation
62,61,32,9 3/2,3,n/a,ornamentation
63,62,33,9 7/4,3,n/a,ornamentation
77,60,39,11 3/4,3,n/a,ornamentation
81,59,41,11 3/2,3,0,repetition
87,67,43,12 1/4,3,n/a,ornamentation
88,65,44,12 3/8,3,n/a,ornamentation
89,64,45,12 1/2,3,n/a,ornamentation
90,62,46,12 5/8,3,n/a,ornamentation
91,60,47,12 3/4,3,n/a,ornamentation
92,59,48,12 7/8,3,n/a,ornamentation
93,57,49,12 1/1,3,0,repetition
95,59,51,13 3/8,2,n/a,ornamentation
96,60,52,13 1/2,2,n/a,ornamentation
97,62,53,13 3/4,2,n/a,ornamentation
101,65,55,13 3/2,1,1,other
112,55,60,14 3/2,2,0,repetition
129,45,66,16 1/2,1,n/a,ornamentation
132,45,68,16 1/1,4,0,repetition
133,52,68,16 1/1,2,0,repetition
140,62,71,17,1,2,other
143,66,72,17 1/2,0,1,other
148,61,75,17 11/8,1,n/a,ornamentation
149,62,76,17 3/2,1,0,repetition
150,61,77,17 7/4,1,n/a,ornamentation
159,53,80,18 1/1,4,3,other
169,62,83,19 1/4,0,n/a,ornamentation
182,67,88,20 3/4,1,n/a,ornamentation
186,71,91,20 7/4,0,n/a,ornamentation
195,67,94,22,0,5,other
199,61,98,22 5/4,1,2,ficta
205,60,101,23 1/4,1,n/a,ornamentation
209,59,104,23 5/4,1,n/a,ornamentation
210,60,105,23 3/2,1,0,repetition
211,59,106,23 13/8,1,n/a,ornamentation
212,57,107,23 7/4,1,n/a,ornamentation
213,59,108,23 15/8,1,n/a,ornamentation
226,53,113,25 3/2,4,0,repetition
233,52,115,26 1/2,1,n/a,ornamentation
255,61,123,28,0,1,ficta
256,45,124,28 1/1,4,0,repetition
257,52,124,28 1/1,3,0,repetition
258,57,124,28 1/1,2,0,repetition
259,61,124,28 1/1,0,1,other
260,47,125,28 5/4,3,n/a,ornamentation
261,49,126,28 11/8,3,n/a,ornamentation
262,50,127,28 3/2,3,n/a,ornamentation
263,52,128,28 13/8,3,n/a,ornamentation
264,54,129,28 7/4,3,n/a,ornamentation
265,56,130,28 15/8,3,n/a,ornamentation
267,59,132,29 1/4,2,n/a,ornamentation
268,60,133,29 1/2,2,0,repetition
269,62,134,29 3/4,2,n/a,ornamentation
274,47,136,29 5/4,4,n/a,ornamentation
275,48,137,29 3/2,4,3,other
276,50,138,29 7/4,4,n/a,ornamentation
281,52,140,30 1/2,4,0,repetition
282,54,141,30 3/4,3,1,ficta
285,64,143,30 5/4,1,n/a,ornamentation
320,68,159,33 3/2,0,3,ficta
337,69,166,35 1/4,0,n/a,ornamentation
340,65,167,35 1/2,1,0,repetition
345,68,169,35 5/4,0,n/a,ornamentation
346,66,170,35 11/8,0,n/a,ornamentation
347,69,171,35 3/2,0,0,repetition
348,68,172,35 13/8,0,n/a,ornamentation
349,66,173,35 7/4,0,n/a,ornamentation
350,68,174,35 15/8,0,n/a,ornamentation
354,64,175,36,3,12,other
356,69,176,36 1/1,0,0,repetition
374,62,184,38 1/4,1,n/a,ornamentation
377,58,185,38 1/2,3,0,repetition
380,45,187,38 3/2,4,0,repetition
382,64,187,38 3/2,0,0,repetition
387,64,190,39 3/4,0,n/a,ornamentation
390,62,191,39 1/1,1,0,repetition
391,65,191,39 1/1,0,0,repetition
400,61,194,40 1/2,1,1,ficta
404,56,196,40 3/2,2,1,other
410,60,199,41 1/1,2,3,other
420,68,202,42 1/2,0,3,ficta
423,62,203,42 1/1,3,10,other
425,59,204,42 5/4,1,n/a,ornamentation
426,60,205,42 3/2,1,3,other
429,64,206,43,3,12,other
436,67,208,43 1/1,0,0,repetition
438,52,209,43 3/2,2,0,repetition
445,56,211,44 1/2,3,3,ficta
450,64,212,44 1/1,0,3,other
451,47,213,44 5/4,4,n/a,ornamentation
452,48,214,44 3/2,4,n/a,ornamentation
453,50,215,44 7/4,4,n/a,ornamentation
455,56,216,45,3,1,ficta
456,64,216,45,0,3,other
457,66,217,45 1/4,0,n/a,ornamentation
458,68,218,45 1/2,0,n/a,ornamentation
459,69,219,45 3/4,0,n/a,ornamentation
460,52,220,45 1/1,4,0,repetition
461,56,220,45 1/1,3,1,ficta
462,64,220,45 1/1,1,5,other
464,69,221,45 5/4,0,n/a,ornamentation
465,72,222,45 3/2,0,n/a,ornamentation
466,71,223,45 7/4,0,n/a,ornamentation
473,72,226,46 1/1,0,0,repetition
481,68,229,47 1/2,0,3,ficta
485,62,231,47 3/2,3,0,repetition
490,54,233,48 3/4,4,n/a,ornamentation
491,55,234,48 1/1,4,0,repetition
492,64,234,48 1/1,3,0,repetition
493,54,235,48 5/4,4,n/a,ornamentation
494,55,236,48 3/2,4,0,repetition
495,53,237,48 13/8,4,n/a,ornamentation
496,52,238,48 7/4,4,n/a,ornamentation
497,50,239,48 15/8,4,n/a,ornamentation
499,67,240,49,1,0,repetition
515,53,249,51,2,11,other
518,57,251,51 1/1,4,0,repetition
529,48,256,52 3/2,3,2,other
551,67,266,55 1/2,1,10,other
571,64,274,57 1/2,1,0,repetition
579,65,277,57 7/4,1,n/a,ornamentation
581,57,278,58,0,8,other
584,67,279,58 1/4,1,2,other
585,65,280,58 1/2,1,0,repetition
596,53,285,59 1/1,4,0,repetition
606,45,288,60 1/2,4,7,other
620,57,292,61 1/2,2,0,repetition
622,59,293,61 3/4,3,n/a,ornamentation
625,69,294,61 1/1,0,0,repetition
626,62,295,61 5/4,3,2,other
627,71,295,61 5/4,0,1,other
629,64,296,61 3/2,1,0,repetition
631,60,297,61 7/4,3,n/a,ornamentation
637,60,299,62 1/2,3,1,other
646,48,302,63,4,3,other
650,52,303,63 1/2,4,0,repetition
657,66,305,63 5/4,0,n/a,ornamentation
660,59,306,63 3/2,2,7,other
674,48,310,64 3/2,4,0,repetition
676,50,311,64 15/8,2,n/a,ornamentation
677,52,312,65,2,0,repetition
678,48,313,65 1/4,2,n/a,ornamentation
679,50,314,65 1/2,2,2,other
681,48,315,65 3/4,2,4,other
683,47,316,65 1/1,4,4,other
685,52,317,65 5/4,2,n/a,ornamentation
686,54,318,65 11/8,2,n/a,ornamentation
687,55,319,65 3/2,2,n/a,ornamentation
688,54,320,65 13/8,2,n/a,ornamentation
689,55,321,65 7/4,2,n/a,ornamentation
690,54,322,65 15/8,2,n/a,ornamentation
692,55,323,66,2,0,repetition
695,62,324,66 1/2,2,n/a,ornamentation
696,57,325,66 3/4,2,n/a,ornamentation
697,59,326,66 1/1,2,0,repetition
698,55,327,66 5/4,2,n/a,ornamentation
707,59,330,67 1/2,1,0,repetition
717,57,335,68 1/1,2,0,repetition
730,56,340,69 3/2,2,1,ficta
733,60,341,70,0,4,other
735,55,343,70 3/4,4,2,other
754,50,351,71 3/2,3,0,repetition
763,57,353,72 1/1,1,3,other
765,72,353,72 1/1,0,0,repetition
783,64,360,74,3,9,other
785,67,361,74 1/4,2,n/a,ornamentation
786,65,362,74 3/8,2,n/a,ornamentation
787,64,363,74 1/2,2,n/a,ornamentation
788,62,364,74 5/8,2,n/a,ornamentation
789,60,365,74 3/4,2,n/a,ornamentation
790,59,366,74 7/8,2,n/a,ornamentation
791,57,367,74 1/1,2,0,repetition
794,57,368,74 3/2,2,0,repetition
796,69,368,74 3/2,0,0,repetition
799,57,369,75,2,0,repetition
801,69,369,75,0,0,repetition
802,45,370,75 1/2,4,5,other
804,60,370,75 1/2,1,2,other
805,72,370,75 1/2,0,3,other
808,57,371,75 1/1,2,0,repetition
810,69,371,75 1/1,0,0,repetition
812,71,373,75 7/4,0,n/a,ornamentation
815,57,374,76,2,0,repetition
816,64,374,76,1,2,other
817,72,374,76,0,3,other
821,64,375,76 3/2,2,7,other
822,69,375,76 3/2,0,0,repetition
825,57,376,77,2,0,repetition
827,69,376,77,0,0,repetition
831,64,377,77 1/2,2,7,other
832,72,377,77 1/2,0,3,other
835,57,378,77 1/1,2,0,repetition
837,69,378,77 1/1,0,0,repetition
839,71,380,77 7/4,0,n/a,ornamentation
842,57,381,78,2,0,repetition
843,64,381,78,1,2,other
844,73,381,78,0,4,other
