note,pitch,chord,bar,mapped voice,cost,category
1,59,0,1,1,5,other
3,52,1,1 1/1,3,0,repetition
4,64,1,1 1/1,1,0,repetition
5,64,1,1 1/1,0,0,
9,62,3,2 1/4,1,n/a,ornamentation
10,64,4,2 3/8,1,n/a,ornamentation
11,65,5,2 1/2,1,n/a,ornamentation
12,67,6,2 5/8,1,n/a,ornamentation
13,65,7,2 3/4,1,n/a,ornamentation
14,64,8,2 7/8,1,n/a,ornamentation
18,52,10,2 9/8,3,n/a,ornamentation
19,53,11,2 5/4,3,n/a,ornamentation
20,55,12,2 11/8,3,n/a,ornamentation
21,57,13,2 3/2,3,n/a,ornamentation
22,50,14,2 7/4,3,n/a,ornamentation
26,54,16,3 1/8,3,n/a,ornamentation
27,55,17,3 1/4,3,n/a,ornamentation
28,57,18,3 3/8,3,n/a,ornamentation
29,59,19,3 1/2,3,n/a,ornamentation
30,52,20,3 3/4,3,n/a,ornamentation
31,52,21,3 1/1,3,0,repetition
32,67,21,3 1/1,0,0,repetition
33,55,22,3 5/4,3,n/a,ornamentation
40,56,26,4 1/4,2,n/a,ornamentation
41,57,27,4 1/2,2,2,other
42,60,27,4 1/2,0,2,other
46,56,30,4 5/4,2,n/a,ornamentation
47,57,31,4 3/2,2,n/a,ornamentation
48,56,32,4 7/4,2,n/a,ornamentation
54,45,35,5 1/1,3,0,repetition
60,66,37,5 7/4,1,n/a,ornamentation
66,72,40,6 3/4,0,n/a,ornamentation
71,69,42,6 3/2,0,0,repetition
72,52,43,6 13/8,2,n/a,ornamentation
73,53,44,6 7/4,2,n/a,ornamentation
74,55,45,6 15/8,2,n/a,ornamentation
78,72,47,7 1/4,0,n/a,ornamentation
79,71,48,7 3/8,0,n/a,ornamentation
80,69,49,7 1/2,0,n/a,ornamentation
81,67,50,7 5/8,0,n/a,ornamentation
82,69,51,7 3/4,0,n/a,ornamentation
83,71,52,7 7/8,0,n/a,ornamentation
84,57,53,7 1/1,2,0,repetition
87,57,54,7 3/2,2,0,repetition
88,60,54,7 3/2,3,0,repetition
