note,pitch,chord,bar,mapped voice,cost,category
7,50,7,2 5/4,1,n/a,ornamentation
8,52,8,2 3/2,1,0,repetition
14,52,13,4,1,0,repetition
20,57,17,4 5/4,0,n/a,ornamentation
21,59,18,4 3/2,0,0,repetition
23,55,20,5 3/4,1,n/a,ornamentation
26,54,22,5 7/4,1,2,ficta
28,59,23,6,0,0,repetition
30,61,24,6 1/2,0,2,ficta
33,62,26,6 3/2,1,n/a,ornamentation
34,55,27,6 7/4,1,n/a,ornamentation
37,50,29,7 1/4,1,n/a,ornamentation
38,52,30,7 1/2,1,0,repetition
47,54,38,8 7/4,1,2,ficta
78,56,59,12 5/4,0,n/a,ornamentation
79,54,60,12 11/8,0,n/a,ornamentation
80,57,61,12 3/2,0,0,repetition
81,56,62,12 7/4,0,n/a,ornamentation
84,45,64,13 1/1,1,0,repetition
85,57,64,13 1/1,0,0,repetition
86,57,65,14,0,0,repetition
89,57,67,14 1/1,0,0,repetition
93,53,71,15 1/1,1,0,repetition
102,60,76,16 1/1,0,0,repetition
108,55,81,17 1/1,1,0,repetition
115,59,85,18 1/2,0,3,other
117,62,86,18 1/1,0,0,repetition
131,56,97,20 1/1,0,1,ficta
135,57,99,21,0,0,repetition
139,48,103,22,1,0,repetition
148,55,108,23,0,0,repetition
163,50,118,24 5/4,1,n/a,ornamentation
170,53,125,27,1,0,repetition
179,60,130,28,0,0,repetition
183,54,133,28 3/4,1,2,ficta
194,55,140,29 5/4,1,n/a,ornamentation
197,55,143,30 1/1,1,0,repetition
200,55,145,31,0,0,repetition
204,55,149,32,1,0,repetition
212,64,153,32 3/2,0,2,other
214,62,154,33,0,0,repetition
226,59,161,34 1/2,1,1,other
227,57,162,34 3/4,1,0,repetition
232,57,166,35 1/1,1,0,repetition
235,57,168,36,0,0,repetition
239,48,172,37,1,0,repetition
248,55,177,38,0,0,repetition
263,50,187,39 5/4,1,n/a,ornamentation
