note,pitch,chord,bar,mapped voice,cost,category
2,59,1,1 1/4,1,2,ficta
6,69,4,1 1/1,0,0,repetition
8,66,6,2,0,3,ficta
12,66,9,2 1/1,0,1,other
20,67,15,3 1/1,0,0,repetition
33,63,26,5 5/4,1,2,ficta
43,64,33,6 5/4,1,n/a,ornamentation
44,62,34,6 11/8,1,n/a,ornamentation
45,65,35,6 3/2,1,0,repetition
46,64,36,6 13/8,1,n/a,ornamentation
47,62,37,6 7/4,1,n/a,ornamentation
48,64,38,6 15/8,1,n/a,ornamentation
55,55,42,8,2,3,other
65,66,44,9,0,1,ficta
66,67,45,9 1/4,1,n/a,ornamentation
67,64,46,9 1/2,1,n/a,ornamentation
68,62,47,9 5/8,1,n/a,ornamentation
69,64,48,9 3/4,1,n/a,ornamentation
70,66,49,9 7/8,1,n/a,ornamentation
74,65,51,9 5/4,1,n/a,ornamentation
75,63,52,9 11/8,1,n/a,ornamentation
76,62,53,9 3/2,1,4,other
77,60,54,9 13/8,1,n/a,ornamentation
78,58,55,9 7/4,1,n/a,ornamentation
79,57,56,9 15/8,1,n/a,ornamentation
80,55,57,10,1,0,repetition
81,57,58,10 1/8,2,n/a,ornamentation
82,58,59,10 1/4,2,n/a,ornamentation
83,60,60,10 3/8,2,n/a,ornamentation
84,62,61,10 1/2,2,4,other
85,64,62,10 5/8,0,n/a,ornamentation
86,66,63,10 3/4,0,0,repetition
87,67,64,10 7/8,0,n/a,ornamentation
92,64,66,10 5/4,0,n/a,ornamentation
93,67,67,10 3/2,0,n/a,ornamentation
94,66,68,10 7/4,0,n/a,ornamentation
112,59,84,13 7/4,1,2,ficta
116,51,87,14 1/2,3,1,ficta
123,62,92,15,1,n/a,ornamentation
124,51,93,15 1/4,3,2,ficta
126,50,94,15 1/2,3,2,other
128,48,95,15 3/4,3,n/a,ornamentation
130,59,97,15 5/4,1,n/a,ornamentation
131,60,98,15 3/2,1,0,repetition
132,59,99,15 7/4,1,n/a,ornamentation
135,72,100,16,0,5,other
136,70,101,16 1/4,2,n/a,ornamentation
137,69,102,16 3/8,2,n/a,ornamentation
138,67,103,16 1/2,2,n/a,ornamentation
139,65,104,16 5/8,2,n/a,ornamentation
140,63,105,16 3/4,2,n/a,ornamentation
141,62,106,16 7/8,2,n/a,ornamentation
143,58,108,16 5/4,2,n/a,ornamentation
144,57,109,16 3/2,2,n/a,ornamentation
145,55,110,16 7/4,2,n/a,ornamentation
150,58,112,17 1/2,2,1,other
151,50,113,17 1/1,3,0,repetition
152,57,113,17 1/1,2,0,repetition
153,65,113,17 1/1,0,0,repetition
157,55,116,18 1/4,2,n/a,ornamentation
158,57,117,18 1/2,2,n/a,ornamentation
159,59,118,18 3/4,2,n/a,ornamentation
164,48,120,18 3/2,3,0,repetition
168,64,122,19 1/4,0,n/a,ornamentation
169,65,123,19 1/2,0,n/a,ornamentation
170,64,124,19 5/8,0,n/a,ornamentation
171,62,125,19 3/4,0,n/a,ornamentation
172,60,126,19 7/8,0,n/a,ornamentation
177,57,128,19 11/8,0,n/a,ornamentation
178,58,129,19 3/2,0,n/a,ornamentation
179,60,130,19 7/4,0,n/a,ornamentation
181,64,132,21 5/4,0,n/a,ornamentation
182,65,133,21 3/2,0,n/a,ornamentation
183,64,134,21 13/8,0,n/a,ornamentation
184,62,135,21 7/4,0,0,repetition
185,64,136,21 15/8,0,n/a,ornamentation
189,50,138,22 1/1,3,0,repetition
190,57,138,22 1/1,2,0,repetition
191,65,138,22 1/1,0,0,repetition
193,50,140,23,3,0,repetition
198,50,144,23 1/1,3,0,repetition
218,72,157,26 1/4,0,0,repetition
230,58,164,27 1/1,2,0,repetition
233,62,165,27 3/2,2,4,other
239,55,168,28 3/4,2,n/a,ornamentation
240,57,169,28 7/8,2,n/a,ornamentation
242,57,171,28 9/8,3,n/a,ornamentation
243,58,172,28 5/4,3,0,repetition
244,60,173,28 11/8,0,n/a,ornamentation
246,53,175,28 7/4,3,n/a,ornamentation
247,52,176,29,3,3,other
248,50,177,29 1/4,3,5,other
251,61,178,29 1/2,1,6,other
255,62,179,29 1/1,1,7,other
256,67,179,29 1/1,0,0,repetition
258,64,181,29 11/8,0,n/a,ornamentation
259,67,182,29 3/2,0,1,ficta
260,66,183,29 7/4,0,0,repetition
264,55,186,30 1/1,2,0,repetition
266,67,186,30 1/1,0,0,repetition
286,69,201,33,0,0,repetition
318,62,222,36 1/2,0,4,other
323,65,225,37,2,10,other
326,60,228,37 5/8,0,n/a,ornamentation
327,62,229,37 3/4,0,0,repetition
328,64,230,37 7/8,0,n/a,ornamentation
331,63,233,37 3/2,1,1,ficta
352,61,245,40,3,3,other
372,73,252,41 3/2,0,1,ficta
380,53,256,42 5/4,0,n/a,ornamentation
385,62,259,43,2,0,repetition
386,66,259,43,1,1,ficta
391,71,261,44 3/4,0,2,ficta
401,71,266,45 1/1,0,2,ficta
416,71,276,48 1/1,0,2,ficta
422,69,278,49,1,9,other
425,63,279,49 1/1,2,1,ficta
430,66,280,49 2/1,1,1,ficta
435,71,281,50,0,1,ficta
462,60,288,52 1/1,1,3,other
465,60,289,52 2/1,2,3,other
483,66,293,54,0,1,ficta
509,64,302,56 2/1,0,1,ficta
512,55,304,57,2,0,repetition
516,64,305,57 1/1,0,2,ficta
519,55,307,58,2,0,repetition
520,59,307,58,1,1,ficta
522,57,308,58 1/2,0,n/a,ornamentation
523,59,309,58 3/4,0,n/a,ornamentation
524,61,310,58 1/1,0,n/a,ornamentation
525,62,311,58 5/4,0,n/a,ornamentation
526,64,312,58 3/2,0,n/a,ornamentation
527,66,313,58 7/4,0,n/a,ornamentation
528,67,314,58 2/1,0,5,other
529,69,315,58 5/2,0,7,other
530,43,316,59,3,0,repetition
531,55,316,59,2,0,repetition
532,62,316,59,1,4,other
533,71,316,59,0,9,other
