piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
44C	346	533	264	172	68	1	23	.5046	.6341	.9568
51C	346	559	253	179	54	8	12	.5474	.6583	.9785
30C	1004	1141	439	166	167	41	65	.6152	.7975	.9430
30C	511	573	148	32	77	11	28	.7417	.8952	.9511
51M	501	534	139	66	30	21	22	.7397	.8352	.9588
51S	274	322	99	20	51	15	13	.6925	.8975	.9596
51M	316	340	61	13	25	8	15	.8205	.9176	.9558
51S	271	297	52	16	22	4	10	.8249	.9124	.9663
51S	225	260	56	14	25	9	8	.7846	.9153	.9692
30P	298	317	40	5	14	18	3	.8738	.9747	.9905
51S	335	343	73	30	17	13	13	.7871	.8746	.9620
30B	231	266	48	12	28	5	3	.8195	.9436	.9887
51C	436	457	98	40	39	10	9	.7855	.8927	.9803
