note,pitch,chord,bar,mapped voice,cost,category
3,67,1,1 1/1,0,0,repetition
4,54,2,1 11/8,1,n/a,ornamentation
5,55,3,1 3/2,1,n/a,ornamentation
6,54,4,1 13/8,1,n/a,ornamentation
7,55,5,1 7/4,1,0,repetition
8,54,6,1 29/16,1,n/a,ornamentation
9,55,7,1 15/8,1,n/a,ornamentation
10,57,8,1 31/16,1,n/a,ornamentation
13,55,10,2 1/8,1,n/a,ornamentation
14,57,11,2 1/4,1,n/a,ornamentation
15,59,12,2 3/8,1,n/a,ornamentation
17,59,14,2 9/16,1,n/a,ornamentation
18,57,15,2 5/8,1,n/a,ornamentation
19,59,16,2 11/16,1,n/a,ornamentation
20,60,17,2 3/4,1,n/a,ornamentation
22,67,18,2 1/1,0,0,repetition
23,62,19,2 3/2,0,5,other
25,66,21,3 1/4,1,n/a,ornamentation
26,67,22,3 3/8,1,n/a,ornamentation
27,66,23,3 1/2,1,1,ficta
29,66,25,3 1/1,1,2,ficta
30,69,25,3 1/1,0,0,repetition
33,57,28,4 1/4,1,5,other
36,66,31,4 1/1,1,2,ficta
37,69,31,4 1/1,0,0,repetition
38,67,32,4 9/8,0,n/a,ornamentation
39,69,33,4 5/4,0,0,repetition
40,66,34,4 11/8,1,n/a,ornamentation
41,67,35,4 3/2,1,0,repetition
42,66,36,4 25/16,1,n/a,ornamentation
43,67,37,4 13/8,1,n/a,ornamentation
44,66,38,4 27/16,1,n/a,ornamentation
45,67,39,4 7/4,1,2,other
46,66,40,4 29/16,1,n/a,ornamentation
47,64,41,4 15/8,1,n/a,ornamentation
48,66,42,4 31/16,1,n/a,ornamentation
53,66,44,5 1/8,0,n/a,ornamentation
54,64,45,5 1/4,0,n/a,ornamentation
55,66,46,5 3/8,0,n/a,ornamentation
56,67,47,5 1/2,0,n/a,ornamentation
57,69,48,5 5/8,0,n/a,ornamentation
58,71,49,5 3/4,0,n/a,ornamentation
59,69,50,5 13/16,0,n/a,ornamentation
60,71,51,5 7/8,0,n/a,ornamentation
61,72,52,5 15/16,0,n/a,ornamentation
63,55,53,5 1/1,3,0,repetition
64,71,53,5 1/1,0,0,repetition
65,67,54,5 3/2,5,n/a,ornamentation
70,43,57,6 1/8,5,n/a,ornamentation
71,45,58,6 1/4,5,n/a,ornamentation
72,47,59,6 3/8,5,n/a,ornamentation
74,50,61,6 5/8,5,n/a,ornamentation
75,48,62,6 3/4,5,n/a,ornamentation
76,47,63,6 7/8,5,n/a,ornamentation
77,45,64,6 15/16,5,n/a,ornamentation
79,55,65,6 1/1,3,0,repetition
80,67,65,6 1/1,1,0,repetition
81,54,66,6 9/8,3,n/a,ornamentation
82,55,67,6 5/4,3,n/a,ornamentation
83,57,68,6 11/8,3,n/a,ornamentation
84,59,69,6 3/2,3,4,other
85,57,70,6 13/8,3,n/a,ornamentation
86,59,71,6 7/4,3,n/a,ornamentation
87,55,72,6 29/16,3,n/a,ornamentation
88,57,73,6 15/8,3,n/a,ornamentation
89,55,74,6 31/16,3,n/a,ornamentation
91,54,76,7 1/4,5,n/a,ornamentation
92,55,77,7 3/8,5,n/a,ornamentation
93,54,78,7 1/2,5,1,ficta
95,54,80,7 1/1,5,2,ficta
96,57,80,7 1/1,3,0,repetition
99,49,83,8 1/4,5,1,ficta
102,54,86,8 1/1,5,2,ficta
103,57,86,8 1/1,3,0,repetition
104,55,87,8 9/8,3,n/a,ornamentation
105,57,88,8 5/4,3,0,repetition
106,55,89,8 11/8,5,n/a,ornamentation
107,54,90,8 3/2,5,1,other
108,52,91,8 13/8,5,n/a,ornamentation
109,55,92,8 7/4,5,2,other
110,54,93,8 15/8,5,n/a,ornamentation
114,60,95,9 1/8,1,n/a,ornamentation
115,62,96,9 1/4,1,n/a,ornamentation
116,64,97,9 3/8,1,n/a,ornamentation
117,65,98,9 1/2,1,2,other
118,64,99,9 9/16,1,n/a,ornamentation
119,62,100,9 5/8,1,n/a,ornamentation
120,60,101,9 11/16,1,n/a,ornamentation
121,62,102,9 3/4,1,n/a,ornamentation
122,60,103,9 13/16,1,n/a,ornamentation
123,59,104,9 7/8,1,n/a,ornamentation
124,57,105,9 15/16,1,n/a,ornamentation
127,59,106,9 1/1,3,0,repetition
128,57,107,9 9/8,3,n/a,ornamentation
129,59,108,9 5/4,3,0,repetition
130,57,109,9 21/16,2,n/a,ornamentation
131,59,110,9 11/8,2,n/a,ornamentation
132,60,111,9 23/16,2,n/a,ornamentation
139,59,115,10 1/8,2,n/a,ornamentation
140,57,116,10 1/4,2,n/a,ornamentation
141,59,117,10 5/16,2,n/a,ornamentation
142,60,118,10 3/8,2,n/a,ornamentation
143,62,119,10 7/16,2,n/a,ornamentation
148,55,122,10 1/1,5,0,repetition
151,55,123,10 5/4,2,n/a,ornamentation
152,61,124,10 11/8,2,n/a,ornamentation
153,62,125,10 3/2,2,0,repetition
154,64,126,10 13/8,0,n/a,ornamentation
155,66,127,10 7/4,0,n/a,ornamentation
156,67,128,10 15/8,0,n/a,ornamentation
159,62,129,11,5,7,other
161,55,130,11 1/4,5,n/a,ornamentation
162,54,131,11 1/2,5,1,ficta
165,54,133,11 1/1,3,1,ficta
166,69,133,11 1/1,0,0,repetition
170,54,136,11 7/4,3,1,ficta
180,60,140,12 1/1,1,0,repetition
182,54,141,12 5/4,3,1,ficta
188,72,144,13,0,0,repetition
190,57,145,13 1/4,1,0,repetition
191,59,146,13 3/8,1,n/a,ornamentation
193,57,148,13 5/8,1,n/a,ornamentation
194,59,149,13 3/4,1,1,other
195,57,150,13 13/16,1,n/a,ornamentation
196,59,151,13 7/8,1,n/a,ornamentation
197,60,152,13 15/16,1,n/a,ornamentation
202,57,154,13 9/8,1,n/a,ornamentation
203,59,155,13 5/4,1,0,repetition
204,60,156,13 11/8,1,n/a,ornamentation
207,60,158,13 13/8,1,n/a,ornamentation
208,62,159,13 7/4,1,0,repetition
209,60,160,13 29/16,1,n/a,ornamentation
210,62,161,13 15/8,1,n/a,ornamentation
211,64,162,13 31/16,1,n/a,ornamentation
216,64,164,14 1/4,1,n/a,ornamentation
223,59,168,14 11/8,1,n/a,ornamentation
227,54,170,15,4,1,ficta
230,67,170,15,0,0,repetition
231,55,171,15 3/8,3,n/a,ornamentation
232,57,172,15 1/2,3,0,repetition
236,57,174,15 1/1,3,0,repetition
238,62,175,15 9/8,0,n/a,ornamentation
239,64,176,15 5/4,0,n/a,ornamentation
240,66,177,15 11/8,0,n/a,ornamentation
242,67,178,15 3/2,0,1,other
243,66,179,15 13/8,0,n/a,ornamentation
244,67,180,15 7/4,0,n/a,ornamentation
245,66,181,15 29/16,0,n/a,ornamentation
246,64,182,15 15/8,0,n/a,ornamentation
247,66,183,15 31/16,0,n/a,ornamentation
258,67,187,16 1/1,0,0,repetition
