note,pitch,chord,bar,mapped voice,cost,category
2,64,2,1 5/4,1,n/a,ornamentation
3,65,3,1 3/2,1,n/a,ornamentation
4,62,4,1 7/4,1,n/a,ornamentation
5,65,5,1 2/1,1,3,other
6,64,6,1 9/4,1,n/a,ornamentation
7,65,7,1 5/2,1,n/a,ornamentation
8,64,8,1 21/8,1,n/a,ornamentation
9,62,9,1 11/4,1,n/a,ornamentation
10,64,10,1 23/8,1,n/a,ornamentation
14,64,13,2 3/2,1,n/a,ornamentation
15,65,14,2 7/4,1,n/a,ornamentation
18,62,16,2 5/2,1,2,other
24,71,19,3 5/4,0,n/a,ornamentation
25,72,20,3 3/2,0,n/a,ornamentation
26,69,21,3 7/4,0,n/a,ornamentation
28,72,22,3 2/1,0,3,other
29,71,23,3 9/4,0,n/a,ornamentation
30,72,24,3 5/2,0,n/a,ornamentation
31,71,25,3 21/8,0,n/a,ornamentation
32,69,26,3 11/4,0,n/a,ornamentation
33,71,27,3 23/8,0,n/a,ornamentation
39,71,30,4 3/2,0,1,other
40,69,31,4 7/4,0,n/a,ornamentation
50,64,35,5 3/2,1,1,other
63,59,40,6 5/4,1,n/a,ornamentation
64,57,41,6 3/2,1,n/a,ornamentation
65,59,42,6 7/4,1,n/a,ornamentation
66,60,43,6 2/1,1,0,repetition
67,62,44,6 9/4,2,n/a,ornamentation
68,64,45,6 5/2,2,1,other
69,66,46,6 11/4,2,n/a,ornamentation
72,59,47,7,1,3,other
78,65,49,7 3/2,0,n/a,ornamentation
79,67,50,7 7/4,0,n/a,ornamentation
87,57,53,8 1/4,2,n/a,ornamentation
88,59,54,8 1/2,2,n/a,ornamentation
89,60,55,8 3/4,2,n/a,ornamentation
91,62,56,8 1/1,2,0,repetition
92,60,57,8 5/4,3,n/a,ornamentation
93,62,58,8 3/2,3,n/a,ornamentation
94,64,59,8 7/4,3,n/a,ornamentation
102,62,63,9 1/1,3,0,repetition
106,62,66,9 2/1,1,2,ficta
107,61,67,9 9/4,1,n/a,ornamentation
108,62,68,9 5/2,1,n/a,ornamentation
109,61,69,9 21/8,1,n/a,ornamentation
110,59,70,9 11/4,1,n/a,ornamentation
111,61,71,9 23/8,1,n/a,ornamentation
118,62,75,10 7/4,2,n/a,ornamentation
136,67,83,12 3/2,0,n/a,ornamentation
137,69,84,12 7/4,0,n/a,ornamentation
140,69,86,12 9/4,0,n/a,ornamentation
141,71,87,12 5/2,0,n/a,ornamentation
142,67,88,12 21/8,0,n/a,ornamentation
143,69,89,12 11/4,0,n/a,ornamentation
144,71,90,12 23/8,0,n/a,ornamentation
151,57,94,13 7/4,1,n/a,ornamentation
158,64,97,14 1/4,0,n/a,ornamentation
159,65,98,14 1/2,0,n/a,ornamentation
160,67,99,14 3/4,0,n/a,ornamentation
164,67,101,14 5/4,1,n/a,ornamentation
165,65,102,14 3/2,1,n/a,ornamentation
166,64,103,14 7/4,1,n/a,ornamentation
170,64,105,14 9/4,0,n/a,ornamentation
171,66,106,14 5/2,0,3,other
172,62,107,14 21/8,0,n/a,ornamentation
173,64,108,14 11/4,0,n/a,ornamentation
174,66,109,14 23/8,0,n/a,ornamentation
178,64,111,15 1/4,0,n/a,ornamentation
179,66,112,15 1/2,0,n/a,ornamentation
180,67,113,15 5/8,0,n/a,ornamentation
181,69,114,15 3/4,0,n/a,ornamentation
182,71,115,15 7/8,0,n/a,ornamentation
187,57,117,15 3/2,1,n/a,ornamentation
188,59,118,15 7/4,1,n/a,ornamentation
189,60,119,15 2/1,1,0,repetition
190,62,120,15 9/4,2,n/a,ornamentation
191,64,121,15 5/2,2,1,other
192,66,122,15 11/4,2,n/a,ornamentation
195,59,123,16,1,3,other
201,64,125,16 5/4,0,n/a,ornamentation
202,65,126,16 3/2,0,n/a,ornamentation
203,67,127,16 7/4,0,n/a,ornamentation
207,67,129,16 9/4,0,n/a,ornamentation
208,69,130,16 5/2,0,n/a,ornamentation
209,65,131,16 21/8,0,n/a,ornamentation
210,67,132,16 11/4,0,n/a,ornamentation
211,69,133,16 23/8,0,n/a,ornamentation
216,57,135,17 1/4,2,n/a,ornamentation
217,59,136,17 1/2,2,n/a,ornamentation
218,60,137,17 3/4,2,n/a,ornamentation
220,62,138,17 1/1,2,0,repetition
221,60,139,17 5/4,2,n/a,ornamentation
222,62,140,17 3/2,2,n/a,ornamentation
223,60,141,17 13/8,2,n/a,ornamentation
224,62,142,17 7/4,2,n/a,ornamentation
225,64,143,17 15/8,2,n/a,ornamentation
228,65,144,17 2/1,2,1,other
229,62,145,17 9/4,2,n/a,ornamentation
230,64,146,17 5/2,2,0,repetition
231,65,147,17 11/4,1,n/a,ornamentation
234,67,148,18,1,3,other
235,65,149,18 1/4,1,n/a,ornamentation
236,67,150,18 1/2,1,3,other
237,65,151,18 5/8,3,n/a,ornamentation
238,64,152,18 3/4,3,n/a,ornamentation
239,62,153,18 7/8,3,n/a,ornamentation
241,61,154,18 1/1,3,1,other
242,62,155,18 5/4,1,n/a,ornamentation
243,64,156,18 3/2,1,0,repetition
244,62,157,18 7/4,3,1,other
246,59,159,18 9/4,3,n/a,ornamentation
247,62,160,18 5/2,3,n/a,ornamentation
248,61,161,18 11/4,3,n/a,ornamentation
251,66,162,19,2,1,ficta
256,62,165,19 2/1,3,0,repetition
273,67,174,21 3/2,2,2,other
277,64,176,21 5/2,2,1,other
281,64,178,22 1/4,0,n/a,ornamentation
282,65,179,22 1/2,0,n/a,ornamentation
283,62,180,22 3/4,0,n/a,ornamentation
287,66,182,22 5/4,2,n/a,ornamentation
288,67,183,22 3/2,2,n/a,ornamentation
289,64,184,22 7/4,2,n/a,ornamentation
292,67,185,22 2/1,2,2,other
293,66,186,22 9/4,0,n/a,ornamentation
294,67,187,22 5/2,0,n/a,ornamentation
295,66,188,22 21/8,0,n/a,ornamentation
296,64,189,22 11/4,0,n/a,ornamentation
297,66,190,22 23/8,0,n/a,ornamentation
315,57,200,24 9/4,2,n/a,ornamentation
316,59,201,24 5/2,2,1,other
317,57,202,24 21/8,2,n/a,ornamentation
318,59,203,24 11/4,2,n/a,ornamentation
319,60,204,24 23/8,2,n/a,ornamentation
323,60,206,25 1/2,2,n/a,ornamentation
