note,pitch,chord,bar,mapped voice,cost,category
2,43,1,1 1/1,4,0,repetition
3,55,1,1 1/1,3,0,repetition
6,55,3,2,3,0,repetition
7,43,4,2 1/4,4,n/a,ornamentation
8,45,5,2 1/2,4,n/a,ornamentation
9,46,6,2 3/4,4,n/a,ornamentation
11,55,7,2 1/1,3,0,repetition
12,46,8,2 5/4,4,n/a,ornamentation
13,48,9,2 11/8,4,n/a,ornamentation
14,50,10,2 3/2,4,n/a,ornamentation
15,48,11,2 13/8,4,n/a,ornamentation
16,46,12,2 7/4,4,n/a,ornamentation
17,45,13,2 15/8,4,n/a,ornamentation
21,55,15,3 1/1,3,0,repetition
24,58,16,4,4,15,other
25,43,17,4 1/2,5,n/a,ornamentation
26,45,18,4 5/8,5,n/a,ornamentation
27,46,19,4 3/4,5,n/a,ornamentation
28,48,20,4 7/8,5,n/a,ornamentation
29,43,21,4 1/1,5,0,repetition
30,55,21,4 1/1,3,0,repetition
35,55,23,5,3,0,repetition
36,43,24,5 1/4,5,n/a,ornamentation
37,45,25,5 1/2,5,n/a,ornamentation
38,46,26,5 3/4,5,n/a,ornamentation
41,55,27,5 1/1,3,0,repetition
42,50,28,5 5/4,4,n/a,ornamentation
43,51,29,5 11/8,4,n/a,ornamentation
44,53,30,5 3/2,4,n/a,ornamentation
45,51,31,5 13/8,4,n/a,ornamentation
46,50,32,5 7/4,4,n/a,ornamentation
47,48,33,5 15/8,4,n/a,ornamentation
52,50,35,6 1/1,4,0,repetition
53,55,35,6 1/1,3,0,repetition
54,53,36,6 11/8,5,n/a,ornamentation
55,55,37,6 3/2,5,n/a,ornamentation
56,57,38,6 13/8,5,n/a,ornamentation
57,58,39,6 7/4,5,n/a,ornamentation
58,60,40,6 15/8,5,n/a,ornamentation
61,58,41,7,5,15,other
62,52,42,7 1/2,3,n/a,ornamentation
63,53,43,7 5/8,3,n/a,ornamentation
64,55,44,7 3/4,3,n/a,ornamentation
65,57,45,7 7/8,3,n/a,ornamentation
66,43,46,7 1/1,4,0,repetition
67,55,46,7 1/1,5,9,other
68,58,46,7 1/1,3,3,other
73,55,48,8,3,0,repetition
77,63,51,8 5/4,4,n/a,ornamentation
78,62,52,8 11/8,4,n/a,ornamentation
79,60,53,8 3/2,4,n/a,ornamentation
80,58,54,8 13/8,4,n/a,ornamentation
81,57,55,8 7/4,4,n/a,ornamentation
82,55,56,8 15/8,4,n/a,ornamentation
87,53,59,9 1/1,5,0,repetition
90,55,61,9 7/4,4,n/a,ornamentation
93,57,62,10,4,7,other
95,50,64,10 1/2,5,0,repetition
98,50,65,10 1/1,3,3,other
