note,pitch,chord,bar,mapped voice,cost,category
1,60,1,1 3/8,1,n/a,ornamentation
2,62,2,1 1/2,1,n/a,ornamentation
3,64,3,1 5/8,1,n/a,ornamentation
4,65,4,1 3/4,1,n/a,ornamentation
5,67,5,1 7/8,1,n/a,ornamentation
8,67,7,1 11/8,1,n/a,ornamentation
10,67,9,1 13/8,0,n/a,ornamentation
11,69,10,1 7/4,0,n/a,ornamentation
12,71,11,1 15/8,0,n/a,ornamentation
15,64,13,2 1/4,1,n/a,ornamentation
16,65,14,2 3/8,1,n/a,ornamentation
17,67,15,2 1/2,1,2,other
18,65,16,2 5/8,1,n/a,ornamentation
19,64,17,2 3/4,1,n/a,ornamentation
20,62,18,2 7/8,1,n/a,ornamentation
27,66,23,3 1/4,1,2,ficta
30,71,25,3 3/4,0,n/a,ornamentation
31,67,26,3 1/1,1,0,repetition
34,64,28,3 11/8,1,n/a,ornamentation
36,69,29,3 3/2,0,0,repetition
37,67,30,3 7/4,1,1,other
38,66,31,3 29/16,1,n/a,ornamentation
39,64,32,3 15/8,1,n/a,ornamentation
40,66,33,3 31/16,1,n/a,ornamentation
54,66,42,5,1,2,ficta
56,67,43,5 1/4,1,n/a,ornamentation
59,71,45,5 3/4,0,n/a,ornamentation
60,67,46,5 1/1,1,0,repetition
63,64,48,5 11/8,1,n/a,ornamentation
65,67,50,5 13/8,0,n/a,ornamentation
66,69,51,5 7/4,0,0,repetition
67,67,52,5 29/16,0,n/a,ornamentation
68,69,53,5 15/8,0,n/a,ornamentation
69,66,54,5 31/16,0,n/a,ornamentation
72,66,56,6 1/4,1,n/a,ornamentation
73,64,57,6 3/8,1,n/a,ornamentation
74,62,58,6 1/2,1,n/a,ornamentation
75,60,59,6 5/8,1,n/a,ornamentation
76,59,60,6 3/4,1,n/a,ornamentation
77,57,61,6 7/8,1,n/a,ornamentation
78,55,62,6 1/1,1,12,other
80,64,64,6 13/8,0,n/a,ornamentation
81,66,65,6 7/4,0,n/a,ornamentation
82,67,66,6 15/8,0,n/a,ornamentation
84,66,68,7 1/8,0,n/a,ornamentation
85,67,69,7 1/4,0,n/a,ornamentation
86,69,70,7 3/8,0,n/a,ornamentation
89,69,72,7 3/4,0,n/a,ornamentation
90,71,73,7 7/8,0,n/a,ornamentation
98,60,79,8 1/1,1,0,repetition
99,69,79,8 1/1,0,0,repetition
100,71,80,8 5/4,0,n/a,ornamentation
101,69,81,8 21/16,0,n/a,ornamentation
102,67,82,8 11/8,0,n/a,ornamentation
103,69,83,8 23/16,0,n/a,ornamentation
106,57,85,8 7/4,1,n/a,ornamentation
108,71,86,9,0,0,repetition
113,67,90,9 1/1,0,0,repetition
115,64,92,9 11/8,0,n/a,ornamentation
116,67,93,9 3/2,0,1,other
117,66,94,9 13/8,0,n/a,ornamentation
118,67,95,9 7/4,0,1,other
119,66,96,9 29/16,0,n/a,ornamentation
120,64,97,9 15/8,0,n/a,ornamentation
121,66,98,9 31/16,0,n/a,ornamentation
124,66,100,10 1/4,0,n/a,ornamentation
125,64,101,10 3/8,0,n/a,ornamentation
126,62,102,10 1/2,0,n/a,ornamentation
127,60,103,10 5/8,0,n/a,ornamentation
128,59,104,10 3/4,0,n/a,ornamentation
129,57,105,10 7/8,0,n/a,ornamentation
130,55,106,10 1/1,0,n/a,ornamentation
131,66,107,10 5/4,0,n/a,ornamentation
132,64,108,10 11/8,0,n/a,ornamentation
133,62,109,10 3/2,0,n/a,ornamentation
134,64,110,10 13/8,0,n/a,ornamentation
135,66,111,10 7/4,0,n/a,ornamentation
136,67,112,10 15/8,0,n/a,ornamentation
138,67,114,11 1/4,0,n/a,ornamentation
139,69,115,11 3/8,0,n/a,ornamentation
140,71,116,11 1/2,0,n/a,ornamentation
141,69,117,11 5/8,0,n/a,ornamentation
142,71,118,11 3/4,0,n/a,ornamentation
143,69,119,11 13/16,0,n/a,ornamentation
144,67,120,11 7/8,0,n/a,ornamentation
145,69,121,11 15/16,0,n/a,ornamentation
148,59,123,11 5/4,1,n/a,ornamentation
149,60,124,11 11/8,1,n/a,ornamentation
150,62,125,11 3/2,1,n/a,ornamentation
151,59,126,11 13/8,1,n/a,ornamentation
152,60,127,11 7/4,1,n/a,ornamentation
153,62,128,11 15/8,1,n/a,ornamentation
155,71,129,12,0,0,repetition
156,67,130,12 1/4,0,n/a,ornamentation
157,69,131,12 3/8,0,n/a,ornamentation
158,71,132,12 1/2,0,0,repetition
159,69,133,12 5/8,0,n/a,ornamentation
160,71,134,12 3/4,0,n/a,ornamentation
161,69,135,12 13/16,0,n/a,ornamentation
162,67,136,12 7/8,0,n/a,ornamentation
163,66,137,12 15/16,0,n/a,ornamentation
164,64,138,12 1/1,1,0,repetition
166,69,139,12 5/4,0,n/a,ornamentation
167,71,140,12 11/8,0,n/a,ornamentation
170,59,142,12 7/4,1,n/a,ornamentation
172,72,143,13,0,0,repetition
173,62,144,13 1/8,1,n/a,ornamentation
174,64,145,13 1/4,1,n/a,ornamentation
175,66,146,13 3/8,1,n/a,ornamentation
180,67,149,13 5/4,0,n/a,ornamentation
183,64,151,14,1,0,repetition
187,65,153,14 1/2,0,0,repetition
188,67,154,14 3/4,0,n/a,ornamentation
189,65,155,14 7/8,0,n/a,ornamentation
190,62,156,14 1/1,1,0,repetition
192,61,157,14 11/8,1,n/a,ornamentation
193,62,158,14 3/2,1,1,ficta
194,61,159,14 13/8,1,n/a,ornamentation
196,61,161,14 15/8,1,n/a,ornamentation
199,61,163,15 3/8,1,n/a,ornamentation
200,59,164,15 1/2,1,n/a,ornamentation
201,61,165,15 5/8,1,n/a,ornamentation
202,62,166,15 3/4,1,n/a,ornamentation
203,64,167,15 7/8,1,n/a,ornamentation
204,62,168,15 1/1,1,0,repetition
207,64,171,16 1/4,1,n/a,ornamentation
209,65,172,16 1/2,1,0,repetition
213,64,175,16 5/4,0,n/a,ornamentation
215,65,176,16 3/2,0,0,repetition
227,69,184,18,0,0,repetition
231,59,187,18 3/4,1,n/a,ornamentation
233,67,188,18 1/1,0,0,repetition
234,66,189,18 11/8,0,n/a,ornamentation
235,67,190,18 3/2,0,0,repetition
236,66,191,18 13/8,0,n/a,ornamentation
237,64,192,18 7/4,0,n/a,ornamentation
238,66,193,18 15/8,0,n/a,ornamentation
242,60,196,19 5/8,0,n/a,ornamentation
243,59,197,19 3/4,0,n/a,ornamentation
244,60,198,19 13/16,0,n/a,ornamentation
245,62,199,19 7/8,0,n/a,ornamentation
246,64,200,19 15/16,0,n/a,ornamentation
248,64,202,19 5/4,0,n/a,ornamentation
250,65,203,19 3/2,0,0,repetition
261,71,211,20 7/4,0,n/a,ornamentation
262,60,212,21,1,0,repetition
263,69,212,21,0,0,repetition
264,59,213,21 1/4,1,0,repetition
266,57,214,21 1/2,1,2,other
268,55,215,21 3/4,1,n/a,ornamentation
270,67,216,21 1/1,0,0,repetition
271,62,217,21 5/4,0,n/a,ornamentation
272,64,218,21 11/8,0,n/a,ornamentation
274,62,220,21 13/8,0,n/a,ornamentation
275,64,221,21 7/4,0,n/a,ornamentation
276,66,222,21 15/8,0,n/a,ornamentation
339,60,258,26 1/1,1,0,repetition
350,59,265,27 3/4,1,n/a,ornamentation
352,67,266,27 1/1,0,0,repetition
354,64,268,27 11/8,0,n/a,ornamentation
356,67,270,27 13/8,0,n/a,ornamentation
358,66,272,27 15/8,0,n/a,ornamentation
