note,pitch,chord,bar,mapped voice,cost,category
3,59,1,1 1/4,3,n/a,ornamentation
4,60,2,1 3/8,3,n/a,ornamentation
5,62,3,1 1/2,3,n/a,ornamentation
6,60,4,1 5/8,3,n/a,ornamentation
7,59,5,1 3/4,3,n/a,ornamentation
8,60,6,1 7/8,3,n/a,ornamentation
9,53,7,1 1/1,4,0,repetition
11,69,7,1 1/1,2,0,repetition
12,64,8,1 5/4,3,n/a,ornamentation
15,67,10,1 7/4,3,n/a,ornamentation
17,65,11,2,3,0,repetition
18,69,11,2,2,0,repetition
19,70,12,2 1/4,3,n/a,ornamentation
20,69,13,2 3/8,3,n/a,ornamentation
21,67,14,2 1/2,3,2,other
22,65,15,2 5/8,3,n/a,ornamentation
23,64,16,2 3/4,3,0,repetition
24,62,17,2 7/8,3,n/a,ornamentation
27,69,18,2 1/1,2,0,repetition
29,62,19,2 5/4,3,n/a,ornamentation
30,57,20,2 3/2,4,0,repetition
31,64,20,2 3/2,3,0,repetition
32,72,21,2 7/4,0,n/a,ornamentation
35,69,22,3,2,0,repetition
37,76,23,3 1/4,0,n/a,ornamentation
39,50,25,3 1/1,4,0,repetition
40,62,25,3 1/1,3,0,repetition
41,69,25,3 1/1,2,0,repetition
42,77,26,3 5/4,0,n/a,ornamentation
49,69,29,4,2,0,repetition
51,53,30,4 1/4,1,n/a,ornamentation
52,55,31,4 1/2,1,n/a,ornamentation
53,57,32,4 3/4,1,n/a,ornamentation
56,69,33,4 1/1,2,0,repetition
61,65,35,5,1,0,repetition
64,60,37,5 1/2,3,2,ficta
68,60,39,5 1/1,3,1,ficta
70,67,39,5 1/1,2,0,repetition
72,62,40,5 5/4,3,n/a,ornamentation
73,62,41,5 3/2,3,1,other
74,64,41,5 3/2,1,0,repetition
75,60,42,5 7/4,3,1,other
76,76,42,5 7/4,0,0,repetition
80,64,44,6 1/4,0,n/a,ornamentation
81,65,45,6 1/2,0,n/a,ornamentation
84,65,47,6 1/1,2,0,repetition
93,74,50,7,0,0,repetition
101,62,54,7 1/1,2,0,repetition
104,55,55,7 5/4,1,n/a,ornamentation
105,57,56,7 11/8,1,n/a,ornamentation
106,58,57,7 3/2,1,n/a,ornamentation
107,60,58,7 13/8,1,n/a,ornamentation
108,62,59,7 7/4,1,n/a,ornamentation
109,64,60,7 15/8,1,n/a,ornamentation
112,62,61,8,2,0,repetition
115,48,62,8 1/4,4,n/a,ornamentation
116,50,63,8 1/2,4,n/a,ornamentation
119,57,65,8 1/1,3,0,repetition
120,62,65,8 1/1,2,0,repetition
121,65,65,8 1/1,1,0,repetition
122,67,66,8 5/4,1,n/a,ornamentation
123,65,67,8 11/8,1,n/a,ornamentation
138,67,72,9 1/1,2,0,repetition
144,60,76,10,1,4,other
145,67,76,10,2,0,repetition
151,55,80,10 1/1,4,0,repetition
154,67,80,10 1/1,2,0,repetition
155,57,81,10 5/4,4,2,other
162,67,84,11,2,0,repetition
170,67,88,11 1/1,2,0,repetition
178,55,91,12 1/4,4,0,repetition
179,57,92,12 3/8,3,n/a,ornamentation
181,60,94,12 5/8,1,n/a,ornamentation
182,62,95,12 3/4,1,0,repetition
183,64,96,12 7/8,3,n/a,ornamentation
186,67,97,12 1/1,2,0,repetition
188,53,98,12 5/4,3,n/a,ornamentation
197,53,101,13 1/1,3,4,other
198,57,101,13 1/1,2,8,other
201,62,102,13 5/4,0,n/a,ornamentation
202,64,103,13 11/8,0,n/a,ornamentation
203,65,104,13 3/2,0,n/a,ornamentation
204,67,105,13 13/8,0,n/a,ornamentation
205,69,106,13 7/4,0,n/a,ornamentation
206,70,107,13 15/8,0,n/a,ornamentation
209,65,108,14,2,0,repetition
211,70,109,14 3/8,0,n/a,ornamentation
212,72,110,14 1/2,0,n/a,ornamentation
213,70,111,14 5/8,0,n/a,ornamentation
214,69,112,14 3/4,0,3,other
215,67,113,14 7/8,0,n/a,ornamentation
218,65,114,14 1/1,2,0,repetition
220,70,115,14 5/4,1,n/a,ornamentation
221,69,116,14 11/8,1,n/a,ornamentation
222,67,117,14 3/2,1,n/a,ornamentation
223,65,118,14 13/8,1,n/a,ornamentation
224,64,119,14 7/4,1,n/a,ornamentation
225,62,120,14 15/8,1,n/a,ornamentation
234,64,124,15 1/1,2,0,repetition
242,55,127,16 3/8,4,n/a,ornamentation
243,53,128,16 1/2,4,n/a,ornamentation
244,52,129,16 5/8,4,n/a,ornamentation
245,50,130,16 3/4,4,n/a,ornamentation
246,48,131,16 7/8,4,n/a,ornamentation
248,53,132,16 1/1,1,0,repetition
251,67,133,16 5/4,0,n/a,ornamentation
252,65,134,16 11/8,0,n/a,ornamentation
253,64,135,16 3/2,0,n/a,ornamentation
254,65,136,16 13/8,0,n/a,ornamentation
255,67,137,16 7/4,0,n/a,ornamentation
256,69,138,16 15/8,0,n/a,ornamentation
262,55,142,17 1/1,4,0,repetition
264,62,142,17 1/1,2,0,repetition
265,70,142,17 1/1,0,0,repetition
273,62,146,18,3,0,repetition
275,67,147,18 1/4,0,n/a,ornamentation
276,69,148,18 3/8,0,n/a,ornamentation
280,65,150,18 3/4,0,n/a,ornamentation
281,67,151,18 7/8,0,n/a,ornamentation
284,62,152,18 1/1,2,0,repetition
285,65,152,18 1/1,0,2,other
286,48,153,18 5/4,4,2,other
287,64,153,18 5/4,2,2,other
288,50,154,18 3/2,4,0,repetition
301,53,160,19 1/1,1,0,repetition
303,60,160,19 1/1,2,0,repetition
304,72,160,19 1/1,0,0,repetition
310,70,163,19 7/4,0,n/a,ornamentation
311,69,164,19 15/8,0,n/a,ornamentation
313,60,165,20,3,0,repetition
315,69,166,20 1/4,0,n/a,ornamentation
316,67,167,20 3/8,0,n/a,ornamentation
320,67,169,20 3/4,0,n/a,ornamentation
321,65,170,20 7/8,0,n/a,ornamentation
324,60,171,20 1/1,2,0,repetition
325,65,171,20 1/1,0,0,repetition
326,64,172,20 5/4,0,n/a,ornamentation
327,62,173,20 11/8,0,n/a,ornamentation
328,65,174,20 3/2,0,0,repetition
329,64,175,20 13/8,0,n/a,ornamentation
330,65,176,20 7/4,0,n/a,ornamentation
331,64,177,20 29/16,0,n/a,ornamentation
332,62,178,20 15/8,0,n/a,ornamentation
333,64,179,20 31/16,0,n/a,ornamentation
334,41,180,21,1,12,other
336,60,180,21,2,0,repetition
338,59,181,21 1/4,1,n/a,ornamentation
339,60,182,21 3/8,1,n/a,ornamentation
340,62,183,21 1/2,1,n/a,ornamentation
341,64,184,21 5/8,1,n/a,ornamentation
342,65,185,21 3/4,1,n/a,ornamentation
343,67,186,21 7/8,1,n/a,ornamentation
344,41,187,21 1/1,4,12,other
346,60,187,21 1/1,2,0,repetition
348,55,188,21 11/8,3,n/a,ornamentation
349,57,189,21 3/2,3,n/a,ornamentation
350,53,190,21 13/8,3,n/a,ornamentation
351,55,191,21 7/4,3,n/a,ornamentation
352,57,192,21 15/8,3,n/a,ornamentation
356,62,194,22 1/2,0,n/a,ornamentation
357,64,195,22 5/8,0,n/a,ornamentation
358,65,196,22 3/4,0,n/a,ornamentation
359,67,197,22 7/8,0,n/a,ornamentation
361,62,198,22 1/1,2,0,repetition
