note,pitch,chord,bar,mapped voice,cost,category
2,57,1,1 1/1,3,0,repetition
3,60,1,1 1/1,2,0,repetition
7,60,2,2,2,0,repetition
9,72,2,2,0,0,repetition
10,48,3,2 1/1,4,0,repetition
11,55,3,2 1/1,3,0,repetition
12,60,3,2 1/1,2,0,repetition
13,64,3,2 1/1,1,0,repetition
20,65,5,3 3/8,0,n/a,ornamentation
21,64,6,3 1/2,0,n/a,ornamentation
22,65,7,3 5/8,0,n/a,ornamentation
23,67,8,3 3/4,0,n/a,ornamentation
24,69,9,3 7/8,0,n/a,ornamentation
26,55,10,3 1/1,3,0,repetition
27,58,10,3 1/1,2,0,repetition
28,62,10,3 1/1,1,0,repetition
30,69,11,3 5/4,0,n/a,ornamentation
31,67,12,3 3/2,0,n/a,ornamentation
32,69,13,3 7/4,0,n/a,ornamentation
37,70,14,4,0,0,repetition
40,46,17,4 1/1,4,0,repetition
41,53,17,4 1/1,3,0,repetition
42,58,17,4 1/1,2,0,repetition
43,62,17,4 1/1,1,0,repetition
51,67,21,5 3/8,0,n/a,ornamentation
52,65,22,5 1/2,0,n/a,ornamentation
53,67,23,5 5/8,0,n/a,ornamentation
54,69,24,5 3/4,0,0,repetition
55,70,25,5 7/8,0,n/a,ornamentation
56,41,26,5 1/1,4,0,repetition
57,57,26,5 1/1,2,0,repetition
58,60,26,5 1/1,1,0,repetition
62,62,28,6 1/4,0,n/a,ornamentation
63,64,29,6 3/8,0,n/a,ornamentation
64,65,30,6 1/2,0,n/a,ornamentation
65,67,31,6 5/8,0,n/a,ornamentation
66,69,32,6 3/4,0,n/a,ornamentation
67,70,33,6 7/8,0,n/a,ornamentation
68,57,34,6 1/1,3,0,repetition
69,60,34,6 1/1,2,0,repetition
71,55,35,6 5/4,3,n/a,ornamentation
72,53,36,6 3/2,3,n/a,ornamentation
73,57,37,6 7/4,3,n/a,ornamentation
76,60,38,7,2,0,repetition
78,72,38,7,0,0,repetition
79,70,39,7 1/4,1,n/a,ornamentation
80,69,40,7 3/8,1,n/a,ornamentation
81,70,41,7 1/2,1,n/a,ornamentation
82,69,42,7 5/8,1,n/a,ornamentation
83,67,43,7 3/4,1,n/a,ornamentation
84,65,44,7 7/8,1,n/a,ornamentation
85,48,45,7 1/1,4,0,repetition
86,55,45,7 1/1,3,0,repetition
87,60,45,7 1/1,2,0,repetition
88,64,45,7 1/1,1,0,repetition
90,58,46,7 5/4,2,n/a,ornamentation
91,60,47,7 11/8,2,n/a,ornamentation
92,62,48,7 3/2,2,n/a,ornamentation
93,60,49,7 13/8,2,n/a,ornamentation
94,58,50,7 7/4,2,n/a,ornamentation
95,57,51,7 15/8,2,n/a,ornamentation
101,67,53,8 1/4,0,n/a,ornamentation
102,65,54,8 3/8,0,n/a,ornamentation
103,64,55,8 1/2,0,n/a,ornamentation
104,65,56,8 5/8,0,n/a,ornamentation
105,67,57,8 3/4,0,n/a,ornamentation
106,69,58,8 7/8,0,n/a,ornamentation
108,55,59,8 1/1,3,0,repetition
109,58,59,8 1/1,2,0,repetition
110,62,59,8 1/1,1,0,repetition
112,41,60,8 5/4,4,n/a,ornamentation
113,43,61,8 3/2,4,0,repetition
