note,pitch,chord,bar,mapped voice,cost,category
4,60,4,2 3/8,0,n/a,ornamentation
5,58,5,2 1/2,0,n/a,ornamentation
6,60,6,2 5/8,0,n/a,ornamentation
7,62,7,2 3/4,0,n/a,ornamentation
8,64,8,2 7/8,0,n/a,ornamentation
9,62,9,2 1/1,0,0,repetition
20,64,16,4 3/8,0,n/a,ornamentation
21,65,17,4 1/2,0,n/a,ornamentation
22,64,18,4 5/8,0,n/a,ornamentation
23,65,19,4 3/4,0,n/a,ornamentation
24,64,20,4 13/16,0,n/a,ornamentation
25,62,21,4 7/8,0,n/a,ornamentation
26,60,22,4 15/16,0,n/a,ornamentation
28,62,23,4 1/1,1,0,repetition
33,60,26,5 1/4,1,n/a,ornamentation
34,62,27,5 3/8,1,n/a,ornamentation
35,64,28,5 1/2,1,2,other
36,65,29,5 5/8,0,n/a,ornamentation
37,67,30,5 3/4,0,n/a,ornamentation
38,69,31,5 7/8,0,n/a,ornamentation
41,70,32,5 1/1,0,0,repetition
42,60,33,5 5/4,1,n/a,ornamentation
44,62,34,5 3/2,1,0,repetition
46,64,35,5 7/4,1,n/a,ornamentation
50,64,37,6 3/8,0,n/a,ornamentation
51,62,38,6 1/2,0,n/a,ornamentation
52,64,39,6 5/8,0,n/a,ornamentation
53,65,40,6 3/4,0,n/a,ornamentation
54,67,41,6 7/8,0,n/a,ornamentation
57,70,43,6 5/4,0,n/a,ornamentation
58,69,44,6 21/16,0,n/a,ornamentation
59,67,45,6 11/8,0,n/a,ornamentation
60,69,46,6 23/16,0,n/a,ornamentation
64,67,48,6 7/4,0,n/a,ornamentation
65,69,49,6 15/8,0,n/a,ornamentation
68,70,50,7,0,0,repetition
75,66,53,7 3/4,0,1,ficta
89,50,58,8 1/1,3,0,repetition
108,57,67,9 7/4,2,n/a,ornamentation
109,55,68,9 15/8,2,n/a,ornamentation
114,62,70,10 1/2,0,n/a,ornamentation
115,64,71,10 5/8,0,n/a,ornamentation
116,65,72,10 3/4,0,n/a,ornamentation
117,67,73,10 7/8,0,n/a,ornamentation
118,50,74,10 1/1,1,0,repetition
119,53,74,10 1/1,3,0,repetition
128,67,78,11 3/4,0,n/a,ornamentation
129,69,79,11 7/8,0,n/a,ornamentation
133,58,81,11 5/4,2,n/a,ornamentation
134,62,82,11 3/2,2,0,repetition
135,64,83,11 7/4,2,n/a,ornamentation
140,67,85,12 1/4,0,n/a,ornamentation
141,65,86,12 3/8,0,n/a,ornamentation
142,64,87,12 1/2,0,n/a,ornamentation
143,65,88,12 5/8,0,n/a,ornamentation
144,67,89,12 3/4,0,n/a,ornamentation
145,69,90,12 7/8,0,n/a,ornamentation
150,70,93,12 7/4,0,n/a,ornamentation
152,62,94,13,1,0,repetition
154,70,95,13 1/4,0,n/a,ornamentation
155,69,96,13 5/16,0,n/a,ornamentation
156,67,97,13 3/8,0,n/a,ornamentation
157,69,98,13 7/16,0,n/a,ornamentation
162,70,101,13 5/4,0,n/a,ornamentation
169,55,105,14 1/4,1,n/a,ornamentation
170,57,106,14 1/2,1,n/a,ornamentation
171,58,107,14 3/4,1,n/a,ornamentation
174,65,109,14 11/8,1,n/a,ornamentation
175,63,110,14 3/2,1,0,repetition
177,65,111,14 13/8,0,n/a,ornamentation
178,63,112,14 7/4,0,n/a,ornamentation
179,67,113,14 15/8,0,n/a,ornamentation
184,69,116,15 5/8,0,n/a,ornamentation
185,70,117,15 3/4,0,n/a,ornamentation
186,69,118,15 1/1,0,n/a,ornamentation
187,63,119,15 5/4,1,0,repetition
188,67,119,15 5/4,0,0,repetition
197,60,124,16 3/4,3,n/a,ornamentation
198,58,125,16 13/16,3,n/a,ornamentation
199,57,126,16 7/8,3,n/a,ornamentation
200,58,127,16 15/16,3,n/a,ornamentation
205,64,130,16 13/8,2,n/a,ornamentation
206,65,131,16 7/4,2,n/a,ornamentation
207,64,132,17,2,n/a,ornamentation
208,58,133,17 1/4,3,0,repetition
209,62,133,17 1/4,2,0,repetition
223,62,140,18 1/1,1,0,repetition
231,70,144,19,0,0,repetition
239,67,148,19 1/1,0,0,repetition
240,66,149,19 5/4,0,n/a,ornamentation
241,64,150,19 11/8,0,n/a,ornamentation
245,64,152,19 7/4,0,n/a,ornamentation
246,66,153,19 15/8,0,n/a,ornamentation
251,69,155,20 3/8,0,n/a,ornamentation
254,69,157,20 3/4,0,n/a,ornamentation
255,67,158,20 7/8,0,n/a,ornamentation
256,62,159,20 1/1,2,0,repetition
263,70,163,21,0,0,repetition
266,58,166,21 3/4,2,n/a,ornamentation
268,67,167,21 1/1,0,0,repetition
269,66,168,21 5/4,0,n/a,ornamentation
270,67,169,21 11/8,0,n/a,ornamentation
271,69,170,21 3/2,0,2,other
272,67,171,21 13/8,0,n/a,ornamentation
273,69,172,21 7/4,0,n/a,ornamentation
274,67,173,21 29/16,0,n/a,ornamentation
275,69,174,21 15/8,0,n/a,ornamentation
276,66,175,21 31/16,0,n/a,ornamentation
282,60,179,22 11/8,2,n/a,ornamentation
284,50,181,23,3,0,repetition
285,58,181,23,2,0,repetition
289,63,184,23 3/4,3,n/a,ornamentation
290,62,185,23 7/8,3,n/a,ornamentation
292,58,187,23 9/8,2,n/a,ornamentation
293,57,188,23 5/4,2,n/a,ornamentation
294,55,189,23 11/8,2,n/a,ornamentation
297,55,191,23 7/4,2,n/a,ornamentation
298,54,192,23 15/8,2,n/a,ornamentation
303,55,195,24 3/4,1,n/a,ornamentation
304,57,196,24 13/16,1,n/a,ornamentation
305,58,197,24 7/8,1,n/a,ornamentation
306,60,198,24 15/16,1,n/a,ornamentation
308,62,199,24 1/1,1,0,repetition
309,60,200,24 5/4,1,n/a,ornamentation
312,60,202,24 7/4,1,n/a,ornamentation
313,58,203,24 29/16,1,n/a,ornamentation
314,57,204,24 15/8,1,n/a,ornamentation
315,58,205,24 31/16,1,n/a,ornamentation
318,57,207,25 1/8,1,n/a,ornamentation
319,58,208,25 1/4,1,n/a,ornamentation
320,60,209,25 3/8,1,n/a,ornamentation
323,60,211,25 5/8,1,n/a,ornamentation
324,58,212,25 3/4,1,n/a,ornamentation
325,57,213,25 7/8,1,n/a,ornamentation
326,51,214,25 1/1,3,1,ficta
328,50,215,25 5/4,3,n/a,ornamentation
329,51,216,25 11/8,3,n/a,ornamentation
330,53,217,25 3/2,3,n/a,ornamentation
331,51,218,25 13/8,3,n/a,ornamentation
332,50,219,25 7/4,3,n/a,ornamentation
333,48,220,25 15/8,3,n/a,ornamentation
337,64,223,26 5/8,0,n/a,ornamentation
338,65,224,26 3/4,0,n/a,ornamentation
339,67,225,26 7/8,0,n/a,ornamentation
340,50,226,26 1/1,3,0,repetition
342,69,226,26 1/1,0,0,repetition
343,67,227,26 5/4,0,n/a,ornamentation
348,62,230,27 1/4,1,n/a,ornamentation
349,60,231,27 5/16,1,n/a,ornamentation
350,58,232,27 3/8,1,n/a,ornamentation
351,60,233,27 7/16,1,n/a,ornamentation
356,60,236,27 5/4,1,n/a,ornamentation
357,58,237,27 11/8,1,n/a,ornamentation
358,60,238,27 3/2,1,n/a,ornamentation
359,58,239,27 13/8,1,n/a,ornamentation
360,60,240,27 7/4,1,n/a,ornamentation
361,58,241,27 29/16,1,n/a,ornamentation
362,57,242,27 15/8,1,n/a,ornamentation
363,55,243,27 31/16,1,n/a,ornamentation
371,57,248,28 1/1,2,0,repetition
377,62,250,29,1,0,repetition
379,59,251,29 1/4,1,3,ficta
381,61,252,29 1/2,1,3,ficta
383,59,253,29 3/4,1,n/a,ornamentation
384,61,254,29 7/8,1,n/a,ornamentation
388,64,256,29 5/4,0,n/a,ornamentation
389,65,257,29 11/8,0,n/a,ornamentation
390,67,258,29 3/2,0,n/a,ornamentation
391,65,259,29 13/8,0,n/a,ornamentation
392,64,260,29 7/4,0,n/a,ornamentation
393,62,261,29 15/8,0,n/a,ornamentation
395,65,263,30 1/8,0,n/a,ornamentation
396,62,264,30 1/4,0,n/a,ornamentation
