note,pitch,chord,bar,mapped voice,cost,category
0,48,0,1,4,12,other
2,48,1,1 1/1,2,12,other
5,62,2,1 5/4,0,n/a,ornamentation
6,64,3,1 11/8,0,n/a,ornamentation
7,65,4,1 3/2,0,n/a,ornamentation
8,67,5,1 13/8,0,n/a,ornamentation
9,69,6,1 7/4,0,n/a,ornamentation
10,71,7,1 15/8,0,n/a,ornamentation
12,60,8,2,2,0,repetition
14,55,9,2 1/4,4,2,other
15,70,9,2 1/4,0,2,other
16,53,10,2 1/2,4,4,other
17,69,10,2 1/2,0,3,other
18,52,11,2 3/4,4,5,other
19,67,11,2 3/4,0,5,other
21,60,12,2 1/1,2,0,repetition
22,65,12,2 1/1,0,4,other
24,67,13,2 5/4,0,n/a,ornamentation
25,65,14,2 3/2,0,n/a,ornamentation
26,64,15,2 7/4,0,n/a,ornamentation
30,60,17,3 1/4,4,n/a,ornamentation
31,58,18,3 1/2,4,n/a,ornamentation
36,64,21,3 5/4,2,n/a,ornamentation
37,62,22,3 11/8,2,n/a,ornamentation
38,65,23,3 3/2,2,3,other
39,64,24,3 7/4,2,n/a,ornamentation
45,64,27,4 5/8,0,n/a,ornamentation
47,67,29,4 7/8,0,n/a,ornamentation
48,53,30,4 1/1,4,0,repetition
49,57,30,4 1/1,3,0,repetition
52,71,31,4 9/8,2,n/a,ornamentation
53,72,32,4 5/4,2,n/a,ornamentation
54,71,33,4 11/8,2,n/a,ornamentation
55,69,34,4 3/2,2,4,other
56,67,35,4 13/8,2,n/a,ornamentation
57,65,36,4 7/4,2,0,repetition
58,64,37,4 15/8,2,n/a,ornamentation
61,60,38,5,0,5,other
62,65,38,5,2,0,repetition
63,55,39,5 1/8,1,n/a,ornamentation
64,57,40,5 1/4,1,n/a,ornamentation
65,58,41,5 3/8,1,n/a,ornamentation
66,57,42,5 1/2,1,0,repetition
68,55,43,5 3/4,4,2,other
71,65,44,5 1/1,2,0,repetition
73,64,45,5 3/2,2,1,other
74,58,46,5 7/4,3,2,other
75,62,46,5 7/4,2,3,other
79,57,48,6 1/4,3,n/a,ornamentation
82,48,51,6 1/1,4,0,repetition
85,64,52,6 5/4,2,n/a,ornamentation
86,65,53,6 3/2,2,n/a,ornamentation
87,64,54,6 13/8,2,n/a,ornamentation
88,62,55,6 7/4,2,n/a,ornamentation
89,64,56,6 15/8,2,n/a,ornamentation
92,60,57,7,0,5,other
94,52,58,7 1/4,3,n/a,ornamentation
95,53,59,7 1/2,3,n/a,ornamentation
96,55,60,7 3/4,3,n/a,ornamentation
98,57,61,7 1/1,1,0,repetition
99,60,61,7 1/1,2,5,other
100,65,61,7 1/1,0,0,repetition
101,52,62,7 5/4,4,n/a,ornamentation
102,50,63,7 3/2,4,3,other
103,48,64,7 7/4,3,n/a,ornamentation
106,65,65,8,2,0,repetition
107,60,66,8 1/4,0,n/a,ornamentation
108,62,67,8 1/2,0,n/a,ornamentation
109,64,68,8 3/4,0,n/a,ornamentation
114,48,70,8 5/4,4,n/a,ornamentation
115,50,71,8 3/2,4,n/a,ornamentation
116,52,72,8 7/4,4,n/a,ornamentation
120,65,73,9,2,0,repetition
122,67,74,9 1/4,0,n/a,ornamentation
123,69,75,9 1/2,0,n/a,ornamentation
127,65,77,9 1/1,2,0,repetition
129,55,78,9 5/4,4,n/a,ornamentation
130,53,79,9 3/2,4,n/a,ornamentation
131,52,80,9 7/4,4,n/a,ornamentation
133,57,81,10,1,3,other
136,52,83,10 3/4,4,n/a,ornamentation
138,57,84,10 1/1,3,4,other
139,65,84,10 1/1,2,0,repetition
141,76,85,10 3/2,0,1,other
142,74,86,10 7/4,2,n/a,ornamentation
146,64,87,11,2,1,other
147,72,88,11 1/8,0,n/a,ornamentation
148,74,89,11 1/4,0,n/a,ornamentation
149,76,90,11 3/8,0,n/a,ornamentation
150,77,91,11 1/2,0,0,repetition
152,48,93,11 1/1,4,0,repetition
153,55,93,11 1/1,1,0,repetition
154,60,93,11 1/1,3,0,repetition
155,67,93,11 1/1,2,0,repetition
157,60,94,11 5/4,0,n/a,ornamentation
158,62,95,11 3/2,0,n/a,ornamentation
159,59,96,11 7/4,0,n/a,ornamentation
160,60,97,12,0,n/a,ornamentation
161,74,98,12 1/8,0,n/a,ornamentation
162,76,99,12 1/4,0,n/a,ornamentation
163,77,100,12 3/8,0,n/a,ornamentation
166,67,101,12 1/2,2,0,repetition
170,67,102,12 1/1,2,0,repetition
172,72,103,12 5/4,0,n/a,ornamentation
173,74,104,12 3/2,0,2,other
174,76,105,12 7/4,0,n/a,ornamentation
180,77,107,13 1/2,0,0,repetition
183,65,109,13 1/1,2,0,repetition
185,53,110,13 5/4,3,4,other
188,55,112,13 7/4,3,n/a,ornamentation
191,65,113,14,1,0,repetition
192,65,114,14 1/4,1,0,repetition
193,74,114,14 1/4,0,0,repetition
199,60,117,14 1/1,2,0,repetition
202,55,118,14 5/4,3,n/a,ornamentation
203,53,119,14 3/2,3,n/a,ornamentation
204,52,120,14 7/4,3,n/a,ornamentation
209,76,122,15 1/8,0,n/a,ornamentation
210,77,123,15 1/4,0,n/a,ornamentation
211,76,124,15 3/8,0,n/a,ornamentation
213,72,126,15 5/8,2,n/a,ornamentation
214,70,127,15 3/4,2,n/a,ornamentation
215,69,128,15 7/8,2,n/a,ornamentation
217,62,129,15 1/1,1,0,repetition
218,65,129,15 1/1,2,0,repetition
220,60,130,15 5/4,1,n/a,ornamentation
223,64,132,15 13/8,2,n/a,ornamentation
224,65,133,15 7/4,2,n/a,ornamentation
225,67,134,15 15/8,2,n/a,ornamentation
228,65,135,16,2,0,repetition
230,67,136,16 1/4,2,n/a,ornamentation
231,65,137,16 1/2,2,0,repetition
232,64,138,16 3/4,2,n/a,ornamentation
235,62,139,16 1/1,3,12,other
236,65,139,16 1/1,2,0,repetition
238,62,140,16 5/4,0,n/a,ornamentation
239,64,141,16 11/8,0,n/a,ornamentation
240,65,142,16 3/2,0,n/a,ornamentation
241,67,143,16 13/8,0,n/a,ornamentation
242,69,144,16 7/4,0,n/a,ornamentation
243,71,145,16 15/8,0,n/a,ornamentation
248,62,147,17 1/4,1,n/a,ornamentation
249,60,148,17 1/2,1,n/a,ornamentation
250,59,149,17 3/4,1,n/a,ornamentation
255,71,151,17 9/8,0,n/a,ornamentation
256,72,152,17 5/4,0,n/a,ornamentation
257,69,153,17 11/8,0,n/a,ornamentation
258,74,154,17 3/2,0,n/a,ornamentation
259,72,155,17 13/8,0,n/a,ornamentation
260,74,156,17 7/4,0,n/a,ornamentation
261,72,157,17 29/16,0,n/a,ornamentation
262,70,158,17 15/8,0,n/a,ornamentation
263,69,159,17 31/16,0,n/a,ornamentation
268,64,161,18 1/4,2,n/a,ornamentation
269,53,162,18 1/2,3,1,other
270,60,162,18 1/2,1,0,repetition
271,65,162,18 1/2,2,1,other
272,69,162,18 1/2,0,2,other
273,62,163,18 3/4,1,n/a,ornamentation
276,60,164,18 1/1,1,0,repetition
277,67,164,18 1/1,0,0,repetition
278,50,165,18 9/8,1,n/a,ornamentation
279,52,166,18 5/4,1,n/a,ornamentation
280,53,167,18 11/8,1,n/a,ornamentation
281,55,168,18 3/2,1,0,repetition
282,57,169,18 7/4,2,n/a,ornamentation
283,50,170,19,4,2,other
285,65,170,19,1,10,other
287,72,171,19 3/16,1,n/a,ornamentation
288,74,172,19 1/4,1,n/a,ornamentation
289,60,173,19 7/16,1,n/a,ornamentation
291,72,175,19 11/16,0,n/a,ornamentation
292,70,176,19 3/4,0,0,repetition
293,57,177,19 15/16,2,n/a,ornamentation
295,62,178,19 1/1,2,0,repetition
298,69,179,19 19/16,3,n/a,ornamentation
299,67,180,19 5/4,3,n/a,ornamentation
300,53,181,19 23/16,3,n/a,ornamentation
301,55,182,19 3/2,3,5,other
