note,pitch,chord,bar,mapped voice,cost,category
7,67,7,2 1/1,1,0,repetition
9,66,8,3,1,1,ficta
16,67,13,4,1,0,repetition
21,74,15,4 1/1,0,0,repetition
27,66,19,5 1/2,1,2,ficta
44,51,32,7,3,2,ficta
47,55,33,7 1/2,3,3,other
52,53,36,7 3/2,3,3,other
53,69,36,7 3/2,0,4,other
60,53,42,8 1/1,3,4,other
64,46,46,9,2,16,other
67,60,47,9 1/2,2,2,other
69,62,48,9 3/4,2,0,repetition
70,55,49,9 1/1,3,0,repetition
75,51,51,10,3,2,ficta
92,60,63,11 1/1,2,0,repetition
97,64,67,12 1/4,0,0,repetition
109,62,75,13 1/1,1,0,repetition
110,69,75,13 1/1,0,0,repetition
112,62,77,13 3/2,1,2,other
115,51,79,14,3,2,ficta
132,57,91,15 1/1,3,0,repetition
134,72,91,15 1/1,0,0,repetition
135,53,92,15 3/2,2,0,repetition
137,46,94,16,1,19,other
154,51,103,17 1/1,3,1,ficta
158,62,105,17 3/2,1,0,repetition
167,50,113,18 1/1,3,0,repetition
168,65,113,18 1/1,0,0,repetition
185,62,123,19 3/2,1,2,other
186,67,123,19 3/2,0,0,repetition
189,51,126,20 1/2,3,4,ficta
192,48,127,20 3/4,3,4,other
200,58,131,21 1/2,3,3,other
201,55,132,21 1/1,3,0,repetition
202,62,132,21 1/1,1,0,repetition
203,67,132,21 1/1,0,0,repetition
235,60,155,25 1/1,3,3,other
245,55,162,26 1/1,3,0,repetition
246,58,162,26 1/1,1,0,repetition
247,67,162,26 1/1,0,0,repetition
253,62,166,27 1/4,2,0,repetition
254,65,166,27 1/4,0,4,other
256,51,168,27 1/1,3,1,ficta
268,50,175,28 1/1,3,0,repetition
269,65,175,28 1/1,0,0,repetition
276,60,181,29 1/1,2,0,repetition
279,62,183,29 3/2,2,2,other
287,67,189,30 3/2,1,0,repetition
312,53,209,33 1/1,2,2,other
313,65,209,33 1/1,1,3,other
314,69,209,33 1/1,0,0,repetition
342,55,230,36 1/1,3,0,repetition
343,58,230,36 1/1,1,0,repetition
345,67,230,36 1/1,0,0,repetition
351,69,233,37,0,0,repetition
363,55,240,38 1/2,3,5,other
373,67,246,39 1/4,0,2,other
377,60,248,39 1/1,2,0,repetition
386,51,253,40 1/2,3,4,ficta
394,62,256,41,1,0,repetition
397,67,258,41 1/2,1,5,other
398,70,258,41 1/2,0,3,other
399,72,259,41 1/1,0,5,other
403,66,263,42,1,1,ficta
413,67,271,43,1,0,repetition
418,74,273,43 1/1,0,0,repetition
424,66,277,44 1/2,1,2,ficta
437,50,286,45 1/1,3,0,repetition
441,51,290,46,3,2,ficta
444,55,291,46 1/2,3,3,other
456,53,300,47 1/1,3,4,other
462,60,305,48 1/2,2,2,other
464,62,306,48 3/4,2,0,repetition
465,55,307,48 1/1,3,0,repetition
470,51,309,49,3,2,ficta
472,67,310,49 1/4,0,2,other
486,60,321,50 1/1,2,0,repetition
492,64,325,51 1/4,0,0,repetition
503,62,333,52 1/1,1,0,repetition
504,69,333,52 1/1,0,0,repetition
508,51,337,53,3,2,ficta
524,57,349,54 1/1,3,0,repetition
526,72,349,54 1/1,0,0,repetition
527,53,350,54 3/2,2,0,repetition
546,51,361,56 1/1,3,1,ficta
550,62,363,56 3/2,1,0,repetition
559,50,371,57 1/1,3,0,repetition
560,65,371,57 1/1,0,0,repetition
576,62,381,58 3/2,1,2,other
577,67,381,58 3/2,0,0,repetition
580,51,384,59 1/2,3,4,ficta
583,48,385,59 3/4,3,4,other
589,62,388,60,1,0,repetition
592,55,390,60 1/1,3,0,repetition
594,67,390,60 1/1,0,0,repetition
596,55,392,61,3,0,repetition
597,63,393,61 1/4,1,1,other
598,67,393,61 1/4,0,0,repetition
601,55,396,61 1/1,3,0,repetition
602,63,396,61 1/1,1,1,other
603,67,396,61 1/1,0,0,repetition
604,55,397,62,3,0,repetition
605,62,397,62,1,0,repetition
606,67,397,62,0,0,repetition
