note,pitch,chord,bar,mapped voice,cost,category
27,55,20,5 1/2,2,0,repetition
47,65,34,6 3/2,2,3,other
126,50,73,12 1/1,2,0,repetition
139,58,81,13 1/2,4,0,repetition
143,62,83,13 1/1,1,0,repetition
146,52,85,14,4,1,ficta
150,61,87,14 1/2,1,1,ficta
155,55,90,14 3/2,3,0,repetition
179,62,105,16 1/2,1,0,repetition
187,60,112,16 11/8,0,2,other
188,64,112,16 11/8,1,2,other
192,50,116,17,4,0,repetition
193,57,116,17,3,2,other
194,62,116,17,1,0,repetition
204,58,123,17 3/2,4,0,repetition
210,52,127,18 1/1,4,1,ficta
214,61,129,18 3/2,1,1,ficta
219,55,132,19 1/2,3,0,repetition
232,70,140,19 3/2,0,0,repetition
241,62,147,20 3/2,1,0,repetition
255,62,159,21 1/1,1,0,repetition
267,52,165,23,2,1,ficta
285,70,175,24 3/4,0,0,repetition
287,43,177,24 1/1,4,0,repetition
288,55,177,24 1/1,3,0,repetition
296,66,180,25 1/2,1,2,ficta
310,66,188,26 3/2,1,2,ficta
326,59,196,28 1/2,3,2,ficta
343,59,204,29 3/2,3,2,ficta
352,48,209,30 1/1,4,0,repetition
353,60,209,30 1/1,3,0,repetition
384,69,225,32 3/2,0,0,repetition
399,57,237,33 1/1,2,0,repetition
400,64,237,33 1/1,1,0,repetition
429,56,250,35 3/2,3,1,ficta
470,61,270,38 3/2,1,4,ficta
494,57,279,40 1/1,3,1,other
531,46,296,43 1/1,4,0,repetition
532,58,296,43 1/1,3,0,repetition
537,62,299,44,0,0,repetition
540,62,301,44 1/1,0,0,repetition
565,55,319,48 1/2,2,0,repetition
585,65,333,49 3/2,1,0,repetition
622,64,353,52 5/4,2,2,other
665,50,372,55 1/1,2,0,repetition
678,62,380,56 1/2,1,0,repetition
680,58,382,56 3/4,4,0,repetition
684,62,384,56 1/1,1,0,repetition
687,52,386,57,4,1,ficta
691,61,388,57 1/2,1,1,ficta
696,55,391,57 3/2,3,0,repetition
720,62,406,59 1/2,1,0,repetition
730,50,415,60,4,0,repetition
731,57,415,60,3,2,other
741,62,422,60 3/2,1,0,repetition
743,58,424,60 7/4,4,0,repetition
749,52,428,61 1/1,4,1,ficta
753,61,430,61 3/2,1,1,ficta
758,55,433,62 1/2,3,0,repetition
779,62,448,63 3/2,1,0,repetition
795,58,458,65,1,4,ficta
798,63,459,65 1/2,0,1,ficta
806,58,463,65 7/4,3,1,ficta
813,58,466,66 1/2,1,1,ficta
816,55,469,66 3/2,3,0,repetition
830,46,477,67 3/4,4,2,ficta
833,58,478,67 1/1,3,3,ficta
838,58,480,67 3/2,2,1,ficta
847,46,484,68 3/4,4,1,ficta
850,57,485,68 1/1,3,0,repetition
851,60,485,68 1/1,2,0,repetition
854,58,486,68 5/4,1,1,ficta
863,57,489,69,1,0,repetition
867,46,491,69 3/4,4,1,ficta
868,58,491,69 3/4,1,1,ficta
880,57,496,70,1,0,repetition
888,57,500,70 1/1,1,0,repetition
891,62,503,70 3/2,0,0,repetition
899,57,509,71,1,0,repetition
901,53,510,71 1/1,2,0,repetition
902,57,510,71 1/1,1,0,repetition
903,62,510,71 1/1,0,0,repetition
906,57,512,72,1,0,repetition
907,62,512,72,0,0,repetition
