note,pitch,chord,bar,mapped voice,cost,category
6,58,6,2,3,0,repetition
10,58,10,3 1/1,3,0,repetition
12,60,11,3 3/2,3,2,other
14,57,13,3 7/4,3,0,repetition
20,67,18,4 3/4,1,2,other
21,53,19,4 1/1,3,0,repetition
23,55,20,4 3/2,3,2,other
25,52,22,4 7/4,3,0,repetition
35,53,30,6,3,0,repetition
37,55,31,6 1/2,3,2,other
39,52,33,6 3/4,3,0,repetition
42,60,35,6 1/1,1,0,repetition
49,58,40,7,1,2,other
53,58,43,7 1/1,3,0,repetition
56,72,44,7 3/2,0,2,other
58,69,46,7 7/4,0,1,other
61,70,48,8,0,0,repetition
63,67,50,8 1/4,1,2,other
74,51,56,8 7/4,3,2,ficta
80,58,58,9 1/2,2,0,repetition
82,46,60,9 1/1,3,0,repetition
84,65,60,9 1/1,0,0,repetition
98,57,67,11,2,2,other
100,53,68,11 1/2,2,0,repetition
101,67,68,11 1/2,1,2,other
113,65,76,12 1/2,1,0,repetition
114,63,77,12 3/4,1,2,ficta
118,58,80,12 3/2,2,0,repetition
127,67,84,13 3/2,1,2,other
133,67,88,14,1,2,other
136,69,91,14 1/2,0,1,other
156,53,102,16,3,2,other
158,72,103,16 1/4,0,0,repetition
159,55,104,16 1/2,3,0,repetition
161,53,105,16 3/4,3,0,repetition
164,62,106,16 1/1,1,2,other
187,67,114,18 1/1,0,0,repetition
189,67,116,18 3/2,0,0,repetition
194,62,120,19,1,0,repetition
201,67,123,19 1/1,0,0,repetition
204,48,125,20,3,2,other
205,63,125,20,1,1,other
206,46,126,20 1/4,3,0,repetition
207,62,126,20 1/4,1,0,repetition
220,70,132,21 1/2,0,0,repetition
234,50,140,22 3/2,3,1,other
235,65,140,22 3/2,0,2,other
236,48,141,22 7/4,3,3,other
237,63,141,22 7/4,1,3,other
243,46,145,23 1/1,3,0,repetition
253,64,149,24 1/4,0,1,other
254,65,150,24 1/2,0,0,repetition
260,69,154,24 5/4,0,0,repetition
262,69,156,24 3/2,0,1,other
263,72,157,24 7/4,0,0,repetition
267,69,160,25 1/2,0,1,other
275,67,168,25 3/2,1,0,repetition
280,63,172,26 1/2,1,2,ficta
286,57,177,27,1,0,repetition
294,67,184,27 3/2,1,0,repetition
310,67,196,29 1/2,0,0,repetition
315,60,199,29 3/2,1,0,repetition
325,64,206,30 3/2,1,1,ficta
330,64,208,31,1,2,ficta
332,55,209,31 1/2,2,0,repetition
337,62,211,31 1/1,1,0,repetition
343,65,215,32,0,3,other
350,67,220,32 5/4,0,2,other
352,70,222,32 3/2,0,1,other
354,67,224,32 7/4,0,2,other
362,70,230,33 1/1,0,0,repetition
372,59,237,34 3/2,2,2,other
379,58,243,35 1/1,2,0,repetition
392,62,255,36 3/2,1,0,repetition
397,58,258,37 1/2,3,0,repetition
399,50,260,37 1/1,2,0,repetition
401,62,260,37 1/1,1,0,repetition
402,60,261,37 3/2,3,2,other
406,50,265,38,2,0,repetition
409,50,267,38 1/1,2,0,repetition
410,58,267,38 1/1,3,0,repetition
412,60,269,38 3/2,3,2,other
414,57,271,38 7/4,3,0,repetition
420,67,276,39 3/4,1,2,other
421,53,277,39 1/1,3,0,repetition
433,53,288,41,3,0,repetition
435,55,289,41 1/2,3,2,other
437,52,291,41 3/4,3,0,repetition
440,60,293,41 1/1,1,0,repetition
450,58,301,42,1,2,other
454,58,304,42 1/1,3,0,repetition
457,60,305,42 3/2,3,2,other
459,57,307,42 7/4,3,0,repetition
477,58,316,44 1/2,2,0,repetition
479,46,318,44 1/1,3,0,repetition
486,53,321,45,2,5,other
489,58,323,45 1/1,2,0,repetition
496,67,326,46 1/2,1,2,other
507,65,334,47 1/2,1,0,repetition
508,63,335,47 3/4,1,2,ficta
512,58,338,47 3/2,2,0,repetition
525,67,344,49,1,2,other
526,69,345,49 1/2,0,1,other
531,53,349,49 1/1,2,5,other
545,72,354,50 3/2,0,0,repetition
548,72,356,51,0,0,repetition
578,67,371,53 3/2,0,0,repetition
580,43,373,54,3,7,other
584,63,375,54 1/2,1,1,other
585,62,376,54 3/4,1,2,other
588,65,378,54 3/2,1,2,other
592,43,382,55,3,3,other
593,58,382,55,2,3,other
594,62,382,55,1,0,repetition
