note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/1,1,0,repetition
7,66,6,2,1,1,ficta
21,67,18,3,1,0,repetition
26,74,20,3 1/1,0,0,repetition
32,66,24,4 1/2,1,2,ficta
60,69,44,6 3/2,0,4,other
63,69,45,7,0,4,other
66,57,48,7 1/1,3,0,repetition
72,67,52,8,1,2,other
74,60,53,8 1/2,2,2,other
75,62,54,8 3/4,2,0,repetition
76,55,55,8 1/1,3,0,repetition
98,48,69,10 1/1,3,0,repetition
99,60,69,10 1/1,2,0,repetition
106,67,74,11 1/2,1,2,other
117,69,82,12 1/1,0,0,repetition
119,65,84,12 5/4,1,3,other
121,65,86,12 3/2,0,4,other
123,69,88,12 7/4,0,1,other
138,60,98,14 1/2,1,0,repetition
141,57,100,14 1/1,3,0,repetition
143,72,100,14 1/1,0,0,repetition
147,64,104,14 3/2,1,0,repetition
149,67,106,14 7/4,1,2,other
156,58,112,15 1/2,1,0,repetition
157,70,112,15 1/2,0,0,repetition
159,55,114,15 1/1,3,0,repetition
169,64,119,16 1/2,1,0,repetition
176,62,125,16 3/2,1,0,repetition
183,62,131,17 1/1,2,0,repetition
184,65,131,17 1/1,0,0,repetition
186,65,133,17 5/4,0,0,repetition
191,69,137,17 7/4,0,0,repetition
193,53,139,18,1,0,repetition
198,72,141,18 1/2,0,0,repetition
209,70,147,19,0,0,repetition
212,59,149,19 1/2,1,2,ficta
220,67,155,19 3/2,0,0,repetition
222,64,157,19 7/4,1,2,other
227,55,160,20 1/1,3,0,repetition
228,62,160,20 1/1,1,0,repetition
229,70,160,20 1/1,0,3,other
234,62,164,21,3,7,other
235,70,164,21,0,0,repetition
236,72,165,21 1/2,0,2,other
238,69,167,21 3/4,0,0,repetition
240,55,169,21 1/1,3,0,repetition
258,69,181,22 1/1,0,0,repetition
266,62,188,23 1/1,1,0,repetition
269,70,190,23 3/2,0,1,other
271,67,192,23 7/4,0,0,repetition
276,62,195,24 1/1,1,2,other
284,55,200,25 1/1,3,0,repetition
285,58,200,25 1/1,1,0,repetition
286,67,200,25 1/1,0,0,repetition
292,57,203,26,1,2,other
293,69,203,26,0,0,repetition
294,65,204,26 1/4,2,3,other
299,72,207,26 1/1,0,2,other
301,72,209,26 3/2,0,2,other
303,69,211,26 7/4,0,0,repetition
308,50,214,27 1/1,3,0,repetition
309,65,214,27 1/1,0,0,repetition
310,67,215,27 3/2,0,2,other
319,60,223,28 1/1,2,0,repetition
328,70,229,29,1,0,repetition
333,67,233,29 1/1,1,0,repetition
337,67,236,29 3/2,1,0,repetition
345,55,242,30 1/1,2,0,repetition
346,74,242,30 1/1,0,0,repetition
358,55,254,31 1/1,2,0,repetition
360,70,254,31 1/1,0,0,repetition
361,72,255,31 3/2,0,2,other
363,69,257,31 7/4,0,0,repetition
370,69,261,32 1/1,0,0,repetition
372,57,263,32 3/2,3,0,repetition
380,62,268,33 1/1,1,0,repetition
383,67,270,33 5/4,0,3,other
385,64,272,33 3/2,1,2,other
387,60,274,33 7/4,1,2,other
392,50,277,34 1/1,2,5,other
402,55,283,35 1/1,3,0,repetition
403,58,283,35 1/1,1,0,repetition
404,67,283,35 1/1,0,0,repetition
408,52,285,35 7/4,3,1,other
412,69,286,36,0,0,repetition
414,72,288,36 1/2,0,5,other
418,52,292,36 1/1,1,1,ficta
420,67,292,36 1/1,0,3,other
423,65,295,36 7/4,0,4,other
429,46,299,37 1/1,3,0,repetition
437,48,305,38 1/1,3,0,repetition
442,55,307,38 3/2,1,0,repetition
456,67,315,39 3/2,0,0,repetition
465,55,323,40 1/1,3,0,repetition
472,66,328,41,1,1,ficta
486,67,340,42,1,0,repetition
491,74,342,42 1/1,0,0,repetition
496,66,347,43 1/2,1,2,ficta
511,62,357,44 1/1,2,0,repetition
512,69,357,44 1/1,0,0,repetition
527,69,366,45 3/2,0,4,other
530,69,367,46,0,4,other
533,57,370,46 1/1,3,0,repetition
538,62,374,47,2,0,repetition
540,64,375,47 1/2,2,2,other
542,61,377,47 3/4,2,1,ficta
544,55,379,47 1/1,3,0,repetition
566,48,393,49 1/1,3,0,repetition
567,60,393,49 1/1,2,0,repetition
576,64,399,50 1/1,0,0,repetition
578,62,401,50 3/2,1,3,other
585,69,405,51 1/1,0,0,repetition
587,65,407,51 5/4,1,3,other
589,65,409,51 3/2,0,4,other
591,69,411,51 7/4,0,1,other
609,60,424,53 1/2,1,0,repetition
612,57,426,53 1/1,3,0,repetition
636,64,442,55 1/2,1,0,repetition
647,50,450,56 1/1,3,0,repetition
648,62,450,56 1/1,2,0,repetition
649,65,450,56 1/1,0,0,repetition
656,58,455,57 1/4,3,1,other
657,60,456,57 1/2,2,0,repetition
658,72,456,57 1/2,0,0,repetition
667,70,462,58,0,0,repetition
670,69,464,58 1/2,0,0,repetition
672,66,466,58 3/4,0,1,other
679,67,472,58 3/2,0,0,repetition
684,62,476,59,1,0,repetition
