note,pitch,chord,bar,mapped voice,cost,category
3,52,2,2,1,0,repetition
13,64,7,4,0,0,repetition
16,57,9,4 1/1,1,0,repetition
23,50,14,5 3/2,1,0,repetition
35,57,21,7,1,0,repetition
53,69,31,9,0,0,repetition
56,62,33,9 1/1,1,0,repetition
60,57,36,9 7/4,2,2,other
77,62,45,12,1,0,repetition
79,64,46,12 1/2,1,2,other
81,60,48,12 3/4,1,0,repetition
86,60,51,13,2,0,repetition
87,64,51,13,1,0,repetition
88,67,51,13,0,0,repetition
101,62,59,14,1,0,repetition
102,71,59,14,0,0,repetition
112,69,67,14 3/2,0,0,repetition
116,45,71,15,2,7,other
120,57,72,15 1/1,1,0,repetition
121,69,72,15 1/1,0,0,repetition
127,67,77,16 1/2,0,2,other
129,64,79,16 3/4,0,0,repetition
146,60,89,18 1/1,1,0,repetition
148,62,90,18 3/2,1,2,other
150,59,92,18 7/4,1,0,repetition
160,55,97,20 1/1,2,0,repetition
166,64,100,21,1,0,repetition
171,64,102,21 3/2,1,0,repetition
196,60,116,24,1,0,repetition
197,64,116,24,0,0,repetition
208,50,123,25,2,0,repetition
210,65,123,25,0,0,repetition
221,53,129,26,2,0,repetition
223,50,131,26 1/2,1,0,repetition
229,62,135,26 3/2,0,0,repetition
231,59,137,26 7/4,0,2,other
234,59,139,27,2,2,ficta
237,50,141,27 1/1,1,0,repetition
238,59,141,27 1/1,2,2,ficta
239,62,141,27 1/1,0,0,repetition
241,50,143,28,1,0,repetition
242,57,143,28,2,0,repetition
244,57,145,28 1/2,2,2,other
246,53,147,28 3/4,2,0,repetition
254,45,153,29 1/1,2,0,repetition
256,60,153,29 1/1,0,0,repetition
257,62,154,29 3/2,0,2,other
259,59,156,29 7/4,0,0,repetition
261,45,158,30,2,0,repetition
267,60,162,30 1/2,0,0,repetition
269,45,164,30 1/1,2,0,repetition
274,60,166,31 1/1,1,0,repetition
280,52,170,32 1/1,2,0,repetition
281,67,170,32 1/1,0,0,repetition
287,52,175,33 1/1,2,0,repetition
303,72,183,35,0,0,repetition
317,55,191,36 3/2,2,2,other
323,52,194,37 1/1,2,0,repetition
324,67,194,37 1/1,0,0,repetition
326,52,196,38,2,0,repetition
328,62,197,38 1/2,1,2,other
330,59,199,38 3/4,1,0,repetition
332,52,201,38 1/1,2,0,repetition
334,68,202,38 3/2,0,1,other
338,57,204,39 1/2,1,0,repetition
340,45,206,39 1/1,2,0,repetition
342,69,206,39 1/1,0,0,repetition
352,61,213,40 3/4,1,1,ficta
357,62,217,40 3/2,1,0,repetition
363,62,222,41 1/2,1,0,repetition
365,50,224,41 1/1,2,0,repetition
374,69,227,42,0,0,repetition
384,67,235,42 3/2,0,0,repetition
393,67,242,43 1/1,0,0,repetition
399,65,246,44 1/2,0,1,other
401,62,248,44 3/4,0,0,repetition
410,57,254,45 1/1,1,0,repetition
411,60,254,45 1/1,0,0,repetition
414,45,257,46,2,0,repetition
425,53,263,47 1/2,2,0,repetition
427,53,265,47 3/4,2,2,other
432,72,268,47 3/2,0,0,repetition
447,53,276,49 1/1,1,0,repetition
478,45,295,53,2,0,repetition
480,60,295,53,0,0,repetition
490,48,300,53 3/2,2,0,repetition
492,64,300,53 3/2,0,0,repetition
502,52,305,54 1/1,2,0,repetition
503,67,305,54 1/1,0,0,repetition
513,55,310,55 1/2,2,0,repetition
514,71,310,55 1/2,0,0,repetition
525,72,315,56,0,0,repetition
534,69,322,56 3/2,0,0,repetition
