note,pitch,chord,bar,mapped voice,cost,category
9,52,8,1 1/1,3,0,repetition
10,64,8,1 1/1,1,0,repetition
38,59,31,3,1,6,other
40,52,32,3 1/1,3,0,repetition
41,59,32,3 1/1,1,5,other
42,67,32,3 1/1,0,0,repetition
50,47,36,4 1/2,3,0,repetition
51,62,36,4 1/2,0,0,repetition
56,62,39,4 3/2,0,0,repetition
60,60,41,5 1/2,2,3,other
62,45,42,5 1/1,3,0,repetition
63,60,42,5 1/1,2,3,other
66,60,43,5 3/2,1,4,other
75,64,48,6 1/2,1,3,other
95,57,64,7 1/1,2,0,repetition
133,52,95,9 1/1,3,0,repetition
134,59,95,9 1/1,1,0,repetition
147,60,106,10 1/1,2,0,repetition
148,64,106,10 1/1,1,0,repetition
181,64,133,12 3/4,0,3,other
183,52,135,12 1/1,3,0,repetition
184,59,135,12 1/1,1,0,repetition
200,53,148,13 1/1,3,0,repetition
201,65,148,13 1/1,1,0,repetition
260,71,181,17 1/1,0,0,repetition
293,52,208,19 1/1,3,0,repetition
294,59,208,19 1/1,2,0,repetition
299,65,211,20 1/1,1,0,repetition
300,74,211,20 1/1,0,0,repetition
304,72,213,21,0,0,repetition
309,71,217,21 1/2,0,0,repetition
325,53,230,22 1/1,3,0,repetition
326,62,230,22 1/1,2,0,repetition
327,69,230,22 1/1,0,0,repetition
332,52,233,23 1/4,3,2,other
333,60,233,23 1/4,2,1,other
334,50,234,23 1/2,3,0,repetition
335,59,234,23 1/2,2,0,repetition
336,48,235,23 3/4,3,0,repetition
337,57,235,23 3/4,2,0,repetition
346,45,243,24 1/1,3,0,repetition
347,57,243,24 1/1,2,0,repetition
357,59,251,25,1,2,other
360,55,252,25 1/1,2,0,repetition
370,67,259,26,1,0,repetition
378,50,263,27 1/1,3,0,repetition
379,65,263,27 1/1,1,0,repetition
384,64,266,28 1/2,1,1,other
385,57,267,28 1/1,2,0,repetition
386,64,267,28 1/1,1,5,other
387,72,267,28 1/1,0,0,repetition
388,64,268,28 3/2,1,5,other
417,64,289,30 1/1,1,0,repetition
434,45,301,32 1/1,3,0,repetition
435,60,301,32 1/1,1,0,repetition
436,72,301,32 1/1,0,0,repetition
437,62,302,32 3/2,1,2,other
448,67,310,33 1/2,1,0,repetition
470,48,321,35 1/2,3,0,repetition
471,64,321,35 1/2,1,0,repetition
472,67,321,35 1/2,0,0,repetition
480,67,327,35 7/4,0,2,other
499,64,336,37 1/2,1,0,repetition
500,67,336,37 1/2,0,0,repetition
509,67,343,37 7/4,0,2,other
538,67,360,39 7/4,0,3,other
