note,pitch,chord,bar,mapped voice,cost,category
1,59,0,1,1,5,other
3,52,1,1 1/1,3,0,repetition
4,64,1,1 1/1,1,0,repetition
5,64,1,1 1/1,0,0,
31,52,21,3 1/1,3,0,repetition
32,67,21,3 1/1,0,0,repetition
41,57,27,4 1/2,2,2,other
42,60,27,4 1/2,0,2,other
54,45,35,5 1/1,3,0,repetition
71,69,42,6 3/2,0,0,repetition
84,57,53,7 1/1,2,0,repetition
87,57,54,7 3/2,2,0,repetition
88,60,54,7 3/2,3,0,repetition
89,72,54,7 3/2,0,0,repetition
102,64,63,8 1/1,2,7,other
103,69,64,8 3/2,0,0,repetition
107,68,67,9 1/2,0,1,ficta
108,66,68,9 3/4,0,1,ficta
109,52,69,9 1/1,3,0,repetition
110,59,69,9 1/1,1,0,repetition
111,68,69,9 1/1,0,3,ficta
112,52,70,9 3/2,3,0,repetition
113,59,70,9 3/2,1,0,repetition
114,68,70,9 3/2,0,1,other
123,60,78,10 1/1,2,0,repetition
124,64,78,10 1/1,1,0,repetition
126,60,79,10 3/2,2,0,repetition
127,64,79,10 3/2,1,0,repetition
128,72,79,10 3/2,0,0,repetition
141,64,88,11 1/1,0,7,other
142,69,89,11 3/2,0,0,repetition
147,66,93,12 3/4,0,1,ficta
151,48,95,12 3/2,3,0,repetition
152,64,95,12 3/2,1,0,repetition
153,67,95,12 3/2,0,0,repetition
159,65,99,13 1/2,1,0,repetition
163,53,103,13 1/1,3,0,repetition
164,65,103,13 1/1,1,0,repetition
180,57,113,14 1/1,2,5,other
210,64,132,16 5/4,0,0,repetition
215,71,135,17 1/2,0,0,repetition
217,59,136,17 1/1,1,0,repetition
218,71,136,17 1/1,0,0,repetition
235,57,148,18 3/2,3,0,repetition
236,60,148,18 3/2,2,0,repetition
237,64,148,18 3/2,1,0,repetition
238,69,148,18 3/2,0,0,repetition
243,52,150,19 1/1,3,0,repetition
244,64,150,19 1/1,1,0,repetition
247,76,153,19 3/2,0,0,repetition
256,65,162,20 1/1,1,0,repetition
278,62,176,22 1/1,2,0,repetition
280,55,177,22 3/2,1,2,other
283,53,178,23,1,4,other
287,52,180,23 1/2,1,5,other
290,50,181,23 1/1,2,7,other
295,52,185,24,1,5,other
297,45,186,24 1/1,3,0,repetition
298,57,186,24 1/1,2,0,repetition
303,52,190,25,2,5,other
306,64,191,25 1/2,1,0,repetition
308,64,192,25 1/1,2,9,other
310,53,193,25 3/2,3,1,other
311,65,193,25 3/2,1,2,other
315,67,195,26,1,0,repetition
316,59,196,26 1/2,0,3,other
320,53,198,26 3/2,3,2,other
321,60,198,26 3/2,2,1,other
327,50,202,27 1/1,3,0,repetition
328,65,202,27 1/1,1,0,repetition
332,69,205,27 3/2,1,4,other
337,57,209,28 1/1,2,0,repetition
339,72,209,28 1/1,0,0,repetition
342,64,212,28 3/2,1,5,other
346,64,215,29 1/2,1,3,other
363,64,225,30 1/1,1,0,repetition
372,57,232,31 3/2,2,0,repetition
381,60,239,32 1/1,1,0,repetition
382,72,239,32 1/1,0,0,repetition
385,64,241,32 3/2,1,4,other
386,72,241,32 3/2,0,0,repetition
392,72,244,33 1/2,0,1,other
399,53,249,33 3/2,2,0,repetition
433,65,268,35 7/4,0,0,repetition
466,65,285,37 7/4,0,0,repetition
492,66,294,39 7/4,0,2,ficta
