note,pitch,chord,bar,mapped voice,cost,category
1,62,1,1 1/1,1,0,repetition
12,50,10,2 1/1,3,0,repetition
14,69,10,2 1/1,0,0,repetition
33,57,25,3 3/2,3,0,repetition
34,60,25,3 3/2,1,0,repetition
35,72,25,3 3/2,0,0,repetition
58,71,41,5 1/2,0,2,other
65,67,45,5 3/2,0,4,other
81,60,53,6 7/4,1,0,repetition
90,58,60,7 1/2,3,4,other
96,62,63,7 1/1,1,0,repetition
111,50,76,8 1/1,4,0,repetition
138,59,94,10,3,2,other
148,64,101,10 1/1,3,0,repetition
149,67,101,10 1/1,1,0,repetition
152,48,103,10 3/2,4,0,repetition
155,72,103,10 3/2,0,0,repetition
161,62,106,11 1/2,3,0,repetition
167,69,108,11 1/1,0,0,repetition
184,57,122,12 1/1,3,0,repetition
185,57,122,12 1/1,2,0,
186,69,122,12 1/1,0,0,repetition
195,69,128,13,0,0,repetition
204,69,134,13 1/1,0,0,repetition
211,55,137,14 1/2,3,0,repetition
221,55,142,14 3/2,2,0,repetition
225,59,143,15,1,0,repetition
234,57,146,15 1/1,1,0,repetition
238,59,149,15 3/2,2,0,repetition
249,45,156,16 1/1,4,0,repetition
250,52,156,16 1/1,2,0,repetition
260,67,161,17 1/2,0,2,other
262,64,163,17 3/4,0,0,repetition
266,62,165,17 1/1,1,0,repetition
272,62,168,17 3/2,1,0,repetition
283,62,174,18 3/4,1,0,repetition
297,64,180,19,0,0,repetition
307,62,184,19 1/1,0,0,repetition
324,50,197,20 1/1,4,0,repetition
345,57,212,21 3/2,3,0,repetition
346,60,212,21 3/2,1,0,repetition
352,55,216,22 1/1,3,0,repetition
354,71,216,22 1/1,0,0,repetition
364,62,223,23,1,0,repetition
367,50,225,23 1/2,4,0,repetition
369,65,225,23 1/2,0,2,other
372,60,227,23 1/1,1,0,repetition
376,60,230,23 3/2,1,0,repetition
390,45,241,24 1/1,4,0,repetition
391,48,241,24 1/1,3,0,repetition
392,60,241,24 1/1,1,0,repetition
393,64,241,24 1/1,0,0,repetition
410,53,253,25 3/2,4,0,repetition
412,60,253,25 3/2,3,0,repetition
422,59,259,26 3/4,1,0,repetition
426,67,261,26 1/1,0,0,repetition
445,57,270,27 1/1,1,0,repetition
449,59,273,27 3/2,1,2,other
