piece	N_model	N_intab	M	M_o	M_r	M_f	M_a	m	m_oa	m_a
44A	545	481	114	0	62	6	46	.7629	.9043	.9043
44A	545	509	147	0	78	8	61	.7111	.8801	.8801
45A	484	488	130	0	85	7	38	.7336	.9221	.9221
43A	484	528	212	0	126	3	83	.5984	.8428	.8428
1AM	484	497	105	0	60	16	29	.7887	.9416	.9416
1CP	513	546	109	0	88	3	18	.8003	.9670	.9670
11F	771	761	84	0	51	26	7	.8896	.9908	.9908
30L	797	849	291	0	154	7	130	.6572	.8468	.8468
55R	797	759	120	0	64	12	44	.8418	.9420	.9420
50D	797	881	163	0	132	3	28	.8149	.9682	.9682
40L	448	470	93	0	77	3	13	.8021	.9723	.9723
51M	297	337	86	0	57	5	24	.7448	.9287	.9287
45M	297	308	66	0	49	0	17	.7857	.9448	.9448
43P	625	613	134	0	101	8	25	.7814	.9592	.9592
9M0	483	400	182	0	75	12	95	.5450	.7625	.7625
