note,pitch,chord,bar,mapped voice,cost,category
7,55,4,3,1,0,repetition
12,62,7,3 1/1,0,0,repetition
35,50,22,7 1/1,1,0,repetition
40,57,25,8,0,0,repetition
63,57,40,12,1,0,repetition
68,64,43,12 1/1,0,0,repetition
83,64,52,14 1/1,0,0,repetition
99,55,62,17,1,0,repetition
100,54,63,17 1/2,1,1,ficta
103,62,64,17 1/1,0,0,repetition
105,61,65,17 3/2,0,1,ficta
123,61,75,20 1/2,0,2,ficta
129,61,78,21,0,2,ficta
134,57,82,22,1,0,repetition
138,64,84,22 1/1,0,0,repetition
148,57,90,24,1,0,repetition
152,64,92,24 1/1,0,0,repetition
172,54,104,26 7/4,0,2,ficta
176,54,106,27 1/4,0,1,ficta
192,56,115,28 1/1,1,1,ficta
212,54,127,30 7/4,0,2,ficta
216,54,129,31 1/4,0,1,ficta
232,49,139,32 5/4,1,1,ficta
238,56,143,33 1/4,0,1,ficta
249,54,149,33 7/4,1,2,ficta
262,49,158,35 5/4,1,1,ficta
268,56,162,36 1/4,0,1,ficta
279,54,168,36 7/4,1,2,ficta
283,54,170,37 1/4,1,1,ficta
288,61,172,37 3/4,0,2,ficta
292,61,174,37 5/4,0,1,ficta
309,62,185,39 1/2,0,3,other
310,52,186,39 1/1,1,2,other
315,50,191,40,1,0,repetition
316,62,191,40,0,5,other
