note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/1,1,0,repetition
3,67,3,1 3/2,1,0,repetition
14,67,13,2 1/1,1,0,repetition
15,74,13,2 1/1,0,0,repetition
18,74,15,2 3/2,0,0,repetition
28,60,23,3,1,0,repetition
32,72,25,3 1/2,0,0,repetition
34,72,27,3 3/4,0,0,repetition
41,69,33,3 3/2,0,0,repetition
45,67,37,3 2/1,1,0,repetition
49,67,40,3 5/2,1,1,other
51,67,42,3 11/4,1,1,other
57,67,47,4 1/2,1,0,repetition
60,55,49,4 1/1,3,0,repetition
62,71,49,4 1/1,0,0,repetition
64,71,51,4 5/4,0,0,repetition
77,55,58,5 1/1,3,0,repetition
78,62,58,5 1/1,2,0,repetition
86,48,63,6,3,0,repetition
90,60,65,6 1/2,2,0,repetition
95,57,69,6 3/2,2,0,repetition
101,57,75,6 9/4,2,0,repetition
105,55,79,6 5/2,3,1,other
111,64,84,7 1/2,1,2,other
119,55,92,7 1/1,3,0,repetition
120,62,92,7 1/1,2,0,repetition
125,67,95,7 2/1,1,0,repetition
135,67,102,8 1/1,1,0,repetition
138,79,103,8 2/1,0,0,repetition
139,78,104,8 5/2,0,1,ficta
143,67,107,9 1/1,1,0,repetition
148,77,109,9 2/1,0,0,repetition
150,65,111,9 5/2,1,0,repetition
161,76,118,10 1/1,0,0,repetition
163,76,120,10 3/2,0,2,other
171,74,128,10 5/2,0,0,repetition
179,62,133,11 1/1,1,0,repetition
180,74,133,11 1/1,0,0,repetition
181,55,134,11 2/1,3,0,repetition
182,62,134,11 2/1,1,0,repetition
183,74,134,11 2/1,0,0,repetition
187,55,137,12 1/1,3,0,repetition
199,67,148,12 5/2,2,0,repetition
208,55,156,13 1/1,3,0,repetition
209,65,156,13 1/1,2,3,other
219,65,164,13 2/1,2,0,repetition
221,53,166,13 5/2,3,0,repetition
225,64,168,14,1,2,other
235,64,176,14 1/1,2,0,repetition
237,64,178,14 3/2,2,2,other
245,62,186,14 5/2,2,0,repetition
255,72,194,15 1/1,0,2,other
275,57,210,16 3/2,1,10,other
276,55,211,16 2/1,3,2,other
286,69,218,17 1/2,1,2,other
297,65,229,17 2/1,1,0,repetition
301,67,232,17 5/2,1,2,other
304,67,234,17 11/4,1,3,other
316,55,244,18 1/1,3,2,other
321,55,249,18 2/1,3,0,repetition
330,65,254,19 1/2,2,3,other
334,59,258,19 1/1,2,3,other
343,67,267,19 2/1,1,0,repetition
348,67,270,19 11/4,1,2,other
356,65,275,20 1/2,2,0,repetition
366,76,279,20 2/1,0,0,repetition
368,60,281,20 5/2,3,0,repetition
369,64,281,20 5/2,2,0,repetition
383,69,287,21 3/2,1,0,repetition
394,74,292,22,0,0,repetition
395,58,293,22 1/2,3,0,repetition
399,57,295,22 1/1,3,0,repetition
421,72,304,23 1/1,0,0,repetition
423,57,306,23 3/2,3,0,repetition
438,65,312,24 1/2,1,0,repetition
449,71,317,24 2/1,0,0,repetition
451,55,319,24 5/2,3,0,repetition
465,64,325,25 3/2,1,0,repetition
466,67,325,25 3/2,0,0,repetition
472,62,329,25 9/4,2,0,repetition
478,66,333,25 11/4,0,1,other
483,69,337,26 1/4,0,0,repetition
485,53,339,26 1/2,3,0,repetition
491,69,341,26 1/1,0,0,repetition
496,69,343,26 3/2,0,0,repetition
505,67,351,26 5/2,0,1,other
507,67,353,26 11/4,0,1,other
512,59,357,27,2,2,other
529,55,372,28 1/2,3,0,repetition
530,59,372,28 1/2,2,4,other
531,62,372,28 1/2,1,0,repetition
532,67,372,28 1/2,0,0,repetition
