note,pitch,chord,bar,mapped voice,cost,category
5,43,4,1 3/2,3,0,repetition
9,55,7,2 1/2,1,0,repetition
19,55,13,3 1/2,2,0,repetition
23,62,14,3 1/1,0,5,other
24,50,15,3 3/2,1,0,repetition
25,57,15,3 3/2,2,0,repetition
34,45,20,4 3/2,3,0,repetition
45,60,25,5 3/2,2,0,repetition
51,57,28,6 1/2,2,0,repetition
81,65,45,9 1/1,0,5,other
83,53,47,9 3/2,3,7,other
84,60,47,9 3/2,2,0,repetition
85,65,47,9 3/2,1,12,other
90,67,48,10,0,2,other
98,65,54,11 1/4,0,4,other
99,59,55,11 1/2,2,1,ficta
104,63,58,11 3/2,2,0,repetition
106,48,59,12,3,0,repetition
114,71,66,12 3/2,0,1,ficta
122,67,70,13 5/4,0,2,other
127,61,73,14 1/2,2,1,ficta
144,46,81,16 1/2,3,0,repetition
146,62,81,16 1/2,2,0,repetition
158,63,88,17 3/2,2,5,other
200,62,110,22,2,0,repetition
202,61,111,22 1/4,2,1,other
208,51,114,22 1/1,3,0,repetition
231,53,125,24 1/1,3,0,repetition
234,69,125,24 1/1,0,0,repetition
269,57,142,28 1/4,1,2,other
270,45,143,28 1/2,3,0,repetition
271,54,143,28 1/2,1,2,ficta
282,62,148,29,0,0,repetition
290,50,152,29 3/2,3,0,repetition
291,57,152,29 3/2,2,0,repetition
295,62,153,30,1,0,repetition
