note,pitch,chord,bar,mapped voice,cost,category
1,65,1,1 1/1,0,0,repetition
11,66,11,2 5/4,0,2,ficta
22,61,19,3 5/4,1,2,ficta
67,66,43,6 5/4,0,1,ficta
96,62,58,8 1/1,2,0,repetition
99,55,60,8 2/1,3,0,repetition
103,69,62,8 11/4,0,2,other
114,50,68,9 2/1,3,0,repetition
115,62,68,9 2/1,2,0,repetition
125,59,73,10 1/2,2,1,other
127,72,74,10 1/1,0,0,repetition
145,60,86,11 3/2,1,0,repetition
147,57,88,11 2/1,3,0,repetition
164,52,96,12 2/1,3,0,repetition
166,66,97,12 9/4,0,1,ficta
173,69,101,13 1/4,0,0,repetition
175,69,103,13 1/2,0,2,other
177,65,105,13 3/4,0,0,repetition
184,55,110,13 2/1,3,0,repetition
185,59,110,13 2/1,2,0,repetition
186,66,111,13 9/4,0,1,ficta
200,50,119,14 2/1,3,0,repetition
208,67,124,15 1/4,0,0,repetition
212,64,128,15 3/4,0,0,repetition
218,53,132,15 2/1,3,0,repetition
219,57,132,15 2/1,2,0,repetition
227,52,136,16 1/2,3,0,repetition
228,68,136,16 1/2,0,1,ficta
231,64,137,16 1/1,1,0,repetition
234,48,139,16 2/1,3,0,repetition
235,60,139,16 2/1,2,0,repetition
241,57,142,17,2,3,other
248,52,147,17 2/1,3,0,repetition
249,55,147,17 2/1,2,0,repetition
250,59,147,17 2/1,1,0,repetition
252,67,149,17 5/2,0,0,repetition
259,50,153,18 3/4,3,0,repetition
265,59,156,18 2/1,2,0,repetition
282,58,164,19 5/2,3,0,repetition
301,57,172,21 1/2,1,0,repetition
313,64,177,21 5/2,2,0,repetition
330,73,186,22 5/2,0,2,ficta
378,60,210,25 5/2,2,0,repetition
400,59,222,27 1/2,2,0,repetition
402,60,223,27 3/4,2,1,other
404,62,224,27 1/1,1,0,repetition
408,69,226,27 3/2,0,0,repetition
413,59,229,27 5/2,2,0,repetition
420,53,233,28 1/2,3,3,other
421,55,234,28 3/4,1,2,other
424,59,236,28 5/4,2,2,other
431,66,238,28 2/1,1,2,ficta
441,57,243,29 1/1,2,0,repetition
443,49,244,29 5/4,3,1,ficta
447,57,246,29 2/1,2,0,repetition
453,57,249,30,2,0,repetition
454,61,249,30,0,1,ficta
456,69,249,30,1,7,other
