note,pitch,chord,bar,mapped voice,cost,category
30,51,19,7,3,2,ficta
72,63,38,12,1,2,ficta
77,51,42,13,3,2,ficta
88,55,48,14 5/2,3,0,repetition
89,58,48,14 5/2,2,0,repetition
90,62,48,14 5/2,1,0,repetition
98,62,51,15 5/2,1,0,repetition
114,62,58,18,1,0,repetition
121,62,61,19,1,0,repetition
130,50,66,21,3,0,repetition
167,62,91,26 1/1,1,0,repetition
168,70,91,26 1/1,0,0,repetition
173,70,95,26 3/2,0,0,repetition
183,69,101,27 1/1,0,0,repetition
185,51,103,27 7/4,3,2,ficta
209,52,114,29 5/4,1,1,ficta
223,60,122,30 5/4,2,0,repetition
259,67,137,32 3/2,0,0,repetition
278,55,153,33 1/1,1,0,repetition
279,58,153,33 1/1,2,0,repetition
280,67,153,33 1/1,0,0,repetition
307,50,173,36 1/1,3,0,repetition
337,57,190,39 3/2,1,0,repetition
358,57,203,41 1/1,2,0,repetition
369,50,210,42 1/1,2,0,repetition
371,62,210,42 1/1,1,0,repetition
382,57,216,43 1/2,1,1,other
387,55,220,43 3/2,3,0,repetition
401,55,234,44 1/1,3,0,repetition
417,62,246,45 1/2,0,0,repetition
419,62,248,45 3/4,0,0,repetition
424,65,252,45 5/4,0,0,repetition
431,69,258,46,0,0,repetition
433,69,260,46 1/4,0,0,repetition
443,67,269,46 3/2,0,0,repetition
458,67,282,47 1/1,0,0,repetition
499,50,313,52 1/1,3,0,repetition
535,65,335,56 3/2,0,0,repetition
570,65,365,58 3/2,0,0,repetition
580,65,373,59 1/2,0,0,repetition
583,64,375,59 3/4,0,1,other
593,57,383,60 1/2,1,0,repetition
597,67,385,60 1/1,0,0,repetition
600,67,388,60 3/2,0,0,repetition
627,69,408,61 7/4,1,4,other
637,65,414,62 1/2,1,0,repetition
661,67,430,63 1/2,0,0,repetition
696,67,453,64 3/2,0,1,ficta
698,67,455,64 7/4,0,1,other
745,60,481,67 3/4,1,3,other
770,65,498,68 1/1,1,0,repetition
793,62,515,69 3/2,1,0,repetition
809,50,529,70 1/1,3,0,repetition
846,53,560,72 1/1,3,3,other
853,62,564,72 3/2,1,0,repetition
862,51,567,73 1/1,3,4,ficta
877,66,576,74,0,1,ficta
885,57,584,74 1/1,2,0,repetition
886,62,584,74 1/1,1,0,repetition
892,66,588,74 3/2,0,1,ficta
925,65,599,77 1/4,0,1,other
935,67,605,77 3/2,0,1,ficta
937,67,607,77 7/4,0,1,other
952,43,619,78 1/1,3,0,repetition
953,55,619,78 1/1,2,0,repetition
954,58,619,78 1/1,1,0,repetition
955,67,619,78 1/1,0,0,repetition
1000,45,650,83 1/1,3,3,other
1059,55,689,90 3/2,2,0,repetition
1074,43,703,91 1/1,3,0,repetition
1076,62,703,91 1/1,0,5,other
1084,43,711,92,3,0,repetition
1085,55,711,92,2,0,repetition
1088,58,714,92 1/2,2,3,other
1094,43,720,92 1/1,3,0,repetition
1104,43,728,93,3,0,repetition
1105,55,728,93,1,0,repetition
1109,58,731,93 1/2,1,3,other
1115,43,737,93 1/1,3,0,repetition
1116,55,737,93 1/1,1,0,repetition
1121,65,740,93 3/2,2,3,other
1133,58,751,94 1/1,2,0,repetition
1134,62,751,94 1/1,0,0,repetition
1145,60,760,95 1/2,1,5,other
1159,63,773,96 1/4,2,2,ficta
1171,63,782,97 1/4,0,2,ficta
1177,58,787,97 3/2,2,0,repetition
1190,58,799,98 1/1,2,0,repetition
1198,55,807,99,1,0,repetition
1201,58,810,99 1/2,2,0,repetition
1219,46,827,100 1/2,3,3,other
1229,65,836,100 3/2,1,3,other
1247,53,853,101 3/2,3,3,other
1257,53,863,102 1/2,3,0,repetition
1273,65,877,103 1/4,1,0,repetition
1278,58,881,103 3/4,2,0,repetition
1288,51,889,104 1/4,3,2,ficta
1293,58,893,104 3/2,2,0,repetition
1302,46,901,105 1/1,3,0,repetition
1303,58,901,105 1/1,2,0,repetition
1323,62,917,106 1/1,0,0,repetition
1346,53,935,108 1/1,2,0,repetition
1347,65,935,108 1/1,0,0,repetition
1395,67,965,112 1/2,0,0,repetition
1428,65,988,113 5/4,0,0,repetition
1443,67,998,114 3/2,0,0,repetition
1466,58,1011,116,2,0,repetition
1490,43,1025,117 1/1,3,0,repetition
1491,50,1025,117 1/1,1,0,repetition
1492,58,1025,117 1/1,2,0,repetition
1493,62,1025,117 1/1,0,0,repetition
1495,43,1027,118,3,0,repetition
1499,43,1029,118 1/1,3,0,repetition
1505,65,1032,118 3/2,0,3,other
1521,62,1046,119 1/1,2,0,repetition
1532,65,1053,120 3/2,2,3,other
1561,70,1074,122,0,0,repetition
1577,65,1081,122 3/2,1,3,other
1592,69,1091,123 1/2,0,0,repetition
1594,50,1093,123 1/1,3,0,repetition
1645,66,1116,126 3/4,0,1,ficta
1651,62,1120,126 3/2,2,1,ficta
1654,62,1122,126 7/4,2,1,other
1661,66,1126,127,0,1,ficta
