note,pitch,chord,bar,mapped voice,cost,category
22,64,18,3 1/4,1,0,repetition
33,67,28,3 3/2,1,1,other
37,67,32,3 7/4,1,1,other
55,66,45,5,1,2,ficta
66,67,54,5 3/2,1,1,other
68,67,56,5 7/4,1,1,other
82,55,69,6 1/1,1,12,other
100,72,85,7 3/2,0,0,repetition
101,59,86,7 7/4,1,0,repetition
117,67,99,9 1/4,0,4,other
119,59,101,9 1/2,1,4,other
122,67,103,9 3/4,0,0,repetition
129,67,110,9 3/2,0,1,other
131,67,112,9 7/4,0,1,other
173,71,151,12,0,0,repetition
176,71,154,12 1/2,0,0,repetition
182,64,160,12 1/1,1,0,repetition
205,64,178,14 1/4,1,0,repetition
207,67,180,14 1/2,0,2,other
217,62,190,14 3/2,1,1,ficta
219,62,192,14 7/4,1,1,other
231,50,203,15 1/1,1,12,other
232,62,203,15 1/1,0,0,repetition
257,67,223,18 3/2,0,0,repetition
274,65,239,19 7/4,0,0,repetition
289,69,250,21,0,0,repetition
291,66,252,21 1/4,0,3,other
294,62,254,21 1/2,0,5,other
301,66,260,21 1/1,0,1,other
305,67,264,21 3/2,0,0,repetition
385,67,314,27 3/2,0,1,other
387,67,316,27 7/4,0,1,other
396,59,324,28 1/1,1,4,other
397,62,324,28 1/1,0,5,other
400,60,327,28 7/4,1,5,other
401,64,327,28 7/4,0,3,other
402,62,328,29,1,7,other
403,65,328,29,0,2,other
406,64,331,29 3/4,1,9,other
407,67,331,29 3/4,0,0,repetition
408,65,332,29 1/1,1,10,other
409,69,332,29 1/1,0,2,other
413,62,336,30,1,7,other
414,69,336,30,0,2,other
417,62,339,30 1/2,1,7,other
418,74,339,30 1/2,0,7,other
420,67,341,30 1/1,1,12,other
421,71,341,30 1/1,0,4,other
422,65,342,30 5/4,1,10,other
423,69,342,30 5/4,0,2,other
424,64,343,30 3/2,1,9,other
425,67,343,30 3/2,0,0,repetition
428,60,346,31,1,5,other
429,72,346,31,0,5,other
431,65,348,31 1/2,1,10,other
432,69,348,31 1/2,0,2,other
433,64,349,31 3/4,1,9,other
434,67,349,31 3/4,0,0,repetition
435,62,350,31 1/1,1,7,other
436,62,350,31 1/1,0,5,
439,60,353,31 11/8,1,5,other
440,64,353,31 11/8,0,3,other
441,59,354,31 3/2,1,4,other
442,62,354,31 3/2,0,5,other
446,55,358,32,1,0,repetition
447,74,358,32,0,7,other
449,67,360,32 1/2,1,12,other
450,71,360,32 1/2,0,4,other
451,65,361,32 3/4,1,10,other
452,69,361,32 3/4,0,2,other
453,64,362,32 1/1,1,9,other
454,67,362,32 1/1,0,0,repetition
455,62,363,32 5/4,1,7,other
456,65,363,32 5/4,0,2,other
457,60,364,32 3/2,1,5,other
458,64,364,32 3/2,0,3,other
459,59,365,32 7/4,1,4,other
460,62,365,32 7/4,0,5,other
461,57,366,33,1,2,other
462,65,366,33,0,2,other
463,55,367,33 1/4,1,0,repetition
464,67,367,33 1/4,0,0,repetition
465,60,368,33 1/2,1,5,other
466,69,368,33 1/2,0,2,other
475,55,377,33 7/4,1,0,repetition
476,71,377,33 7/4,0,4,other
477,53,378,34,1,2,other
478,69,378,34,0,2,other
482,55,382,34 1/2,1,0,repetition
483,69,382,34 1/2,0,2,other
487,57,386,34 1/1,1,2,other
488,66,386,34 1/1,0,1,other
496,55,394,35,1,0,repetition
497,67,394,35,0,0,repetition
509,43,406,35 1/1,1,12,other
510,55,406,35 1/1,1,0,repetition
511,59,406,35 1/1,0,8,other
512,67,406,35 1/1,0,0,repetition
