note,pitch,chord,bar,mapped voice,cost,category
2,55,1,1 1/1,2,0,repetition
3,58,1,1 1/1,4,0,repetition
19,53,15,2 1/1,4,0,repetition
21,50,17,2 3/2,2,0,repetition
28,52,23,3 1/1,2,0,repetition
29,55,23,3 1/1,4,0,repetition
31,52,25,3 3/2,2,0,repetition
32,55,25,3 3/2,4,0,repetition
37,62,27,4,3,4,other
43,43,33,4 1/1,5,0,repetition
44,55,33,4 1/1,2,0,repetition
45,58,33,4 1/1,3,0,repetition
53,62,37,5,4,0,repetition
56,53,39,5 1/1,3,0,repetition
61,67,42,5 3/2,4,2,other
74,48,52,6 1/1,5,0,repetition
75,55,52,6 1/1,3,0,repetition
76,60,52,6 1/1,1,0,repetition
77,64,52,6 1/1,4,0,repetition
91,55,61,7 1/1,2,0,repetition
92,58,61,7 1/1,1,0,repetition
94,74,61,7 1/1,0,0,repetition
103,62,68,8,4,0,repetition
112,67,73,8 3/2,3,2,other
126,48,84,9 1/1,5,0,repetition
127,55,84,9 1/1,2,0,repetition
128,64,84,9 1/1,3,0,repetition
129,72,84,9 1/1,0,0,repetition
175,48,114,12 1/1,5,0,repetition
176,52,114,12 1/1,2,0,repetition
177,60,114,12 1/1,1,0,repetition
178,64,114,12 1/1,4,0,repetition
179,67,114,12 1/1,0,0,repetition
181,64,116,12 3/2,4,0,repetition
223,48,143,15 1/1,5,0,repetition
224,52,143,15 1/1,2,0,repetition
225,60,143,15 1/1,1,0,repetition
226,64,143,15 1/1,3,0,repetition
227,67,143,15 1/1,0,0,repetition
229,64,145,15 3/2,3,0,repetition
267,54,170,18,2,1,ficta
270,55,171,18 3/4,4,2,other
271,50,172,18 1/1,5,0,repetition
272,57,172,18 1/1,4,0,repetition
273,62,172,18 1/1,3,0,repetition
275,50,174,18 3/2,5,0,repetition
276,55,174,18 3/2,4,2,other
281,62,176,19,3,0,repetition
298,55,189,20,4,0,repetition
302,64,191,20 1/2,0,0,repetition
314,66,197,21,0,1,ficta
318,66,201,21 3/4,0,1,other
321,57,203,21 1/1,3,0,repetition
322,62,203,21 1/1,2,0,repetition
323,66,203,21 1/1,0,2,ficta
344,55,219,22 1/1,3,0,repetition
345,58,219,22 1/1,2,0,repetition
346,62,219,22 1/1,4,0,repetition
354,55,223,23 3/4,5,0,repetition
355,50,224,23 1/1,5,5,other
358,74,224,23 1/1,0,0,repetition
361,72,227,23 3/2,0,0,repetition
368,69,231,24,0,1,other
370,70,233,24 1/2,0,0,repetition
371,69,234,24 3/4,0,0,repetition
373,53,236,24 1/1,5,0,repetition
374,60,236,24 1/1,4,0,repetition
375,65,236,24 1/1,1,0,repetition
376,70,236,24 1/1,0,3,other
390,62,245,25 1/1,3,0,repetition
408,74,256,26 1/1,0,0,repetition
409,75,257,26 5/4,0,1,other
411,72,259,26 3/2,0,0,repetition
418,69,263,27,0,1,other
420,65,265,27 1/2,2,0,repetition
422,69,267,27 3/4,0,0,repetition
424,53,269,27 1/1,5,0,repetition
425,60,269,27 1/1,3,0,repetition
426,65,269,27 1/1,2,0,repetition
427,70,269,27 1/1,0,3,other
441,46,280,28 1/1,5,0,repetition
445,70,280,28 1/1,0,0,repetition
458,65,291,29 3/4,2,0,repetition
460,57,293,29 1/1,1,0,repetition
461,60,293,29 1/1,4,0,repetition
471,64,298,30,2,0,repetition
473,53,300,30 1/2,1,0,repetition
476,61,301,30 3/4,2,1,other
480,62,303,30 1/1,2,0,repetition
484,52,306,30 3/2,1,0,repetition
485,55,306,30 3/2,4,0,repetition
497,65,313,31 3/4,0,0,repetition
500,57,315,31 1/1,4,0,repetition
520,60,329,32 1/1,3,0,repetition
528,50,335,33,5,0,repetition
529,53,335,33,2,0,repetition
530,58,335,33,3,0,repetition
533,57,336,33 1/4,4,0,repetition
534,46,337,33 1/2,5,2,other
535,50,337,33 1/2,1,0,repetition
536,57,337,33 1/2,4,0,repetition
537,45,338,33 3/4,5,0,repetition
538,48,338,33 3/4,2,0,repetition
541,57,339,33 1/1,3,0,repetition
573,58,359,35 1/1,4,0,repetition
584,50,366,36 1/1,5,0,repetition
586,57,366,36 1/1,4,0,repetition
588,69,366,36 1/1,0,0,repetition
591,64,368,36 3/2,3,2,other
613,58,380,38 1/1,3,0,repetition
627,50,388,39 1/1,5,0,repetition
629,57,388,39 1/1,4,0,repetition
642,70,396,40,0,0,repetition
646,43,400,40 1/1,5,0,repetition
648,62,400,40 1/1,4,0,repetition
653,69,404,40 3/2,0,2,other
657,58,408,41,2,0,repetition
663,65,412,41 3/4,0,0,repetition
672,64,417,42,0,0,repetition
681,62,422,42 1/1,0,0,repetition
684,62,424,42 3/2,0,0,repetition
695,50,432,43 1/1,2,0,repetition
696,53,432,43 1/1,4,0,repetition
705,58,439,44,5,0,repetition
707,65,439,44,0,3,other
709,69,441,44 1/2,3,7,other
713,65,443,44 1/1,1,0,repetition
716,60,446,44 3/2,3,0,repetition
722,64,450,45,1,0,repetition
732,62,456,45 1/1,1,0,repetition
743,53,464,46 1/1,3,0,repetition
771,62,480,48 1/2,1,0,repetition
783,51,486,49 1/2,2,0,repetition
784,55,486,49 1/2,4,0,repetition
785,60,486,49 1/2,1,2,other
786,58,487,49 3/4,1,0,repetition
814,62,502,51 1/2,1,0,repetition
830,58,512,52 3/4,1,0,repetition
837,51,516,53,5,1,ficta
857,62,526,54 1/2,1,0,repetition
878,51,538,56,5,1,ficta
897,62,547,57 1/2,1,0,repetition
918,58,562,58 3/4,1,0,repetition
987,65,601,62 1/2,1,0,repetition
990,57,602,62 1/1,4,0,repetition
1025,67,619,64 3/4,0,2,other
1046,57,630,65 1/1,3,0,repetition
1052,64,633,65 3/2,2,1,other
1087,67,650,67 1/1,0,0,repetition
1104,58,660,68 1/1,2,0,repetition
1111,53,663,69,5,2,other
1127,69,673,69 3/2,0,0,repetition
1129,53,675,69 7/4,5,0,repetition
1130,57,675,69 7/4,3,0,repetition
1131,65,675,69 7/4,1,0,repetition
1132,72,675,69 7/4,0,0,repetition
1146,67,680,70 1/1,0,0,repetition
1201,48,702,73 3/2,5,0,repetition
1225,55,709,75,4,0,repetition
1231,63,712,75 1/2,1,0,repetition
1233,67,714,75 3/4,0,0,repetition
1255,55,720,76 1/1,4,0,repetition
1259,48,722,76 3/2,5,0,repetition
1260,51,722,76 3/2,3,0,repetition
1274,43,731,77 1/1,5,0,repetition
1275,55,731,77 1/1,4,0,repetition
1276,58,731,77 1/1,1,0,repetition
1277,62,731,77 1/1,2,0,repetition
1278,70,731,77 1/1,0,0,repetition
1280,43,733,78,5,0,repetition
1281,50,733,78,4,5,other
1282,55,733,78,3,0,repetition
1283,58,733,78,1,0,repetition
1284,62,733,78,2,0,repetition
