note,pitch,chord,bar,mapped voice,cost,category
2,43,1,1 1/1,4,0,repetition
3,55,1,1 1/1,3,0,repetition
6,55,3,2,3,0,repetition
11,55,7,2 1/1,3,0,repetition
21,55,15,3 1/1,3,0,repetition
24,58,16,4,4,15,other
29,43,21,4 1/1,5,0,repetition
30,55,21,4 1/1,3,0,repetition
35,55,23,5,3,0,repetition
41,55,27,5 1/1,3,0,repetition
52,50,35,6 1/1,4,0,repetition
53,55,35,6 1/1,3,0,repetition
61,58,41,7,5,15,other
66,43,46,7 1/1,4,0,repetition
67,55,46,7 1/1,5,9,other
68,58,46,7 1/1,3,3,other
73,55,48,8,3,0,repetition
87,53,59,9 1/1,5,0,repetition
93,57,62,10,4,7,other
95,50,64,10 1/2,5,0,repetition
98,50,65,10 1/1,3,3,other
101,53,67,10 3/2,5,0,repetition
103,46,69,11,5,0,repetition
105,53,69,11,3,0,repetition
119,57,77,12,5,0,repetition
126,54,82,12 1/1,5,1,other
128,45,84,12 3/2,4,0,repetition
129,55,84,12 3/2,5,0,repetition
141,58,92,13 1/1,3,0,repetition
142,67,92,13 1/1,0,0,repetition
145,55,94,14,5,0,repetition
148,67,94,14,0,0,repetition
158,67,101,14 1/1,0,0,repetition
169,67,107,15 1/1,0,0,repetition
180,43,115,16 1/1,4,0,repetition
182,58,115,16 1/1,2,0,repetition
184,67,115,16 1/1,0,0,repetition
190,67,117,17,0,0,repetition
197,55,123,17 1/1,3,0,repetition
200,67,123,17 1/1,0,0,repetition
219,62,137,18 1/1,2,0,repetition
220,67,137,18 1/1,0,0,repetition
238,58,150,19 1/1,1,0,repetition
240,67,150,19 1/1,0,0,repetition
246,67,152,20,0,0,repetition
250,55,154,20 1/1,4,0,repetition
268,50,165,21 1/1,4,0,repetition
269,53,165,21 1/1,5,0,repetition
270,57,165,21 1/1,3,0,repetition
272,69,165,21 1/1,0,0,repetition
274,50,167,22,4,0,repetition
275,53,167,22,5,0,repetition
283,62,170,22 1/1,2,0,repetition
284,65,170,22 1/1,1,0,repetition
291,62,174,23,1,0,repetition
292,65,174,23,0,0,repetition
298,53,177,23 1/1,3,0,repetition
300,65,177,23 1/1,0,0,repetition
305,57,180,24,2,5,other
307,65,180,24,0,0,repetition
310,46,182,24 1/1,4,0,repetition
312,62,182,24 1/1,1,0,repetition
313,65,182,24 1/1,0,0,repetition
323,46,187,25 1/1,5,0,repetition
324,55,187,25 1/1,2,0,repetition
325,58,187,25 1/1,3,0,repetition
330,55,190,26,2,0,repetition
331,58,190,26,3,0,repetition
335,43,192,26 1/1,5,0,repetition
336,55,192,26 1/1,4,0,repetition
