note,pitch,chord,bar,mapped voice,cost,category
51,64,28,6 2/1,2,0,repetition
53,67,30,6 5/2,2,2,other
71,65,37,8 3/2,2,1,other
74,64,38,8 2/1,2,0,repetition
81,62,42,9 1/1,3,0,repetition
94,67,52,10 1/1,2,2,other
107,59,61,11 3/2,3,2,other
151,60,81,15 2/1,1,0,repetition
153,64,83,15 5/2,2,1,other
173,65,92,17 3/2,2,1,other
176,64,93,17 2/1,2,0,repetition
183,62,97,18 1/1,3,0,repetition
185,61,98,18 7/4,3,0,repetition
186,62,99,18 2/1,1,2,ficta
226,67,122,22 3/2,2,2,other
229,67,123,22 2/1,2,2,other
230,66,124,22 5/2,2,1,other
266,54,141,26 2/1,1,1,ficta
277,54,144,27 2/1,3,1,ficta
291,66,149,28 2/1,0,2,ficta
311,54,157,30 2/1,1,1,ficta
318,67,160,31 1/2,0,0,repetition
321,43,162,31 1/1,5,0,repetition
326,62,164,31 3/2,4,7,other
332,55,167,32 1/2,4,0,repetition
339,74,169,32 1/1,0,0,repetition
344,66,171,32 3/2,1,2,ficta
357,50,177,33 1/1,4,5,other
363,54,179,33 3/2,4,1,ficta
370,54,181,34 1/2,4,1,ficta
382,74,186,35,0,0,repetition
385,50,188,35 1/2,5,0,repetition
386,54,188,35 1/2,4,2,ficta
394,59,192,35 3/2,3,2,other
396,62,194,35 7/4,2,0,repetition
399,54,196,36,4,1,ficta
401,66,196,36,1,2,ficta
405,54,198,36 1/2,4,1,other
409,54,200,36 1/1,3,2,ficta
411,66,200,36 1/1,1,1,other
412,69,200,36 1/1,0,0,repetition
419,54,204,37,4,2,ficta
421,66,204,37,1,1,other
422,69,204,37,0,0,repetition
426,54,206,37 1/2,3,2,ficta
430,54,208,37 1/1,2,2,ficta
432,66,208,37 1/1,1,1,other
433,69,208,37 1/1,0,0,repetition
437,57,211,39,3,0,repetition
439,66,211,39,1,1,other
440,69,211,39,0,0,repetition
447,50,218,39 1/1,5,0,repetition
448,57,218,39 1/1,3,0,repetition
449,62,218,39 1/1,2,0,repetition
450,66,218,39 1/1,1,1,other
451,69,218,39 1/1,0,0,repetition
462,43,229,40 1/1,5,0,repetition
463,50,229,40 1/1,4,5,other
464,55,229,40 1/1,3,0,repetition
465,62,229,40 1/1,2,0,repetition
466,67,229,40 1/1,1,0,repetition
467,71,229,40 1/1,0,0,repetition
471,50,232,41,4,5,other
473,59,232,41,2,3,other
