note,pitch,chord,bar,mapped voice,cost,category
9,60,7,2,2,0,repetition
17,60,13,2 1/1,2,0,repetition
31,62,22,3 1/1,2,0,repetition
35,58,25,3 3/2,3,0,repetition
45,53,32,4 1/1,4,0,repetition
53,65,36,5,2,0,repetition
59,65,39,5 1/1,2,0,repetition
67,62,45,6 1/2,3,2,other
69,58,47,6 3/4,3,0,repetition
71,58,49,6 1/1,3,1,other
75,48,53,6 3/2,4,0,repetition
76,55,53,6 3/2,3,0,repetition
77,60,53,6 3/2,1,0,repetition
78,64,53,6 3/2,2,0,repetition
94,65,65,7 1/1,2,0,repetition
96,62,67,7 3/2,2,3,other
97,57,68,7 7/4,1,0,repetition
98,60,68,7 7/4,2,5,other
102,65,69,8,2,0,repetition
116,65,78,9,2,0,repetition
122,69,83,9 3/4,0,0,repetition
126,53,87,9 3/2,4,0,repetition
127,60,87,9 3/2,1,0,repetition
128,65,87,9 3/2,2,0,repetition
129,72,87,9 3/2,0,0,repetition
134,53,91,10,3,0,repetition
151,48,99,11 1/1,4,0,repetition
152,55,99,11 1/1,1,0,repetition
153,60,99,11 1/1,3,0,repetition
154,67,99,11 1/1,2,0,repetition
168,67,108,12 1/1,2,0,repetition
174,71,111,12 3/2,2,4,other
192,65,122,14 1/4,1,0,repetition
193,74,122,14 1/4,0,0,repetition
195,73,123,14 1/2,0,1,ficta
197,71,124,14 3/4,0,1,ficta
200,74,125,14 1/1,0,4,other
203,57,128,14 3/2,3,0,repetition
204,64,128,14 3/2,1,0,repetition
205,74,128,14 3/2,0,2,other
213,65,132,15 1/1,2,0,repetition
220,65,135,16,2,0,repetition
223,60,137,16 1/2,1,2,other
227,65,139,16 1/1,2,0,repetition
241,57,148,17 1/2,3,0,repetition
242,57,148,17 1/2,1,0,
247,64,150,17 1/1,2,0,repetition
257,64,157,18,2,0,repetition
267,64,164,18 1/1,2,0,repetition
269,48,166,18 3/2,4,0,repetition
287,60,174,20 1/2,2,0,repetition
292,57,178,20 1/1,3,0,repetition
296,58,180,20 3/2,3,1,other
297,53,181,20 7/4,4,0,repetition
298,57,181,20 7/4,3,0,repetition
307,55,187,21 3/4,3,5,other
312,64,189,21 1/1,2,0,repetition
314,53,190,21 5/4,3,2,other
315,65,190,21 5/4,2,1,other
316,48,191,21 3/2,4,0,repetition
317,55,191,21 3/2,3,0,repetition
318,65,191,21 3/2,2,1,other
332,69,200,22 1/1,0,0,repetition
334,69,202,22 3/2,0,0,repetition
348,46,213,23 1/1,4,0,repetition
349,58,213,23 1/1,3,0,repetition
356,62,215,24,2,0,repetition
357,70,215,24,0,0,repetition
368,62,222,24 3/2,2,0,repetition
370,65,224,24 7/4,1,0,repetition
378,65,228,25 1/2,0,4,other
382,60,230,25 1/1,2,0,repetition
387,53,232,26,4,0,repetition
389,60,232,26,2,0,repetition
390,72,232,26,0,0,repetition
399,60,237,26 1/1,2,0,repetition
408,60,241,27,2,0,repetition
409,69,241,27,0,0,repetition
411,53,243,27 1/2,4,0,repetition
417,60,246,27 1/1,2,0,repetition
418,65,246,27 1/1,0,0,repetition
421,65,249,27 3/2,0,0,repetition
429,60,255,28,2,0,repetition
432,53,257,28 1/1,3,0,repetition
434,60,257,28 1/1,2,0,repetition
435,65,257,28 1/1,0,0,repetition
441,53,261,29 1/1,3,0,repetition
442,57,261,29 1/1,1,0,repetition
456,69,269,30 1/1,0,0,repetition
459,65,272,30 3/2,0,4,other
468,57,278,31 1/1,2,0,repetition
475,57,280,32,2,0,repetition
476,65,281,32 1/4,1,0,repetition
477,72,281,32 1/4,0,0,repetition
483,57,284,32 1/1,2,0,repetition
487,48,286,32 3/2,4,0,repetition
497,58,289,33 1/1,2,0,repetition
504,58,293,34,2,0,repetition
506,70,293,34,0,0,repetition
511,58,296,34 1/1,2,0,repetition
517,58,299,35,3,0,repetition
523,58,302,35 1/1,2,0,repetition
530,58,304,36,2,0,repetition
532,70,304,36,0,0,repetition
539,58,307,36 1/1,2,0,repetition
548,41,312,37 1/2,4,12,other
549,53,312,37 1/2,2,7,other
555,60,314,37 1/1,2,0,repetition
565,60,319,38,3,0,repetition
579,60,326,38 1/1,2,0,repetition
596,57,335,39 1/1,2,0,repetition
597,69,335,39 1/1,0,0,repetition
601,50,337,40,3,0,repetition
602,53,337,40,4,0,repetition
603,57,337,40,2,0,repetition
604,65,337,40,1,0,repetition
610,57,340,40 1/1,2,0,repetition
617,57,344,41,2,0,repetition
621,60,347,41 1/2,1,2,other
623,57,349,41 3/4,2,0,repetition
626,57,351,41 1/1,2,0,repetition
629,50,353,42,4,0,repetition
630,53,353,42,3,0,repetition
631,57,353,42,2,0,repetition
635,62,355,42 1/2,1,3,other
638,57,357,42 1/1,2,0,repetition
644,46,362,42 3/2,4,2,other
645,53,362,42 3/2,3,1,other
646,62,362,42 3/2,1,2,other
647,45,363,42 7/4,4,3,other
648,60,363,42 7/4,2,3,other
664,58,374,43 3/2,2,0,repetition
673,64,378,44 1/2,1,2,other
677,57,380,44 1/1,2,0,repetition
695,53,394,45 1/1,2,0,repetition
700,53,396,46,2,0,repetition
702,53,397,46 1/2,2,0,repetition
710,64,403,46 7/4,1,1,other
720,48,410,47 1/1,4,0,repetition
721,55,410,47 1/1,2,0,repetition
726,60,414,48 1/2,3,0,repetition
730,53,418,48 1/1,2,0,repetition
743,60,423,49 1/1,2,0,repetition
749,60,425,50,2,0,repetition
750,72,425,50,0,0,repetition
752,72,427,50 1/2,0,0,repetition
756,53,431,50 1/1,4,0,repetition
757,60,431,50 1/1,2,0,repetition
767,67,438,51,0,0,repetition
774,58,444,51 1/1,2,0,repetition
775,65,444,51 1/1,0,0,repetition
778,65,447,51 3/2,0,0,repetition
789,65,455,52 1/2,0,0,repetition
793,53,459,52 1/1,4,0,repetition
794,57,459,52 1/1,2,0,repetition
798,60,461,52 3/2,3,0,repetition
801,57,463,53,2,0,repetition
802,60,463,53,3,0,repetition
804,72,463,53,0,0,repetition
806,72,465,53 1/2,0,0,repetition
808,48,467,53 1/1,4,0,repetition
809,57,467,53 1/1,2,2,other
810,60,467,53 1/1,3,0,repetition
816,48,471,54,4,0,repetition
817,55,471,54,2,0,repetition
818,60,471,54,3,0,repetition
820,67,471,54,0,0,repetition
825,48,476,54 1/1,4,0,repetition
826,55,476,54 1/1,2,0,repetition
827,60,476,54 1/1,3,0,repetition
828,65,476,54 1/1,0,0,repetition
846,53,490,55 1/1,2,0,repetition
847,57,490,55 1/1,3,0,repetition
849,69,490,55 1/1,1,0,repetition
851,53,492,56,2,0,repetition
861,53,498,57,2,0,repetition
863,60,498,57,3,0,repetition
881,53,511,58 1/1,4,0,repetition
886,53,514,59,4,0,repetition
890,60,516,59 1/2,3,0,repetition
892,57,518,59 3/4,1,0,repetition
898,53,522,60,4,0,repetition
900,72,522,60,0,0,repetition
905,53,526,60 1/1,4,0,repetition
915,69,532,61 3/4,0,0,repetition
917,65,534,61 1/1,2,0,repetition
926,72,537,62 1/2,2,7,other
930,65,538,62 1/1,2,0,repetition
931,72,538,62 1/1,0,3,other
941,50,542,63 1/2,4,0,repetition
947,65,546,63 1/1,2,0,repetition
950,55,548,63 3/2,4,2,other
964,60,559,64 1/1,1,0,repetition
965,64,559,64 1/1,2,0,repetition
966,67,559,64 1/1,0,0,repetition
979,60,566,65 1/1,2,0,repetition
987,57,573,66 1/4,4,0,repetition
988,60,573,66 1/4,3,0,repetition
989,55,574,66 1/2,4,2,other
990,58,574,66 1/2,3,2,other
991,53,575,66 3/4,4,0,repetition
992,57,575,66 3/4,3,0,repetition
995,60,576,66 1/1,2,0,repetition
996,50,577,66 5/4,4,2,other
997,53,577,66 5/4,3,2,other
998,52,578,66 3/2,4,0,repetition
999,55,578,66 3/2,3,0,repetition
1006,50,582,67 1/1,4,0,repetition
1007,62,582,67 1/1,2,0,repetition
1012,62,585,68,2,0,repetition
1022,70,592,68 3/2,0,1,other
1030,69,598,69,0,2,other
1031,57,599,69 1/2,3,0,repetition
1034,57,600,69 1/1,3,0,repetition
1036,76,600,69 1/1,0,0,repetition
1044,72,604,70,0,0,repetition
1047,65,607,70 1/2,1,2,other
1049,62,609,70 3/4,1,2,other
1051,55,611,70 1/1,2,0,repetition
1056,72,613,70 3/2,0,1,other
1065,60,617,71 1/1,2,0,repetition
1066,72,617,71 1/1,0,0,repetition
1069,67,620,71 3/2,0,5,other
1076,64,624,72,2,4,ficta
1082,67,630,72 1/1,2,4,other
1088,60,634,72 3/2,1,0,repetition
1089,64,634,72 3/2,2,1,other
1090,62,635,72 7/4,2,1,other
1091,64,636,72 15/8,2,1,other
1097,50,639,73 1/2,4,0,repetition
1102,57,641,73 1/1,1,0,repetition
1103,62,641,73 1/1,2,0,repetition
1105,57,643,73 3/2,1,0,repetition
1127,60,654,75,2,0,repetition
1128,72,654,75,0,0,repetition
1131,71,657,75 1/2,0,1,ficta
1133,67,659,75 3/4,1,0,repetition
1136,60,661,75 1/1,2,0,repetition
1139,46,662,75 3/2,4,2,other
1151,43,668,76 1/1,4,0,repetition
1153,58,668,76 1/1,2,0,repetition
1167,50,676,77 1/1,3,0,repetition
1169,57,676,77 1/1,2,0,repetition
1171,69,676,77 1/1,0,0,repetition
1176,57,679,78,2,0,repetition
1182,57,683,78 1/1,2,0,repetition
1185,57,685,78 3/2,2,0,repetition
1195,65,693,79 1/2,1,1,other
1199,55,697,79 1/1,2,0,repetition
1200,60,697,79 1/1,3,0,repetition
1204,60,700,79 3/2,3,0,repetition
1215,60,708,80 1/1,2,0,repetition
1216,59,709,80 5/4,2,1,ficta
1217,57,710,80 3/2,3,0,repetition
1219,60,712,80 7/4,2,0,repetition
1226,60,716,81 1/1,3,0,repetition
1243,55,723,82 3/2,4,0,repetition
1245,70,723,82 3/2,0,0,repetition
1253,67,727,83 1/2,1,0,repetition
1277,64,737,84 3/2,2,1,other
1279,67,739,84 7/4,2,2,other
1290,67,745,85 1/1,2,0,repetition
1297,72,747,85 3/2,0,0,repetition
1302,55,750,86 1/2,3,5,other
1304,50,751,86 1/1,4,2,other
1306,67,751,86 1/1,2,0,repetition
1314,48,756,87,4,0,repetition
1315,60,756,87,1,0,repetition
1317,76,756,87,0,0,repetition
1326,67,760,87 1/1,2,0,repetition
1327,72,760,87 1/1,0,0,repetition
1332,67,763,87 3/2,2,0,repetition
1333,72,763,87 3/2,0,1,other
1334,71,764,87 7/4,0,0,repetition
1338,67,765,88,2,0,repetition
1344,69,770,88 3/4,2,2,other
1347,60,772,88 1/1,3,0,repetition
1349,67,772,88 1/1,2,0,repetition
1350,72,772,88 1/1,0,0,repetition
1356,48,778,89,4,0,repetition
1357,55,778,89,3,5,other
1358,60,778,89,2,7,other
1359,64,778,89,1,0,repetition
1360,72,778,89,0,0,repetition
