note,pitch,chord,bar,mapped voice,cost,category
2,53,2,1 3/2,4,0,repetition
34,60,31,4,4,0,repetition
37,62,34,4 1/2,4,2,other
39,58,36,4 3/4,4,0,repetition
62,60,55,6,2,0,repetition
67,53,59,6 1/1,4,0,repetition
72,55,62,6 3/2,2,0,repetition
73,53,63,6 7/4,4,1,other
81,53,70,7 3/4,4,3,repetition
82,53,70,7 3/4,2,0,
93,55,78,8 3/2,2,0,repetition
111,53,92,10,4,0,repetition
112,57,92,10,2,0,repetition
126,57,100,11,2,0,repetition
139,53,110,12,4,0,repetition
140,57,110,12,2,0,repetition
149,48,115,12 5/4,4,4,other
151,52,117,12 3/2,4,1,other
153,50,119,12 7/4,4,5,other
177,65,135,14 1/1,0,0,repetition
180,65,138,14 3/2,0,1,other
182,65,140,14 7/4,0,1,other
191,53,146,15 1/1,4,0,repetition
194,65,146,15 1/1,0,0,repetition
205,60,152,16 1/1,2,0,repetition
217,48,161,17 1/1,4,0,repetition
224,55,164,18,3,0,repetition
227,67,164,18,0,0,repetition
245,55,173,19 3/8,3,2,other
246,53,174,19 11/16,3,0,repetition
247,57,174,19 11/16,2,0,repetition
252,55,176,19 11/8,3,0,repetition
253,58,177,19 27/16,2,0,repetition
254,62,177,19 27/16,1,0,repetition
262,65,182,20 3/4,0,0,repetition
264,53,184,20 1/1,3,0,repetition
269,69,185,20 3/2,0,0,repetition
282,45,190,21 3/2,4,1,other
283,52,190,21 3/2,3,1,other
284,67,190,21 3/2,0,2,other
285,43,191,21 7/4,4,3,other
296,41,199,22 1/1,4,0,repetition
298,60,199,22 1/1,1,0,repetition
310,46,204,23 3/2,4,0,repetition
311,50,204,23 3/2,2,0,repetition
328,72,213,24 1/1,0,0,repetition
331,67,216,24 3/2,0,5,other
333,64,218,24 7/4,1,4,other
340,53,223,25 1/2,2,1,other
356,58,234,26 1/2,3,2,other
358,57,235,26 3/4,3,3,other
359,65,235,26 3/4,1,1,other
362,69,236,26 1/1,0,0,repetition
364,69,238,26 3/2,0,2,other
373,57,244,27 1/1,3,0,repetition
376,69,244,27 1/1,0,0,repetition
381,58,248,28,3,1,ficta
392,55,255,28 3/2,4,2,other
394,55,257,28 7/4,4,2,other
405,64,265,29 3/4,1,0,repetition
411,48,271,29 3/2,4,0,repetition
412,60,271,29 3/2,2,0,repetition
413,64,271,29 3/2,1,0,repetition
414,67,271,29 3/2,0,0,repetition
428,57,282,30 1/1,2,0,repetition
450,53,295,32 1/1,4,0,repetition
453,69,295,32 1/1,0,0,repetition
462,60,300,33,2,0,repetition
465,58,301,33 1/4,3,1,ficta
468,67,302,33 1/2,0,0,repetition
476,57,308,33 3/2,3,0,repetition
481,57,312,34,3,0,repetition
485,48,314,34 1/2,4,0,repetition
492,60,316,34 1/1,1,4,other
495,55,318,34 3/2,3,0,repetition
501,50,321,35 1/2,4,0,repetition
510,70,325,35 7/4,0,2,ficta
512,64,326,36,1,0,repetition
519,58,331,36 1/1,3,2,ficta
521,69,331,36 1/1,0,0,repetition
522,67,332,36 5/4,0,2,ficta
524,58,334,36 3/2,3,1,other
525,62,334,36 3/2,1,0,repetition
526,67,334,36 3/2,0,1,ficta
527,65,335,36 7/4,1,3,ficta
535,69,339,37 1/1,0,0,repetition
536,58,340,37 5/4,3,2,ficta
540,57,342,38,2,0,repetition
541,58,342,38,3,2,ficta
545,52,345,38 1/2,4,0,repetition
554,55,351,38 3/2,4,2,other
559,57,355,39,2,0,repetition
566,58,357,39 1/1,2,1,ficta
568,70,357,39 1/1,0,1,ficta
570,65,359,39 3/2,1,2,other
579,53,365,40 1/2,4,0,repetition
583,57,367,40 1/1,3,0,repetition
589,58,369,40 7/4,3,1,ficta
593,70,370,41,0,2,ficta
598,57,374,41 1/1,3,0,repetition
