note,pitch,chord,bar,mapped voice,cost,category
32,51,26,4,3,1,ficta
50,51,37,6,3,1,ficta
81,58,57,7 1/1,2,0,repetition
82,70,57,7 1/1,0,0,repetition
88,51,63,8,3,0,repetition
89,55,63,8,1,0,repetition
95,58,65,8 1/1,2,0,repetition
98,53,68,8 3/2,3,2,other
128,50,84,11,3,0,repetition
129,53,84,11,1,0,repetition
141,45,91,11 3/2,3,0,repetition
143,55,91,11 3/2,2,1,other
154,55,100,12 1/1,2,0,repetition
170,65,108,13 7/4,1,3,other
176,50,112,14 1/1,3,0,repetition
178,69,112,14 1/1,0,0,repetition
183,62,115,15,1,0,repetition
186,63,118,15 1/2,1,1,other
190,60,122,15 3/4,1,0,repetition
194,50,126,15 1/1,3,0,repetition
195,53,126,15 1/1,2,0,repetition
251,57,163,20 3/4,2,2,other
269,46,179,21 1/1,3,0,repetition
270,58,179,21 1/1,2,0,repetition
273,62,180,22,1,0,repetition
274,65,180,22,0,0,repetition
367,53,244,29 1/2,3,0,repetition
382,67,252,30 1/1,0,0,repetition
385,57,255,30 7/4,2,2,other
386,60,255,30 7/4,1,0,repetition
394,57,261,31 3/4,2,1,other
396,50,263,31 1/1,3,0,repetition
398,62,263,31 1/1,1,0,repetition
401,48,265,31 3/2,3,2,other
411,43,273,32 1/1,3,0,repetition
412,55,273,32 1/1,2,0,repetition
426,72,283,33 1/1,0,0,repetition
428,72,285,33 3/2,0,2,other
430,69,287,33 7/4,0,0,repetition
444,74,297,35,0,0,repetition
446,63,299,35 1/2,1,5,ficta
453,70,305,35 3/2,0,0,repetition
478,62,327,37 1/2,1,0,repetition
502,64,348,38 3/2,1,2,other
507,69,352,39,0,0,repetition
513,67,355,39 1/1,0,0,repetition
516,69,358,39 3/2,0,2,other
527,55,366,40 1/1,1,0,repetition
529,67,366,40 1/1,0,0,repetition
570,62,396,43 1/1,2,0,repetition
572,55,398,44,3,0,repetition
573,58,398,44,1,0,repetition
615,64,429,47,2,0,repetition
630,65,440,48,2,0,repetition
634,58,444,48 1/1,3,0,repetition
635,62,444,48 1/1,1,0,repetition
639,65,445,48 3/2,2,0,repetition
654,62,454,49 1/1,2,0,repetition
669,50,467,50 1/1,3,0,repetition
670,57,467,50 1/1,1,0,repetition
671,62,467,50 1/1,2,0,repetition
679,50,474,51,3,0,repetition
684,50,478,51 1/1,3,0,repetition
693,63,485,52,2,1,ficta
708,64,498,53 1/2,0,3,other
723,69,510,54 1/1,0,0,repetition
741,65,523,55 1/1,0,0,repetition
754,58,532,56 1/1,2,0,repetition
824,51,570,62 3/2,3,1,ficta
829,67,571,63,0,0,repetition
832,67,574,63 1/2,0,1,ficta
834,67,576,63 3/4,0,1,other
854,50,586,65,3,0,repetition
856,62,586,65,2,0,repetition
868,67,591,65 1/1,0,0,repetition
884,43,604,66 1/1,3,0,repetition
885,58,604,66 1/1,2,0,repetition
923,65,631,69 1/1,1,0,repetition
924,69,631,69 1/1,0,0,repetition
991,65,682,73 3/4,1,0,repetition
1021,50,706,75 1/1,3,0,repetition
1022,57,706,75 1/1,2,0,repetition
1055,70,733,77 3/2,0,1,other
1070,62,745,78 1/1,1,0,repetition
1119,65,775,82,2,0,repetition
1128,62,778,82 1/1,2,0,repetition
1129,67,778,82 1/1,0,0,repetition
1130,66,779,82 5/4,0,0,repetition
1132,66,781,82 3/2,0,0,repetition
1141,43,787,83 1/1,3,0,repetition
1142,55,787,83 1/1,1,0,repetition
1144,67,787,83 1/1,0,0,repetition
1175,57,806,86 1/2,1,0,repetition
1181,61,808,86 1/1,2,1,ficta
1211,51,834,89,3,0,repetition
1216,58,836,89 1/1,1,0,repetition
1228,63,843,90 3/2,2,0,repetition
1236,62,851,96 1/1,2,0,repetition
1264,55,866,99 1/1,1,0,repetition
1267,54,867,99 3/2,1,1,ficta
1279,70,874,100 1/1,0,0,repetition
1296,62,885,101 1/1,1,0,repetition
1308,50,894,102 1/1,3,0,repetition
1310,62,894,102 1/1,1,0,repetition
1315,58,896,103,2,0,repetition
1318,60,898,103 1/2,2,2,other
1320,57,900,103 3/4,2,0,repetition
1334,62,912,104 1/1,1,0,repetition
1343,70,918,105,0,0,repetition
1346,65,921,105 1/2,0,5,other
1348,69,923,105 3/4,0,0,repetition
1382,55,942,108,3,0,repetition
1383,58,942,108,2,0,repetition
1384,64,942,108,1,0,repetition
1385,67,942,108,0,0,repetition
1418,55,966,110,3,0,repetition
1421,55,968,110 1/2,3,2,other
1427,50,973,110 5/4,3,2,other
1428,62,973,110 5/4,1,1,other
1429,52,974,110 3/2,3,0,repetition
1430,61,974,110 3/2,1,0,repetition
1528,43,1020,117 1/1,3,0,repetition
1530,67,1020,117 1/1,0,0,repetition
1545,72,1031,119 1/2,0,2,other
1549,62,1035,119 1/1,1,0,repetition
1572,50,1052,121 1/1,3,0,repetition
1577,67,1055,121 3/2,1,2,other
1583,67,1060,122 1/2,1,0,repetition
1612,50,1075,124 1/1,3,0,repetition
1614,65,1075,124 1/1,0,0,repetition
1616,58,1077,124 3/2,2,0,repetition
1635,54,1091,126 1/1,2,2,ficta
1636,43,1092,126 5/4,3,2,other
1637,55,1092,126 5/4,2,2,other
1644,43,1097,127 1/1,3,0,repetition
1645,55,1097,127 1/1,2,0,repetition
1667,66,1114,128 1/1,0,2,ficta
1697,58,1135,130 1/1,3,0,repetition
1698,62,1135,130 1/1,1,0,repetition
1699,67,1135,130 1/1,2,0,repetition
1719,57,1147,131 5/4,1,2,other
1742,65,1165,133 1/1,2,0,repetition
1743,74,1165,133 1/1,0,0,repetition
1760,62,1172,135,1,0,repetition
1764,50,1175,135 1/1,3,0,repetition
1767,65,1175,135 1/1,0,0,repetition
1772,57,1177,136,2,0,repetition
1778,57,1179,136 1/1,2,0,repetition
1787,57,1185,137,2,0,repetition
