note,pitch,chord,bar,mapped voice,cost,category
44,69,26,8 3/2,0,1,other
47,57,28,8 5/2,1,1,other
88,58,52,13 5/2,2,2,other
113,64,63,16 1/1,0,1,ficta
117,64,67,16 5/2,1,1,other
127,62,72,18,1,0,repetition
134,62,75,19,1,0,repetition
152,50,89,21,3,0,repetition
156,65,91,21 3/2,1,0,repetition
159,70,93,21 5/2,0,1,other
164,64,97,23,1,1,ficta
170,64,101,24 1/1,1,2,ficta
182,60,110,25 2/1,1,2,other
187,70,112,26 1/2,0,5,other
189,62,113,26 1/1,1,0,repetition
190,55,114,26 3/2,3,0,repetition
192,70,114,26 3/2,0,0,repetition
199,69,117,27 1/1,0,0,repetition
200,53,118,27 3/2,3,0,repetition
231,52,132,29 5/4,1,1,ficta
237,53,135,30,3,0,repetition
243,50,138,30 3/4,3,2,other
246,60,139,30 1/1,2,0,repetition
250,67,141,30 3/2,0,0,repetition
273,69,149,32,0,0,repetition
287,67,157,32 1/1,0,0,repetition
303,55,170,33 1/1,1,0,repetition
304,58,170,33 1/1,2,0,repetition
305,67,170,33 1/1,0,0,repetition
325,52,185,35 1/1,3,1,ficta
336,55,194,36 1/2,1,3,other
339,50,196,36 1/1,3,0,repetition
364,62,212,38 3/2,0,3,other
373,57,216,39 1/1,1,0,repetition
394,55,231,40 3/2,1,2,other
403,57,236,41 1/1,2,0,repetition
414,50,243,42 1/1,2,0,repetition
416,62,243,42 1/1,1,0,repetition
424,57,247,43,3,0,repetition
428,58,249,43 1/2,1,0,repetition
429,57,250,43 3/4,1,1,other
432,54,252,43 1/1,3,1,other
435,50,254,43 3/2,2,0,repetition
436,55,254,43 3/2,3,0,repetition
439,43,257,44,2,7,other
442,55,259,44 1/1,3,0,repetition
455,69,268,46,0,0,repetition
456,58,269,46 1/4,2,2,other
458,57,270,46 1/2,3,2,other
462,67,272,46 1/1,0,0,repetition
464,67,274,46 3/2,0,0,repetition
477,67,285,47 1/1,0,0,repetition
478,55,286,48,3,0,repetition
482,62,288,48 1/1,1,0,repetition
536,50,332,52 1/1,3,0,repetition
538,62,332,52 1/1,2,0,repetition
542,69,334,53,0,0,repetition
579,69,362,56,0,0,repetition
603,62,381,57 3/2,2,2,other
627,60,401,60,2,0,repetition
637,67,407,60 1/1,0,0,repetition
639,57,409,60 3/2,2,0,repetition
662,53,421,62 1/2,3,0,repetition
694,66,431,64 1/1,0,1,other
695,67,432,64 5/4,0,0,repetition
696,66,433,64 7/4,0,0,repetition
707,55,441,65 1/1,2,0,repetition
736,60,452,67 3/4,1,3,other
742,53,455,67 5/4,2,2,other
744,55,456,67 3/2,2,0,repetition
753,58,461,68 3/4,2,0,repetition
754,62,461,68 3/4,0,0,repetition
755,65,461,68 3/4,1,0,repetition
763,65,467,68 7/4,1,0,repetition
767,53,469,69 1/4,3,2,other
768,57,469,69 1/4,2,1,other
769,62,469,69 1/4,0,0,repetition
770,52,470,69 1/2,3,3,other
771,55,470,69 1/2,2,3,other
773,50,471,69 3/4,3,3,other
774,53,471,69 3/4,2,4,other
777,62,472,69 1/1,1,0,repetition
792,50,485,70 1/1,3,0,repetition
809,57,497,71 1/1,2,0,repetition
851,57,524,74 1/1,2,0,repetition
852,57,524,74 1/1,1,5,
883,62,536,76 1/1,1,0,repetition
888,67,538,76 3/2,0,2,other
890,64,540,76 7/4,0,1,other
896,60,543,77 1/4,1,0,repetition
898,64,545,77 1/2,0,0,repetition
900,52,547,77 3/4,2,3,ficta
902,67,547,77 3/4,0,0,repetition
906,67,548,77 1/1,0,0,repetition
923,43,562,78 1/1,3,0,repetition
924,55,562,78 1/1,2,0,repetition
925,67,562,78 1/1,0,0,repetition
946,62,576,80 1/1,1,0,repetition
951,60,580,80 7/4,1,0,repetition
955,50,584,81,3,0,repetition
1045,57,652,88 3/4,2,2,other
1066,60,668,89 3/2,1,0,repetition
1076,55,674,90 1/1,2,0,repetition
1078,55,676,90 3/2,2,0,repetition
1091,43,688,91 1/1,3,0,repetition
1093,43,689,92,3,0,repetition
1094,55,689,92,2,0,repetition
1102,43,697,92 1/1,3,0,repetition
1110,43,703,93,3,0,repetition
1111,55,703,93,1,0,repetition
1114,43,705,93 1/1,3,0,repetition
1115,55,705,93 1/1,1,0,repetition
1117,62,705,93 1/1,2,0,repetition
1125,58,711,94 1/1,2,0,repetition
1126,62,711,94 1/1,0,0,repetition
1155,65,733,97,0,0,repetition
1162,58,739,97 1/1,2,0,repetition
1168,58,743,98 1/1,2,0,repetition
1169,55,744,99,1,0,repetition
1181,43,755,100,3,0,repetition
1189,62,761,100 1/1,1,0,repetition
1201,50,771,101 1/1,3,0,repetition
1233,50,798,104 1/4,3,3,other
1239,58,802,104 1/1,2,0,repetition
1241,58,804,104 3/2,2,0,repetition
1248,46,810,105 1/1,3,0,repetition
1249,58,810,105 1/1,2,0,repetition
1262,62,818,107,2,0,repetition
1271,58,825,107 3/2,1,0,repetition
1279,53,831,108 1/1,2,0,repetition
1280,65,831,108 1/1,0,0,repetition
1295,62,841,110,1,0,repetition
1320,69,852,111 1/1,0,0,repetition
1322,60,854,111 3/2,1,0,repetition
1327,67,856,112,0,0,repetition
1329,67,858,112 1/2,0,0,repetition
1357,69,871,114,0,0,repetition
1358,58,872,114 1/4,1,2,other
1360,57,873,114 1/2,2,2,other
1362,55,874,114 3/4,2,0,repetition
1365,67,875,114 1/1,0,0,repetition
1377,52,883,115 1/2,1,3,ficta
1390,51,891,116,3,0,repetition
1392,58,891,116,2,0,repetition
1400,52,894,116 1/1,1,2,ficta
1409,43,898,117 1/1,3,0,repetition
1410,50,898,117 1/1,1,0,repetition
1411,58,898,117 1/1,2,0,repetition
1412,62,898,117 1/1,0,0,repetition
1414,43,900,118,3,0,repetition
1418,43,902,118 1/1,3,0,repetition
1423,62,904,118 3/2,0,0,repetition
1435,62,914,119 1/1,2,0,repetition
1446,70,921,120 1/1,0,0,repetition
1449,62,923,120 3/2,2,0,repetition
1473,70,939,122,0,0,repetition
1480,66,942,122 3/4,0,1,ficta
1494,50,947,123 1/1,3,0,repetition
1503,62,949,124,1,0,repetition
1537,70,964,126,0,0,repetition
1548,62,968,126 1/1,2,0,repetition
1553,55,971,126 3/2,1,0,repetition
1556,62,972,126 7/4,2,1,other
