note,pitch,chord,bar,mapped voice,cost,category
2,55,1,1 1/1,2,0,repetition
3,58,1,1 1/1,4,0,repetition
4,55,2,1 3/2,2,0,repetition
5,58,2,1 3/2,4,0,repetition
12,53,7,2 1/1,4,0,repetition
21,52,15,3 1/1,2,0,repetition
22,55,15,3 1/1,4,0,repetition
37,43,28,4 1/1,5,0,repetition
38,55,28,4 1/1,2,0,repetition
39,58,28,4 1/1,3,0,repetition
47,62,32,5,4,0,repetition
49,62,34,5 1/2,4,0,repetition
52,53,36,5 1/1,3,0,repetition
58,67,40,5 3/2,4,2,other
66,48,45,6 1/1,5,0,repetition
67,55,45,6 1/1,3,0,repetition
68,60,45,6 1/1,1,0,repetition
69,64,45,6 1/1,4,0,repetition
78,55,49,7 1/1,2,0,repetition
79,58,49,7 1/1,1,0,repetition
81,74,49,7 1/1,0,0,repetition
82,43,50,7 3/2,5,0,repetition
83,55,50,7 3/2,2,0,repetition
84,58,50,7 3/2,1,0,repetition
85,62,50,7 3/2,4,0,repetition
86,74,50,7 3/2,0,0,repetition
89,62,51,8,4,0,repetition
92,65,53,8 1/2,4,3,other
100,65,58,8 3/2,3,0,repetition
111,48,66,9 1/1,5,0,repetition
112,55,66,9 1/1,2,0,repetition
113,64,66,9 1/1,3,0,repetition
114,72,66,9 1/1,0,0,repetition
157,48,93,12 1/1,5,0,repetition
158,52,93,12 1/1,2,0,repetition
159,60,93,12 1/1,1,0,repetition
160,64,93,12 1/1,4,0,repetition
161,67,93,12 1/1,0,0,repetition
168,66,97,13,0,1,ficta
197,48,113,15 1/1,5,0,repetition
198,52,113,15 1/1,2,0,repetition
199,60,113,15 1/1,1,0,repetition
200,64,113,15 1/1,3,0,repetition
201,67,113,15 1/1,0,0,repetition
208,66,117,16,0,1,ficta
214,66,121,16 1/1,0,1,ficta
221,45,128,17,5,1,other
241,50,139,18 1/1,5,0,repetition
243,57,139,18 1/1,4,0,repetition
244,62,139,18 1/1,3,0,repetition
256,62,148,19,3,0,repetition
268,55,156,20,4,0,repetition
274,62,160,20 1/2,3,2,other
280,59,164,20 1/1,3,1,ficta
289,66,168,21,0,1,ficta
294,57,172,21 1/1,3,0,repetition
295,62,172,21 1/1,2,0,repetition
296,66,172,21 1/1,0,2,ficta
298,50,174,21 3/2,5,0,repetition
299,57,174,21 3/2,3,0,repetition
300,62,174,21 3/2,2,0,repetition
301,67,174,21 3/2,0,2,other
313,55,181,22 1/1,3,0,repetition
314,62,181,22 1/1,4,0,repetition
338,53,197,24 1/1,5,0,repetition
339,60,197,24 1/1,4,0,repetition
340,65,197,24 1/1,1,0,repetition
343,53,199,24 3/2,5,0,repetition
344,60,199,24 3/2,4,0,repetition
345,70,199,24 3/2,0,1,other
356,62,205,25 1/1,3,0,repetition
371,74,214,26 5/4,0,0,repetition
372,72,215,26 3/2,0,0,repetition
373,64,216,26 7/4,2,0,repetition
374,70,216,26 7/4,0,0,repetition
379,53,219,27 1/2,5,0,repetition
380,65,219,27 1/2,2,0,repetition
381,72,219,27 1/2,0,2,other
382,69,220,27 3/4,0,0,repetition
383,46,221,27 1/1,5,7,other
384,58,221,27 1/1,4,0,repetition
385,62,221,27 1/1,1,0,repetition
386,70,221,27 1/1,0,3,other
393,65,225,28,1,3,other
397,57,228,28 1/1,3,1,other
398,60,228,28 1/1,4,2,other
399,64,228,28 1/1,2,2,other
406,55,233,29 1/2,1,2,other
407,58,233,29 1/2,3,0,repetition
408,64,233,29 1/2,2,1,other
409,62,234,29 3/4,4,2,other
410,53,235,29 1/1,1,4,other
411,57,235,29 1/1,3,1,other
412,62,235,29 1/1,4,2,other
413,50,236,29 5/4,5,4,other
414,62,236,29 5/4,4,2,other
415,62,237,29 3/2,4,2,other
416,65,237,29 3/2,2,0,repetition
418,52,239,30,5,6,other
419,55,239,30,1,0,repetition
420,67,239,30,2,3,other
421,61,240,30 1/2,3,3,ficta
422,64,240,30 1/2,2,2,other
423,50,241,30 1/1,1,0,repetition
424,57,241,30 1/1,4,0,repetition
425,62,241,30 1/1,2,0,repetition
426,65,241,30 1/1,0,0,repetition
428,65,243,30 3/2,0,2,other
432,69,245,31,0,5,other
435,52,248,31 3/4,1,2,other
436,53,249,31 1/1,1,3,other
437,57,249,31 1/1,4,0,repetition
438,60,249,31 1/1,3,2,other
440,52,251,31 3/2,5,2,other
442,52,253,32,5,2,other
443,55,253,32,4,2,other
445,50,254,32 1/2,1,0,repetition
446,53,254,32 1/2,5,0,repetition
447,58,254,32 1/2,4,1,other
448,57,255,32 1/1,4,0,repetition
449,48,256,32 5/4,1,2,other
450,52,256,32 5/4,5,0,repetition
451,45,257,32 3/2,5,7,other
452,48,257,32 3/2,1,2,other
456,46,261,33,5,4,other
457,50,261,33,1,0,repetition
458,55,261,33,4,2,other
459,62,261,33,3,4,other
460,62,262,33 1/2,4,5,other
461,45,263,33 1/1,5,0,repetition
462,52,263,33 1/1,1,2,other
463,57,263,33 1/1,4,0,repetition
464,60,263,33 1/1,3,3,other
467,50,266,34,2,0,repetition
469,65,266,34,4,3,other
473,46,270,34 1/1,1,4,other
475,58,270,34 1/1,3,1,other
478,65,271,34 3/2,0,0,repetition
479,43,272,35,5,7,other
480,55,272,35,3,2,other
482,67,272,35,0,2,other
484,69,274,35 1/2,0,4,other
486,50,276,35 1/1,1,0,repetition
487,53,276,35 1/1,2,3,other
488,57,276,35 1/1,3,0,repetition
489,62,276,35 1/1,4,4,other
490,69,276,35 1/1,0,4,other
497,62,280,36,3,5,other
502,53,284,36 1/2,2,0,repetition
504,45,286,36 1/1,5,5,other
505,52,286,36 1/1,2,1,other
506,60,286,36 1/1,4,3,other
510,69,290,36 3/2,0,0,repetition
514,50,294,37,5,0,repetition
515,57,294,37,4,0,repetition
516,65,294,37,3,3,other
524,46,302,37 1/1,2,7,other
526,58,302,37 1/1,4,1,other
529,62,303,37 3/2,4,5,other
530,65,303,37 3/2,0,0,repetition
531,43,304,38,5,7,other
532,55,304,38,4,2,other
533,62,304,38,3,5,other
534,67,304,38,0,2,other
538,50,308,38 1/1,2,0,repetition
539,53,308,38 1/1,4,4,other
540,57,308,38 1/1,3,1,other
542,69,308,38 1/1,0,4,other
544,72,310,38 3/2,0,5,other
550,65,314,39,1,3,other
561,43,324,39 1/1,5,7,other
562,55,324,39 1/1,4,2,other
564,70,324,39 1/1,0,1,other
566,67,326,39 3/2,0,2,other
569,58,328,40,3,1,other
571,67,328,40,0,3,other
572,60,329,40 1/4,4,2,other
573,62,330,40 1/2,4,0,repetition
574,64,331,40 3/4,4,2,other
575,62,332,40 1/1,4,0,repetition
576,65,332,40 1/1,0,0,repetition
580,57,336,41,3,0,repetition
581,60,336,41,4,2,other
588,64,342,41 3/4,0,1,other
590,55,344,41 1/1,3,2,other
591,58,344,41 1/1,2,0,repetition
592,64,344,41 1/1,4,2,other
594,53,346,41 3/2,3,4,other
595,57,346,41 3/2,2,0,repetition
596,62,346,41 3/2,1,0,repetition
598,52,348,42,3,5,other
600,64,348,42,0,0,repetition
601,61,349,42 1/4,1,1,ficta
606,50,354,42 1/1,2,3,other
607,57,354,42 1/1,4,0,repetition
608,62,354,42 1/1,0,0,repetition
609,65,354,42 1/1,1,3,other
611,50,356,42 3/2,2,2,other
617,62,359,43 1/2,3,0,repetition
619,62,360,43 1/1,3,0,repetition
623,65,364,43 3/2,1,0,repetition
626,57,367,44,5,1,other
627,60,367,44,3,2,other
631,64,371,44 1/2,3,2,other
634,55,374,44 1/1,4,2,other
635,58,374,44 1/1,5,0,repetition
639,53,378,44 3/2,4,0,repetition
640,57,378,44 3/2,5,0,repetition
641,62,378,44 3/2,0,0,repetition
643,52,380,45,4,1,other
645,61,381,45 1/2,1,1,ficta
646,50,382,45 1/1,2,0,repetition
647,53,382,45 1/1,5,0,repetition
648,62,382,45 1/1,1,0,repetition
650,65,384,45 3/2,1,3,other
654,57,386,46,4,4,other
655,65,386,46,0,3,other
656,50,387,46 1/2,5,0,repetition
657,53,387,46 1/2,4,0,repetition
658,57,387,46 1/2,3,4,other
659,65,387,46 1/2,1,3,other
660,52,388,46 1/1,4,1,other
661,60,388,46 1/1,0,2,other
662,67,388,46 1/1,1,5,other
663,50,389,46 3/2,5,0,repetition
664,62,389,46 3/2,4,0,repetition
665,66,389,46 3/2,0,1,other
666,55,390,47,3,2,other
667,58,390,47,4,4,other
676,53,398,47 1/1,3,0,repetition
677,57,398,47 1/1,4,5,other
678,62,398,47 1/1,1,0,repetition
679,69,398,47 1/1,0,4,other
683,51,402,48,5,1,other
684,55,402,48,2,0,repetition
685,60,402,48,4,2,other
688,62,403,48 1/2,1,0,repetition
689,52,404,48 1/1,3,1,ficta
691,61,405,48 3/2,1,1,ficta
692,50,406,49,5,0,repetition
693,57,406,49,4,4,other
694,62,406,49,1,0,repetition
695,50,407,49 1/2,5,0,repetition
696,52,408,49 1/1,3,1,other
697,60,408,49 1/1,1,0,repetition
698,67,408,49 1/1,0,2,other
700,62,409,49 3/2,3,0,repetition
701,65,409,49 3/2,0,0,repetition
702,55,410,50,5,5,other
703,58,410,50,4,1,other
708,53,414,50 1/1,5,3,other
709,57,414,50 1/1,4,0,repetition
710,62,414,50 1/1,3,0,repetition
711,69,414,50 1/1,0,4,other
712,52,415,50 3/2,2,2,other
713,55,415,50 3/2,5,0,repetition
714,60,415,50 3/2,3,2,other
716,52,417,51,2,2,other
717,60,417,51,3,2,other
720,62,419,51 1/2,1,0,repetition
727,50,425,52,5,0,repetition
728,57,425,52,4,0,repetition
729,62,425,52,1,0,repetition
730,65,425,52,0,4,other
731,50,426,52 1/2,2,0,repetition
732,52,427,52 1/1,5,1,other
733,60,427,52 1/1,1,0,repetition
734,67,427,52 1/1,0,2,other
736,62,428,52 3/2,4,0,repetition
737,65,428,52 3/2,0,0,repetition
738,55,429,53,5,5,other
739,58,429,53,3,1,other
744,53,433,53 1/1,5,3,other
745,57,433,53 1/1,3,0,repetition
746,69,433,53 1/1,0,4,other
747,50,434,53 3/2,5,0,repetition
748,53,434,53 3/2,2,2,other
749,51,435,54,5,1,other
750,55,435,54,2,0,repetition
754,55,439,54 1/2,4,2,other
755,50,440,54 3/4,5,0,repetition
756,53,440,54 3/4,4,0,repetition
757,52,441,54 1/1,5,2,ficta
762,50,445,55,5,0,repetition
763,57,445,55,3,0,repetition
764,65,445,55,1,3,other
767,62,448,55 3/4,1,4,other
768,52,449,55 1/1,2,1,other
769,60,449,55 1/1,1,0,repetition
770,67,449,55 1/1,0,2,other
772,62,450,55 3/2,3,0,repetition
773,65,450,55 3/2,0,0,repetition
774,55,451,56,5,5,other
775,58,451,56,4,1,other
780,53,455,56 1/1,5,3,other
781,57,455,56 1/1,4,0,repetition
782,69,455,56 1/1,0,4,other
786,52,459,57,2,2,other
787,55,459,57,5,0,repetition
790,52,461,57 1/2,5,1,other
791,50,462,57 3/4,5,0,repetition
792,53,462,57 3/4,3,0,repetition
793,52,463,57 1/1,5,2,ficta
795,61,464,57 3/2,1,1,ficta
796,50,465,58,5,0,repetition
797,57,465,58,4,0,repetition
798,62,465,58,1,0,repetition
804,72,471,58 3/4,0,3,other
807,65,473,58 1/1,4,8,other
808,69,473,58 1/1,0,0,repetition
812,50,477,59,5,0,repetition
817,62,478,59 1/2,4,0,repetition
818,65,478,59 1/2,2,0,repetition
819,69,478,59 1/2,0,0,repetition
820,46,479,59 1/1,5,4,other
821,58,479,59 1/1,3,1,other
824,70,479,59 1/1,0,1,other
828,53,483,60,5,3,other
829,60,483,60,4,2,other
831,69,483,60,0,0,repetition
832,53,484,60 1/2,3,4,other
833,60,484,60 1/2,4,2,other
834,65,484,60 1/2,2,0,repetition
835,69,484,60 1/2,0,1,other
836,55,485,60 1/1,3,2,other
837,58,485,60 1/1,4,4,other
838,67,485,60 1/1,2,2,other
842,53,489,60 3/2,5,0,repetition
843,57,489,60 3/2,3,0,repetition
844,69,489,60 3/2,0,0,repetition
848,65,491,61,1,3,other
849,55,492,61 1/2,5,0,repetition
850,64,493,61 3/4,2,2,other
851,50,494,61 1/1,5,3,other
852,57,494,61 1/1,4,0,repetition
854,65,494,61 1/1,1,3,other
855,69,495,61 3/2,2,7,other
860,69,496,62,0,5,other
862,65,497,62 1/2,1,0,repetition
864,46,498,62 1/1,5,4,other
866,70,498,62 1/1,0,1,other
870,53,502,63,5,3,other
871,57,502,63,4,0,repetition
873,69,502,63,0,0,repetition
874,57,503,63 1/2,4,0,repetition
875,55,504,63 1/1,4,2,other
876,58,504,63 1/1,3,4,other
877,67,504,63 1/1,1,2,other
878,53,505,63 3/2,5,0,repetition
879,57,505,63 3/2,4,0,repetition
880,69,505,63 3/2,0,0,repetition
884,52,507,64 1/2,5,3,other
885,55,507,64 1/2,4,2,other
886,64,507,64 1/2,2,2,other
887,50,508,64 1/1,5,3,other
888,57,508,64 1/1,4,0,repetition
890,65,508,64 1/1,2,3,other
891,50,509,64 3/2,5,5,other
892,57,509,64 3/2,4,0,repetition
893,62,509,64 3/2,0,0,repetition
894,65,509,64 3/2,2,3,other
895,69,509,64 3/2,1,7,other
900,69,510,65,0,5,other
902,57,511,65 1/2,3,0,repetition
903,62,511,65 1/2,4,0,repetition
904,65,511,65 1/2,2,0,repetition
906,46,512,65 1/1,5,4,other
909,70,512,65 1/1,0,1,other
913,53,516,66,5,3,other
914,60,516,66,4,2,other
916,69,516,66,0,0,repetition
918,53,518,66 1/2,5,7,other
919,57,518,66 1/2,3,0,repetition
920,65,518,66 1/2,2,0,repetition
921,72,518,66 1/2,0,2,other
923,55,520,66 1/1,3,2,other
924,58,520,66 1/1,4,4,other
925,62,520,66 1/1,1,0,repetition
926,70,520,66 1/1,0,0,repetition
927,48,521,66 3/2,5,5,other
928,60,521,66 3/2,4,0,repetition
929,64,521,66 3/2,2,1,other
930,67,521,66 3/2,0,2,other
931,50,522,67,5,3,other
932,57,522,67,4,0,repetition
935,50,524,67 1/2,5,5,other
936,57,524,67 1/2,3,0,repetition
939,43,526,67 1/1,5,5,other
940,58,526,67 1/1,3,1,other
942,67,526,67 1/1,0,0,repetition
943,65,527,67 5/4,0,2,ficta
944,55,528,67 3/2,4,2,other
945,70,528,67 3/2,0,4,other
947,55,530,67 7/4,4,2,other
951,65,532,68,0,1,other
952,70,532,68,4,13,other
958,58,536,68 1/1,2,0,repetition
963,64,539,68 7/4,3,2,other
964,70,539,68 7/4,0,0,repetition
965,53,540,69,5,2,other
966,60,540,69,3,2,other
968,69,540,69,0,1,other
970,53,542,69 1/2,4,2,other
971,57,542,69 1/2,5,1,other
972,65,542,69 1/2,1,0,repetition
973,72,542,69 1/2,0,2,other
975,55,544,69 1/1,4,0,repetition
976,58,544,69 1/1,5,0,repetition
977,70,544,69 1/1,0,0,repetition
979,48,546,69 3/2,5,5,other
980,60,546,69 3/2,3,0,repetition
981,67,546,69 3/2,1,2,other
983,50,548,70,5,3,other
984,57,548,70,3,0,repetition
993,43,557,70 1/1,5,5,other
994,55,557,70 1/1,4,0,repetition
996,67,557,70 1/1,0,0,repetition
998,43,559,70 3/2,5,7,other
999,55,559,70 3/2,4,0,repetition
1000,62,559,70 3/2,1,0,repetition
1005,62,561,71,2,4,other
1010,67,562,71 1/2,0,0,repetition
1011,48,563,71 1/1,5,5,other
1012,52,563,71 1/1,4,3,other
1013,60,563,71 1/1,1,2,other
1014,64,563,71 1/1,2,2,other
1015,67,563,71 1/1,0,0,repetition
1016,60,564,71 3/2,1,2,other
1017,64,564,71 3/2,2,2,other
1020,43,566,72,5,0,repetition
1021,55,566,72,4,0,repetition
1022,62,566,72,2,0,repetition
1023,70,566,72,0,3,other
1027,43,570,72 1/2,5,5,other
1028,55,570,72 1/2,3,0,repetition
1029,62,570,72 1/2,2,1,other
1031,58,572,72 3/4,1,2,other
1033,48,574,72 1/1,5,0,repetition
1035,64,574,72 1/1,2,1,other
1036,67,574,72 1/1,0,0,repetition
1038,46,576,72 3/2,5,3,other
1041,67,576,72 3/2,0,3,other
1043,52,577,73,4,3,other
1045,64,577,73,2,2,ficta
1047,64,578,73 1/2,2,1,other
1050,43,580,73 1/1,5,3,other
1051,55,580,73 1/1,4,0,repetition
1052,58,580,73 1/1,3,3,other
1053,62,580,73 1/1,2,0,repetition
1054,70,580,73 1/1,0,3,other
1055,43,581,73 3/2,5,5,other
1056,58,581,73 3/2,2,2,other
1057,67,582,73 7/4,0,0,repetition
1062,67,583,74,0,0,repetition
1067,67,584,74 1/2,0,3,other
1068,48,585,74 1/1,5,5,other
1069,52,585,74 1/1,4,3,other
1071,60,585,74 1/1,2,2,other
1072,64,585,74 1/1,1,2,other
1077,43,589,75,5,0,repetition
1078,55,589,75,4,0,repetition
1079,70,589,75,0,3,other
1081,43,591,75 1/2,5,5,other
1082,55,591,75 1/2,4,0,repetition
1083,58,591,75 1/2,2,2,other
1084,69,592,75 3/4,0,2,other
1085,48,593,75 1/1,5,0,repetition
1087,60,593,75 1/1,2,0,repetition
1088,67,593,75 1/1,0,0,repetition
1090,46,595,75 3/2,5,3,other
1093,67,595,75 3/2,0,3,other
1095,52,596,76,4,3,other
1097,64,596,76,1,2,ficta
1101,43,600,76 1/1,5,3,other
1102,55,600,76 1/1,4,0,repetition
1103,58,600,76 1/1,3,3,other
1104,62,600,76 1/1,2,0,repetition
1105,70,600,76 1/1,0,3,other
1109,72,604,76 3/2,0,5,other
1111,69,606,76 7/4,0,2,other
