note,pitch,chord,bar,mapped voice,cost,category
142,57,76,8,2,2,other
145,63,77,8 1/8,2,n/a,ornamentation
146,62,78,8 3/16,2,n/a,ornamentation
147,60,79,8 1/4,2,n/a,ornamentation
148,58,80,8 5/16,2,n/a,ornamentation
149,57,81,8 3/8,2,n/a,ornamentation
150,55,82,8 7/16,2,n/a,ornamentation
151,53,83,8 1/2,2,0,repetition
187,64,92,9 3/2,0,1,other
188,65,93,9 13/8,0,n/a,ornamentation
194,57,95,10,2,2,other
197,63,96,10 1/8,2,n/a,ornamentation
198,62,97,10 3/16,2,n/a,ornamentation
199,60,98,10 1/4,2,n/a,ornamentation
200,58,99,10 5/16,2,n/a,ornamentation
201,57,100,10 3/8,2,n/a,ornamentation
202,55,101,10 7/16,2,n/a,ornamentation
203,53,102,10 1/2,2,0,repetition
229,65,112,11 13/8,1,n/a,ornamentation
235,64,115,12 1/8,0,n/a,ornamentation
236,65,116,12 1/4,0,n/a,ornamentation
237,67,117,12 3/8,0,n/a,ornamentation
238,69,118,12 1/2,0,n/a,ornamentation
239,65,119,12 5/8,0,n/a,ornamentation
240,67,120,12 3/4,0,n/a,ornamentation
241,69,121,12 7/8,0,n/a,ornamentation
246,72,123,12 11/8,0,n/a,ornamentation
259,48,127,13 1/2,3,0,repetition
260,60,127,13 1/2,2,0,repetition
261,64,127,13 1/2,1,0,repetition
262,67,127,13 1/2,0,0,repetition
296,50,137,14 3/2,3,0,repetition
341,53,162,17,2,5,other
344,53,164,17 1/4,2,4,other
347,50,166,17 1/2,2,7,other
349,52,167,17 3/4,2,1,other
351,53,168,17 1/1,2,2,other
429,63,208,21 1/8,0,n/a,ornamentation
436,58,211,21 5/8,2,n/a,ornamentation
440,57,213,21 1/1,2,2,other
443,63,214,21 9/8,3,n/a,ornamentation
444,65,215,21 19/16,3,n/a,ornamentation
445,67,216,21 5/4,3,n/a,ornamentation
446,65,217,21 21/16,3,n/a,ornamentation
447,63,218,21 11/8,3,n/a,ornamentation
448,62,219,21 23/16,3,n/a,ornamentation
449,63,220,21 3/2,3,n/a,ornamentation
450,62,221,21 25/16,3,n/a,ornamentation
451,60,222,21 13/8,3,n/a,ornamentation
452,58,223,21 27/16,3,n/a,ornamentation
453,60,224,21 7/4,3,n/a,ornamentation
454,58,225,21 29/16,3,n/a,ornamentation
455,57,226,21 15/8,3,n/a,ornamentation
456,55,227,21 31/16,3,n/a,ornamentation
501,63,239,23 9/8,2,n/a,ornamentation
502,62,240,23 19/16,2,n/a,ornamentation
503,60,241,23 5/4,2,n/a,ornamentation
504,58,242,23 21/16,2,n/a,ornamentation
505,57,243,23 11/8,2,n/a,ornamentation
506,55,244,23 23/16,2,n/a,ornamentation
507,53,245,23 3/2,2,0,repetition
519,60,250,24 3/2,2,0,repetition
520,64,250,24 3/2,1,0,repetition
521,67,250,24 3/2,0,0,repetition
533,65,255,25 11/16,1,n/a,ornamentation
536,62,257,25 7/8,1,n/a,ornamentation
537,64,258,25 15/16,1,n/a,ornamentation
540,64,260,25 9/8,1,n/a,ornamentation
541,65,261,25 5/4,1,n/a,ornamentation
542,67,262,25 11/8,1,n/a,ornamentation
543,53,263,25 3/2,2,0,repetition
544,69,263,25 3/2,1,4,other
545,65,264,25 13/8,0,n/a,ornamentation
546,67,265,25 7/4,0,n/a,ornamentation
547,65,266,25 29/16,0,n/a,ornamentation
548,67,267,25 15/8,0,n/a,ornamentation
549,69,268,25 31/16,0,n/a,ornamentation
554,72,270,26 3/8,0,n/a,ornamentation
567,62,274,26 19/16,1,n/a,ornamentation
568,64,275,26 5/4,1,n/a,ornamentation
569,62,276,26 21/16,1,n/a,ornamentation
570,64,277,26 11/8,1,n/a,ornamentation
571,65,278,26 23/16,1,n/a,ornamentation
572,48,279,26 3/2,3,0,repetition
573,60,279,26 3/2,2,0,repetition
574,64,279,26 3/2,1,0,repetition
575,67,279,26 3/2,0,0,repetition
584,72,282,27 1/8,0,n/a,ornamentation
588,70,284,27 3/8,0,n/a,ornamentation
590,58,285,27 1/2,2,2,other
592,69,286,27 5/8,0,n/a,ornamentation
596,67,288,27 7/8,0,n/a,ornamentation
601,62,290,27 11/8,1,n/a,ornamentation
750,48,368,35,3,0,repetition
751,55,368,35,2,0,repetition
754,64,369,35 3/8,0,n/a,ornamentation
755,62,370,35 7/16,0,n/a,ornamentation
756,64,371,35 1/2,0,n/a,ornamentation
757,60,372,35 9/16,0,n/a,ornamentation
758,62,373,35 5/8,0,n/a,ornamentation
759,64,374,35 11/16,0,n/a,ornamentation
760,41,375,35 3/4,3,0,repetition
761,57,375,35 3/4,2,4,other
762,60,375,35 3/4,1,0,repetition
763,65,375,35 3/4,0,0,repetition
764,63,376,35 1/1,2,n/a,ornamentation
765,62,377,35 9/8,2,n/a,ornamentation
766,60,378,35 5/4,2,n/a,ornamentation
767,58,379,35 11/8,2,n/a,ornamentation
768,60,380,35 3/2,2,n/a,ornamentation
769,58,381,35 25/16,2,n/a,ornamentation
770,57,382,35 13/8,2,n/a,ornamentation
771,55,383,35 27/16,2,n/a,ornamentation
772,41,384,35 7/4,3,0,repetition
773,53,384,35 7/4,2,0,repetition
774,57,384,35 7/4,1,3,other
775,60,384,35 7/4,1,0,repetition
776,65,384,35 7/4,0,0,repetition
