note,pitch,chord,bar,mapped voice,cost,category
27,53,15,3 1/2,2,2,other
33,65,17,3 1/1,1,0,repetition
35,64,18,3 5/4,1,n/a,ornamentation
36,62,19,3 11/8,1,n/a,ornamentation
46,53,24,4 1/2,3,0,repetition
72,65,32,5 3/4,0,n/a,ornamentation
73,67,33,5 7/8,0,n/a,ornamentation
82,65,36,5 15/8,0,n/a,ornamentation
97,72,43,6 7/4,0,0,repetition
98,74,44,6 15/8,0,n/a,ornamentation
110,56,49,7 1/1,1,11,other
118,60,53,8,2,0,repetition
128,63,57,8 1/1,1,0,repetition
140,65,62,9,0,0,repetition
141,64,63,9 1/4,0,n/a,ornamentation
142,62,64,9 3/8,0,n/a,ornamentation
143,65,65,9 1/2,0,0,repetition
144,64,66,9 9/16,0,n/a,ornamentation
145,65,67,9 5/8,0,n/a,ornamentation
146,64,68,9 11/16,0,n/a,ornamentation
147,65,69,9 3/4,0,n/a,ornamentation
148,64,70,9 13/16,0,n/a,ornamentation
149,62,71,9 7/8,0,n/a,ornamentation
150,64,72,9 15/16,0,n/a,ornamentation
186,65,91,12,1,0,repetition
188,64,92,12 1/4,1,n/a,ornamentation
189,62,93,12 3/8,1,n/a,ornamentation
192,65,95,12 5/8,1,n/a,ornamentation
195,64,96,12 3/4,1,0,repetition
196,62,97,12 7/8,1,n/a,ornamentation
197,64,98,12 15/16,1,n/a,ornamentation
203,53,101,12 3/2,3,0,repetition
251,72,117,15 3/4,0,0,repetition
252,74,118,15 7/8,0,n/a,ornamentation
264,56,123,16,1,11,other
272,60,127,16 1/1,2,0,repetition
282,63,131,17,1,0,repetition
294,65,137,17 9/8,2,n/a,ornamentation
295,64,138,17 5/4,2,n/a,ornamentation
296,62,139,17 11/8,2,n/a,ornamentation
297,48,140,17 3/2,3,0,repetition
298,55,140,17 3/2,2,0,repetition
299,65,141,17 13/8,0,n/a,ornamentation
300,64,142,17 7/4,0,n/a,ornamentation
301,62,143,17 15/8,0,n/a,ornamentation
302,64,144,17 31/16,0,n/a,ornamentation
308,60,147,18 1/2,0,5,other
353,72,168,20 1/1,0,0,repetition
359,58,172,21,2,2,other
371,67,175,21 3/4,1,4,other
375,65,176,21 1/1,2,10,other
378,65,177,21 5/4,2,12,other
389,56,181,22 1/2,2,0,repetition
416,60,188,23 1/4,1,0,repetition
507,60,215,26 1/1,2,5,other
577,48,237,29 1/1,3,0,repetition
578,51,237,29 1/1,1,7,other
612,65,246,30 9/8,0,n/a,ornamentation
617,56,248,30 11/8,2,n/a,ornamentation
620,53,250,30 13/8,2,n/a,ornamentation
627,60,252,31,2,5,other
