note,pitch,chord,bar,mapped voice,cost,category
44,62,21,7 1/2,2,0,repetition
48,67,22,8,1,0,repetition
50,66,23,8 1/4,1,1,other
51,64,24,8 3/8,3,2,other
54,67,26,8 5/8,1,n/a,ornamentation
55,66,27,8 11/16,1,n/a,ornamentation
56,67,28,8 3/4,1,n/a,ornamentation
57,66,29,8 13/16,1,n/a,ornamentation
58,64,30,8 7/8,1,n/a,ornamentation
59,66,31,8 15/16,1,n/a,ornamentation
61,62,32,9,2,0,repetition
108,43,46,16,0,16,other
170,57,77,24 5/8,3,0,repetition
171,59,78,24 3/4,1,n/a,ornamentation
172,57,79,24 13/16,1,n/a,ornamentation
173,59,80,24 7/8,1,n/a,ornamentation
174,61,81,24 15/16,1,n/a,ornamentation
176,57,82,25,3,0,repetition
185,59,86,26 1/2,1,0,repetition
250,55,111,33 3/4,3,0,repetition
256,64,112,34,1,3,other
264,64,116,35,1,0,repetition
265,69,116,35,0,0,repetition
269,59,120,35 5/8,2,2,other
270,60,121,35 3/4,1,2,other
271,62,122,35 7/8,1,0,repetition
285,62,127,37,0,6,other
332,62,141,40 1/2,2,0,repetition
374,59,158,45 1/4,1,0,repetition
397,62,167,47 1/2,0,7,other
412,62,172,48 3/4,0,0,repetition
435,59,180,50 3/4,2,0,repetition
452,59,186,52 1/4,0,0,repetition
456,64,188,52 3/4,0,4,other
465,55,191,53 1/2,2,0,repetition
471,62,193,54,0,0,repetition
