note,pitch,chord,bar,mapped voice,cost,category
2,72,2,1 3/8,0,n/a,ornamentation
5,69,4,1 5/8,0,n/a,ornamentation
6,71,5,1 11/16,0,n/a,ornamentation
9,71,7,1 7/8,0,n/a,ornamentation
10,72,8,1 15/16,0,n/a,ornamentation
15,60,11,2 3/8,2,n/a,ornamentation
18,57,13,2 5/8,2,n/a,ornamentation
19,59,14,2 11/16,2,n/a,ornamentation
22,50,16,2 7/8,3,n/a,ornamentation
23,52,17,2 15/16,3,n/a,ornamentation
38,53,25,4,3,0,repetition
42,62,26,4 1/8,2,2,other
43,64,27,4 3/16,1,n/a,ornamentation
60,58,34,5,1,0,repetition
62,57,35,5 1/8,1,n/a,ornamentation
63,58,36,5 3/16,1,n/a,ornamentation
68,57,38,5 5/16,1,n/a,ornamentation
69,58,39,5 3/8,1,n/a,ornamentation
70,57,40,5 13/32,1,n/a,ornamentation
71,58,41,5 7/16,1,n/a,ornamentation
72,60,42,5 15/32,1,n/a,ornamentation
77,64,44,5 19/32,0,n/a,ornamentation
78,66,45,5 5/8,0,n/a,ornamentation
79,64,46,5 21/32,0,n/a,ornamentation
80,66,47,5 11/16,0,n/a,ornamentation
81,67,48,5 23/32,0,n/a,ornamentation
82,50,49,5 3/4,3,0,repetition
85,66,49,5 3/4,0,0,repetition
86,60,50,5 7/8,1,n/a,ornamentation
89,57,52,6 1/16,1,n/a,ornamentation
90,59,53,6 1/8,1,n/a,ornamentation
91,60,54,6 3/16,1,n/a,ornamentation
94,60,56,6 5/16,2,n/a,ornamentation
95,62,57,6 3/8,2,n/a,ornamentation
96,59,58,6 13/32,2,n/a,ornamentation
97,60,59,6 7/16,2,n/a,ornamentation
98,62,60,6 15/32,2,n/a,ornamentation
105,62,63,6 7/8,1,n/a,ornamentation
106,64,64,6 15/16,1,n/a,ornamentation
110,64,66,7 1/8,2,n/a,ornamentation
111,62,67,7 1/4,2,0,repetition
112,74,67,7 1/4,1,8,other
117,72,70,7 5/8,0,n/a,ornamentation
119,67,71,7 3/4,1,5,other
121,69,72,7 7/8,0,2,other
122,71,73,7 15/16,0,n/a,ornamentation
151,67,86,9 5/8,1,n/a,ornamentation
154,65,87,9 3/4,1,0,repetition
157,53,88,10,0,16,other
165,62,92,10 1/2,1,0,repetition
166,67,92,10 1/2,0,0,repetition
167,66,93,10 5/8,0,n/a,ornamentation
168,64,94,10 11/16,0,n/a,ornamentation
170,57,95,10 3/4,2,0,repetition
171,62,95,10 3/4,1,0,repetition
173,67,96,10 13/16,0,n/a,ornamentation
174,66,97,10 27/32,0,n/a,ornamentation
