note,pitch,chord,bar,mapped voice,cost,category
24,64,6,1 13/8,0,n/a,ornamentation
25,66,7,1 7/4,0,n/a,ornamentation
26,67,8,1 15/8,0,n/a,ornamentation
27,66,9,2,0,0,repetition
69,66,21,3 1/1,0,1,other
70,67,22,3 9/8,0,n/a,ornamentation
76,65,25,4 1/8,2,n/a,ornamentation
77,64,26,4 3/16,2,n/a,ornamentation
78,62,27,4 1/4,2,n/a,ornamentation
79,60,28,4 5/16,2,n/a,ornamentation
80,59,29,4 3/8,2,n/a,ornamentation
81,57,30,4 7/16,2,n/a,ornamentation
82,55,31,4 1/2,2,0,repetition
107,64,38,5 27/16,0,n/a,ornamentation
108,66,39,5 7/4,0,n/a,ornamentation
109,64,40,5 29/16,0,n/a,ornamentation
110,66,41,5 15/8,0,n/a,ornamentation
111,67,42,5 31/16,0,n/a,ornamentation
112,66,43,6,0,0,repetition
143,69,53,7 3/8,0,n/a,ornamentation
152,58,56,7 7/8,2,n/a,ornamentation
156,66,57,7 1/1,0,1,other
157,67,58,7 9/8,0,n/a,ornamentation
158,66,59,7 19/16,0,n/a,ornamentation
159,67,60,7 5/4,0,0,repetition
160,66,61,7 21/16,0,n/a,ornamentation
161,64,62,7 11/8,0,n/a,ornamentation
162,66,63,7 23/16,0,n/a,ornamentation
171,55,66,9,2,0,repetition
175,60,67,9 1/4,1,0,repetition
195,57,74,10,2,0,repetition
201,72,76,10 1/2,0,0,repetition
207,62,78,10 1/1,2,9,other
208,64,78,10 1/1,1,2,other
211,67,80,10 11/8,0,n/a,ornamentation
213,57,81,10 3/2,2,5,other
220,64,83,11 1/4,0,n/a,ornamentation
221,66,84,11 3/8,0,n/a,ornamentation
226,57,86,11 5/8,2,n/a,ornamentation
227,58,87,11 3/4,2,n/a,ornamentation
228,60,88,11 7/8,2,n/a,ornamentation
229,55,89,11 1/1,3,0,repetition
230,58,89,11 1/1,2,0,repetition
231,62,89,11 1/1,1,0,repetition
232,67,89,11 1/1,0,0,repetition
233,43,90,11 9/8,3,n/a,ornamentation
234,46,91,11 5/4,3,n/a,ornamentation
235,48,92,11 11/8,3,n/a,ornamentation
240,64,94,11 27/16,0,n/a,ornamentation
241,66,95,11 7/4,0,n/a,ornamentation
242,64,96,11 29/16,0,n/a,ornamentation
243,66,97,11 15/8,0,n/a,ornamentation
244,67,98,11 31/16,0,n/a,ornamentation
245,66,99,12,0,0,repetition
254,63,102,12 5/8,2,n/a,ornamentation
255,62,103,12 3/4,2,n/a,ornamentation
256,63,104,12 7/8,2,n/a,ornamentation
257,62,105,12 1/1,2,0,repetition
273,67,109,13,0,0,repetition
274,66,110,13 1/8,0,n/a,ornamentation
275,64,111,13 3/16,0,n/a,ornamentation
277,62,113,13 5/16,0,n/a,ornamentation
278,64,114,13 3/8,0,n/a,ornamentation
279,66,115,13 7/16,0,n/a,ornamentation
291,60,119,13 9/8,2,n/a,ornamentation
292,62,120,13 5/4,2,n/a,ornamentation
293,63,121,13 11/8,2,n/a,ornamentation
294,62,122,13 3/2,2,0,repetition
307,65,126,14 1/2,2,10,other
308,67,126,14 1/2,1,0,repetition
311,72,128,14 7/8,0,n/a,ornamentation
336,67,137,15 7/8,0,n/a,ornamentation
338,57,138,15 1/1,1,7,other
349,57,141,15 7/4,2,0,repetition
357,60,143,16 1/4,2,3,other
358,64,143,16 1/4,1,1,other
361,55,144,16 1/2,2,2,other
371,67,148,16 3/2,1,0,repetition
384,69,152,17 1/2,2,14,other
388,69,153,17 3/4,2,12,other
406,65,158,18 1/8,0,n/a,ornamentation
414,67,160,18 1/2,0,0,repetition
417,59,162,18 1/1,2,2,other
440,67,170,19 7/8,0,n/a,ornamentation
442,57,171,19 1/1,1,7,other
453,57,174,19 7/4,2,0,repetition
460,60,176,20 1/4,2,3,other
461,64,176,20 1/4,1,1,other
464,55,177,20 1/2,2,2,other
474,67,181,20 3/2,1,0,repetition
486,69,185,21 1/2,2,14,other
490,69,186,21 3/4,2,12,other
508,65,191,22 1/8,0,n/a,ornamentation
512,58,193,22 3/8,2,n/a,ornamentation
516,66,194,22 1/2,0,1,other
517,67,195,22 5/8,0,n/a,ornamentation
518,66,196,22 11/16,0,n/a,ornamentation
519,67,197,22 3/4,0,0,repetition
520,66,198,22 13/16,0,n/a,ornamentation
521,64,199,22 7/8,0,n/a,ornamentation
522,66,200,22 15/16,0,n/a,ornamentation
525,59,201,22 1/1,2,2,other
