note,pitch,chord,bar,mapped voice,cost,category
13,60,9,2 3/4,2,0,repetition
14,64,9,2 3/4,1,0,repetition
26,57,15,3 7/8,2,n/a,ornamentation
27,59,16,3 15/16,2,n/a,ornamentation
33,64,19,4 1/2,1,0,repetition
35,69,20,4 11/16,0,n/a,ornamentation
36,67,21,4 3/4,0,0,repetition
37,65,22,4 13/16,0,n/a,ornamentation
38,64,23,4 7/8,0,n/a,ornamentation
39,62,24,4 15/16,0,n/a,ornamentation
41,55,25,5,2,0,repetition
42,60,25,5,1,1,other
44,69,26,5 1/8,0,n/a,ornamentation
45,71,27,5 3/16,0,n/a,ornamentation
46,48,28,5 1/4,3,0,repetition
47,55,28,5 1/4,2,0,repetition
48,64,28,5 1/4,1,3,other
52,64,29,5 1/2,1,3,other
54,60,30,5 3/4,2,0,repetition
62,64,33,6 1/4,1,0,repetition
69,60,36,7,2,0,repetition
70,60,37,7 1/4,2,0,repetition
75,67,39,7 9/16,0,n/a,ornamentation
76,69,40,7 5/8,0,n/a,ornamentation
77,70,41,7 11/16,0,n/a,ornamentation
78,65,42,7 3/4,1,0,repetition
79,69,42,7 3/4,0,0,repetition
91,55,47,8 9/16,3,n/a,ornamentation
92,57,48,8 5/8,3,n/a,ornamentation
93,58,49,8 11/16,3,n/a,ornamentation
94,57,50,8 3/4,3,0,repetition
108,53,56,9 5/8,3,1,ficta
116,62,58,9 7/8,1,0,repetition
117,60,59,9 15/16,1,n/a,ornamentation
121,57,61,10 1/8,0,n/a,ornamentation
122,56,62,10 3/16,0,n/a,ornamentation
125,57,63,10 1/4,0,7,other
149,59,75,11 7/8,2,3,other
153,64,77,12 1/8,1,n/a,ornamentation
154,62,78,12 3/16,1,n/a,ornamentation
178,59,90,13 5/8,2,3,other
181,55,92,13 13/16,3,n/a,ornamentation
182,53,93,13 7/8,3,n/a,ornamentation
183,52,94,13 15/16,3,n/a,ornamentation
185,52,96,14 1/16,3,n/a,ornamentation
186,53,97,14 1/8,3,n/a,ornamentation
187,52,98,14 3/16,3,n/a,ornamentation
190,62,99,14 1/4,1,2,other
192,67,100,14 5/16,1,n/a,ornamentation
193,65,101,14 3/8,1,n/a,ornamentation
194,64,102,14 7/16,1,n/a,ornamentation
195,50,103,14 1/2,3,0,repetition
198,62,104,14 9/16,1,n/a,ornamentation
199,64,105,14 5/8,1,n/a,ornamentation
200,65,106,14 11/16,1,n/a,ornamentation
205,47,108,14 13/16,3,n/a,ornamentation
206,48,109,14 7/8,3,n/a,ornamentation
207,50,110,14 15/16,3,n/a,ornamentation
210,69,112,15 1/16,0,n/a,ornamentation
211,68,113,15 1/8,0,1,ficta
212,66,114,15 3/16,0,1,ficta
213,69,115,15 1/4,0,4,other
214,68,116,15 9/32,0,n/a,ornamentation
215,69,117,15 5/16,0,n/a,ornamentation
216,68,118,15 11/32,0,n/a,ornamentation
217,69,119,15 3/8,0,n/a,ornamentation
218,68,120,15 13/32,0,n/a,ornamentation
219,66,121,15 7/16,0,n/a,ornamentation
220,68,122,15 15/32,0,n/a,ornamentation
225,67,124,15 9/16,0,n/a,ornamentation
226,69,125,15 5/8,0,n/a,ornamentation
227,71,126,15 11/16,0,n/a,ornamentation
232,74,128,15 7/8,0,n/a,ornamentation
233,72,129,15 15/16,0,n/a,ornamentation
237,69,131,16 1/8,0,n/a,ornamentation
238,71,132,16 3/16,0,n/a,ornamentation
241,67,133,16 1/4,0,4,other
242,65,134,16 3/8,1,n/a,ornamentation
243,67,135,16 7/16,1,n/a,ornamentation
250,69,138,16 3/4,0,0,repetition
252,53,140,17,3,0,repetition
256,67,141,17 1/8,0,n/a,ornamentation
261,69,143,17 3/8,0,n/a,ornamentation
262,67,144,17 7/16,0,n/a,ornamentation
263,67,145,17 1/2,0,0,repetition
264,66,146,17 5/8,0,1,ficta
266,67,148,17 3/4,0,3,other
267,66,149,17 25/32,0,n/a,ornamentation
268,67,150,17 13/16,0,n/a,ornamentation
269,66,151,17 27/32,0,n/a,ornamentation
270,67,152,17 7/8,0,2,other
271,66,153,17 29/32,0,n/a,ornamentation
272,64,154,17 15/16,0,n/a,ornamentation
273,66,155,17 31/32,0,n/a,ornamentation
275,60,156,18,2,0,repetition
278,59,157,18 1/8,2,n/a,ornamentation
279,57,158,18 3/16,2,n/a,ornamentation
280,60,159,18 1/4,2,0,repetition
281,59,160,18 9/32,2,n/a,ornamentation
282,60,161,18 5/16,2,n/a,ornamentation
283,59,162,18 11/32,2,n/a,ornamentation
284,60,163,18 3/8,2,n/a,ornamentation
285,59,164,18 13/32,2,n/a,ornamentation
286,57,165,18 7/16,2,n/a,ornamentation
287,59,166,18 15/32,2,n/a,ornamentation
288,60,167,18 1/2,2,1,other
289,67,167,18 1/2,0,0,repetition
290,59,168,18 5/8,2,n/a,ornamentation
291,57,169,18 11/16,2,n/a,ornamentation
305,64,174,19 11/16,1,0,repetition
307,62,175,19 3/4,1,2,other
321,60,181,20 3/8,2,0,repetition
329,55,184,20 3/4,1,7,other
346,53,192,21 1/2,0,14,other
349,64,193,21 5/8,1,1,other
350,62,194,21 11/16,1,n/a,ornamentation
363,65,200,22 1/8,0,0,repetition
375,57,205,22 5/8,2,0,repetition
396,60,214,23 7/8,2,n/a,ornamentation
399,60,215,24,2,0,repetition
404,57,217,24 1/4,2,0,repetition
406,60,218,24 5/16,2,n/a,ornamentation
408,57,220,24 7/16,2,n/a,ornamentation
410,59,221,24 1/2,2,0,repetition
415,57,224,24 13/16,2,n/a,ornamentation
419,64,226,25,0,0,repetition
428,59,231,25 7/8,1,n/a,ornamentation
429,57,232,25 15/16,1,n/a,ornamentation
438,65,236,26 7/16,0,n/a,ornamentation
441,62,238,26 5/8,0,n/a,ornamentation
