note,pitch,chord,bar,mapped voice,cost,category
4,46,1,1 1/2,3,0,repetition
5,58,1,1 1/2,2,0,repetition
6,65,1,1 1/2,1,0,repetition
7,74,1,1 1/2,0,0,repetition
8,48,2,1 5/8,3,2,other
9,50,3,1 3/4,3,4,other
10,52,4,1 7/8,3,6,other
28,62,9,3,1,0,repetition
30,60,10,3 1/8,1,n/a,ornamentation
31,58,11,3 3/16,1,n/a,ornamentation
33,67,12,3 1/4,0,0,repetition
34,57,13,3 5/16,1,n/a,ornamentation
35,58,14,3 3/8,1,n/a,ornamentation
36,57,15,3 13/32,1,n/a,ornamentation
37,58,16,3 7/16,1,n/a,ornamentation
38,60,17,3 15/32,1,n/a,ornamentation
57,60,27,5 1/2,1,0,repetition
63,65,29,5 7/8,0,2,other
67,61,31,6 1/8,2,n/a,ornamentation
68,59,32,6 3/16,2,n/a,ornamentation
76,62,36,6 3/4,2,0,repetition
81,65,37,7,1,0,repetition
88,69,40,7 3/8,0,1,other
90,55,41,7 1/2,2,3,other
91,62,41,7 1/2,1,0,repetition
93,60,42,7 5/8,1,n/a,ornamentation
94,58,43,7 11/16,1,n/a,ornamentation
96,67,44,7 3/4,0,0,repetition
97,57,45,7 13/16,1,n/a,ornamentation
98,58,46,7 7/8,1,n/a,ornamentation
99,57,47,7 29/32,1,n/a,ornamentation
100,58,48,7 15/16,1,n/a,ornamentation
101,60,49,7 31/32,1,n/a,ornamentation
103,57,50,8,2,2,other
106,59,51,8 1/8,1,n/a,ornamentation
107,61,52,8 3/16,1,n/a,ornamentation
108,62,53,8 1/4,1,0,repetition
109,64,54,8 5/16,0,n/a,ornamentation
110,66,55,8 3/8,0,n/a,ornamentation
111,67,56,8 7/16,0,n/a,ornamentation
120,62,59,9,1,0,repetition
125,64,61,9 3/8,0,n/a,ornamentation
126,66,62,9 7/16,0,n/a,ornamentation
131,64,64,9 9/16,0,n/a,ornamentation
132,65,65,9 5/8,0,n/a,ornamentation
133,67,66,9 11/16,0,n/a,ornamentation
137,65,68,9 13/16,0,n/a,ornamentation
138,67,69,9 7/8,0,n/a,ornamentation
139,69,70,9 15/16,0,n/a,ornamentation
144,63,72,10 3/16,2,n/a,ornamentation
145,62,73,10 1/4,2,0,repetition
157,65,78,10 7/8,1,0,repetition
159,55,79,11,2,5,other
160,60,79,11,0,9,other
162,57,80,11 1/8,2,3,other
163,58,81,11 3/16,1,n/a,ornamentation
