note,pitch,chord,bar,mapped voice,cost,category
13,62,3,2,2,0,repetition
16,69,4,2 1/8,0,n/a,ornamentation
17,71,5,2 1/4,0,n/a,ornamentation
18,72,6,2 3/8,0,n/a,ornamentation
19,71,7,2 1/2,0,0,repetition
21,62,8,2 3/4,1,0,repetition
27,69,10,2 9/8,0,n/a,ornamentation
28,68,11,2 19/16,0,n/a,ornamentation
29,69,12,2 5/4,0,n/a,ornamentation
30,68,13,2 21/16,0,n/a,ornamentation
31,66,14,2 11/8,0,n/a,ornamentation
32,68,15,2 23/16,0,n/a,ornamentation
38,60,17,3,2,0,repetition
39,64,17,3,1,0,repetition
44,67,19,3 7/8,0,n/a,ornamentation
47,57,20,3 1/1,1,7,other
49,64,21,3 9/8,0,n/a,ornamentation
50,65,22,3 5/4,0,n/a,ornamentation
51,67,23,3 11/8,0,n/a,ornamentation
52,53,24,3 3/2,2,0,repetition
53,69,24,3 3/2,0,4,other
54,55,25,3 13/8,2,n/a,ornamentation
55,57,26,3 7/4,2,4,other
56,59,27,3 15/8,1,n/a,ornamentation
76,65,36,5,1,1,other
86,62,40,5 3/4,1,2,other
104,74,48,6 3/4,0,2,other
105,72,49,6 7/8,0,n/a,ornamentation
110,72,51,6 5/4,0,n/a,ornamentation
111,71,52,6 11/8,0,n/a,ornamentation
116,71,54,6 7/4,1,n/a,ornamentation
117,69,55,6 15/8,1,n/a,ornamentation
121,69,57,7 1/8,0,n/a,ornamentation
122,68,58,7 1/4,0,n/a,ornamentation
123,66,59,7 3/8,0,n/a,ornamentation
124,52,60,7 1/2,3,0,repetition
125,59,60,7 1/2,2,0,repetition
127,69,61,7 5/8,0,n/a,ornamentation
128,68,62,7 11/16,0,n/a,ornamentation
129,69,63,7 3/4,0,n/a,ornamentation
130,68,64,7 13/16,0,n/a,ornamentation
131,66,65,7 7/8,0,n/a,ornamentation
132,68,66,7 15/16,0,n/a,ornamentation
135,64,67,7 1/1,2,5,other
139,64,68,7 3/2,2,7,other
142,58,69,8,2,6,other
149,69,71,8 3/4,0,n/a,ornamentation
150,67,72,8 7/8,0,n/a,ornamentation
163,64,76,9 1/4,0,n/a,ornamentation
164,66,77,9 3/8,0,n/a,ornamentation
169,65,79,9 5/8,1,n/a,ornamentation
170,64,80,9 3/4,1,n/a,ornamentation
171,62,81,9 7/8,1,n/a,ornamentation
178,64,83,9 5/4,3,19,other
