note,pitch,chord,bar,mapped voice,cost,category
14,65,3,2 3/4,1,0,repetition
15,74,3,2 3/4,0,0,repetition
22,69,5,2 3/2,2,14,other
26,69,6,3,2,12,other
27,74,6,3,0,0,repetition
39,64,12,3 7/4,2,2,other
51,65,17,4 1/1,2,0,repetition
62,70,21,4 15/8,0,n/a,ornamentation
65,67,23,5 1/8,0,n/a,ornamentation
66,50,24,5 1/4,2,12,other
68,69,24,5 1/4,0,0,repetition
69,66,25,5 3/8,0,n/a,ornamentation
79,74,29,5 5/4,0,0,repetition
80,53,30,5 3/2,3,5,other
92,62,35,6 3/4,2,0,repetition
105,58,39,6 7/4,3,0,repetition
106,65,39,6 7/4,2,0,repetition
107,70,39,6 7/4,1,0,repetition
108,74,39,6 7/4,0,0,repetition
113,74,41,7 1/8,0,n/a,ornamentation
118,72,43,7 3/8,0,n/a,ornamentation
123,58,45,7 3/4,3,8,other
129,67,46,7 1/1,1,3,other
132,63,47,7 5/4,2,0,repetition
134,72,47,7 5/4,0,0,repetition
135,70,48,7 11/8,0,2,other
138,66,49,7 3/2,1,1,other
140,67,50,7 13/8,1,n/a,ornamentation
141,66,51,7 27/16,1,n/a,ornamentation
142,67,52,7 7/4,1,0,repetition
143,66,53,7 29/16,1,n/a,ornamentation
144,64,54,7 15/8,1,n/a,ornamentation
145,66,55,7 31/16,1,n/a,ornamentation
152,72,59,8 3/4,0,2,other
153,55,60,8 1/1,3,0,repetition
154,62,60,8 1/1,2,0,repetition
155,67,60,8 1/1,1,0,repetition
157,60,61,8 5/4,2,2,other
167,69,65,9 1/4,1,0,repetition
170,65,66,9 1/2,2,0,repetition
173,60,67,9 3/4,3,2,other
174,63,67,9 3/4,1,7,other
176,75,67,9 3/4,0,1,other
179,69,68,9 1/1,1,2,other
183,67,69,9 5/4,1,3,other
192,70,72,10,1,1,other
214,70,82,10 3/2,0,3,other
215,69,83,10 25/16,0,n/a,ornamentation
216,70,84,10 13/8,0,n/a,ornamentation
217,69,85,10 27/16,0,n/a,ornamentation
218,70,86,10 7/4,0,n/a,ornamentation
219,69,87,10 29/16,0,n/a,ornamentation
220,67,88,10 15/8,0,n/a,ornamentation
221,69,89,10 31/16,0,n/a,ornamentation
225,69,91,11 1/8,3,n/a,ornamentation
226,67,92,11 3/16,3,n/a,ornamentation
227,69,93,11 1/4,3,n/a,ornamentation
228,67,94,11 5/16,3,n/a,ornamentation
229,65,95,11 3/8,3,n/a,ornamentation
230,67,96,11 7/16,3,n/a,ornamentation
231,68,97,11 1/2,3,n/a,ornamentation
232,67,98,11 9/16,3,n/a,ornamentation
233,65,99,11 5/8,3,n/a,ornamentation
234,63,100,11 11/16,3,n/a,ornamentation
235,65,101,11 3/4,3,n/a,ornamentation
236,63,102,11 13/16,3,n/a,ornamentation
237,62,103,11 7/8,3,n/a,ornamentation
238,60,104,11 15/16,3,n/a,ornamentation
239,58,105,11 1/1,3,0,repetition
251,69,109,13,2,7,other
255,62,111,13 1/1,3,0,repetition
258,74,111,13 1/1,0,0,repetition
262,66,113,14,2,1,other
266,57,114,14 1/2,1,12,other
