note,pitch,chord,bar,mapped voice,cost,category
19,60,7,4,1,0,repetition
31,55,11,6 1/2,1,0,repetition
55,60,20,10,2,0,repetition
56,62,20,10,0,5,other
74,60,25,13 1/2,1,0,repetition
78,67,26,14,0,0,repetition
83,62,28,15,1,0,repetition
86,55,29,15 1/2,2,0,repetition
93,50,32,16 1/2,3,0,repetition
102,55,35,17 1/2,2,0,repetition
106,48,37,18,3,0,repetition
115,62,40,19,1,0,repetition
133,67,48,22,0,0,repetition
156,55,58,25 1/2,3,0,repetition
161,55,60,26,2,4,other
176,55,67,28,1,5,other
180,64,68,28 1/4,1,2,other
187,67,70,29,0,0,repetition
209,69,79,33,0,0,repetition
215,64,82,34,1,0,repetition
224,68,85,35,0,1,other
244,59,92,38 1/2,0,5,other
250,64,94,39,1,0,repetition
252,68,95,39 1/4,0,0,repetition
260,69,97,40,0,0,repetition
269,64,102,41,1,0,repetition
274,69,105,41 1/2,0,0,repetition
279,57,108,42 1/4,2,0,repetition
280,52,109,42 1/2,3,0,repetition
282,64,109,42 1/2,1,0,repetition
289,50,112,44,3,0,repetition
305,65,119,46,2,10,other
308,53,121,46 1/2,2,0,repetition
340,62,135,51,1,0,repetition
349,50,140,53,3,0,repetition
358,67,142,54,0,0,repetition
392,67,156,60,0,0,repetition
420,62,168,65,1,0,repetition
430,50,173,67,3,0,repetition
439,67,175,68,0,0,repetition
469,64,188,73 1/2,1,0,repetition
473,67,189,74,0,0,repetition
479,67,192,75,2,12,other
