note,pitch,chord,bar,mapped voice,cost,category
12,56,3,3,2,1,ficta
23,57,6,5,2,0,repetition
48,52,14,10,2,0,repetition
54,59,16,11,2,5,other
56,69,16,11,0,0,repetition
86,62,28,15 1/2,2,2,other
106,64,37,18,1,0,repetition
112,67,40,19,0,2,ficta
120,64,44,21,2,0,repetition
127,62,47,22,2,10,other
137,57,51,24,2,0,repetition
149,45,58,26 1/2,3,12,other
162,62,62,28,2,0,repetition
178,59,69,30 1/4,2,0,repetition
190,67,72,31 1/2,0,0,repetition
193,64,74,32,1,0,repetition
208,69,81,34,0,0,repetition
223,57,89,37,2,7,other
241,67,97,40,1,0,repetition
253,55,103,42,3,0,repetition
256,72,103,42,0,0,repetition
261,55,106,43,2,0,repetition
266,64,109,43 3/4,1,3,other
295,52,123,47 2/1,3,0,repetition
