note,pitch,chord,bar,mapped voice,cost,category
8,65,2,2,2,10,other
24,48,10,4 1/4,3,2,other
26,58,11,4 1/2,2,5,other
30,58,13,5,2,0,repetition
49,62,22,8,1,0,repetition
54,57,24,9,2,0,repetition
65,53,29,11,3,0,repetition
66,57,29,11,2,0,repetition
67,60,29,11,1,0,repetition
68,65,29,11,0,0,repetition
81,64,35,13 1/4,1,1,other
84,62,37,14,1,0,repetition
91,64,40,15,0,0,repetition
95,57,43,16,2,0,repetition
103,60,45,17,2,0,repetition
114,60,50,19,2,2,other
127,58,55,21,2,5,other
141,65,60,23,2,10,other
148,65,63,24,1,3,other
156,62,66,25,1,0,repetition
157,67,66,25,0,0,repetition
161,62,68,26,2,0,repetition
167,67,70,27,0,0,repetition
172,65,72,28,2,0,repetition
179,67,74,29,0,0,repetition
181,55,75,29 1/2,1,4,other
184,60,76,30,2,0,repetition
206,69,85,33 1/2,0,0,repetition
209,65,86,34,1,0,repetition
221,53,92,35 1/2,0,7,other
223,65,92,35 1/2,1,0,repetition
225,58,93,36,2,0,repetition
227,65,93,36,1,0,repetition
230,53,96,37,3,0,repetition
242,53,101,39,3,0,repetition
243,57,101,39,2,0,repetition
247,65,102,39 1/4,1,0,repetition
249,57,103,39 1/2,2,2,other
255,67,105,40,1,5,other
257,64,106,40 1/2,1,2,other
258,48,107,41,3,0,repetition
261,72,107,41,0,0,repetition
266,62,110,42,1,2,other
275,69,114,44,0,0,repetition
280,62,117,45,1,0,repetition
300,53,125,48 1/2,1,5,other
304,63,127,49,1,1,other
308,62,129,49 1/2,2,11,other
313,70,130,50,0,0,repetition
343,57,142,55,2,0,repetition
368,65,152,58 1/2,2,0,repetition
378,62,155,60,1,0,repetition
379,67,155,60,0,0,repetition
384,55,158,61,1,2,other
