note,pitch,chord,bar,mapped voice,cost,category
30,67,13,6,0,0,repetition
35,55,17,7,3,0,repetition
42,67,21,8 1/4,1,0,repetition
47,62,23,9,0,0,repetition
57,58,28,11,2,0,repetition
107,62,49,19 1/2,1,0,repetition
108,65,50,19 3/4,0,0,repetition
114,57,53,21,2,0,repetition
117,62,54,21 1/2,1,0,repetition
131,62,59,24,2,2,other
154,50,69,27,3,0,repetition
172,57,78,30 1/2,2,3,other
219,67,97,37,0,0,repetition
230,67,102,39,0,0,repetition
268,62,121,46,2,4,other
282,53,129,48,3,0,repetition
285,70,129,48,0,0,repetition
304,65,137,51,0,0,repetition
323,67,145,54,0,0,repetition
364,62,162,61,2,5,other
376,62,166,63,0,3,other
389,58,171,65,2,3,other
390,62,171,65,1,2,other
400,63,176,66 3/4,1,3,other
415,53,181,69,2,0,repetition
427,60,186,71,1,2,other
434,57,189,72,1,3,other
476,62,206,79,2,5,other
488,62,210,81,0,3,other
501,58,215,83,2,3,other
502,62,215,83,1,2,other
512,63,220,84 3/4,1,3,other
527,53,225,87,2,0,repetition
539,60,230,89,1,2,other
546,57,233,90,1,3,other
