note,pitch,chord,bar,mapped voice,cost,category
5,55,2,1 1/1,2,0,repetition
12,62,4,2 1/2,1,0,repetition
13,66,4,2 1/2,0,4,ficta
41,62,16,5,1,0,repetition
45,62,17,5 1/1,2,0,repetition
52,67,20,6 1/2,2,12,other
56,65,21,6 1/1,0,5,other
63,53,24,7 3/4,3,6,other
71,67,27,8 1/2,0,0,repetition
74,55,29,8 1/1,2,7,other
75,58,29,8 1/1,1,4,other
93,67,36,10 1/1,2,10,other
97,66,37,11,2,11,other
108,65,40,12 1/2,1,0,repetition
118,58,45,13 1/1,3,0,repetition
126,51,48,14 1/1,3,0,repetition
133,58,50,15 1/2,2,0,repetition
134,60,50,15 1/2,0,5,other
137,53,52,15 1/1,3,0,repetition
154,60,57,17 1/2,1,0,repetition
180,60,66,20 3/4,2,2,other
190,66,70,21 1/1,0,3,ficta
202,60,77,23 1/2,2,0,repetition
207,65,79,23 1/1,0,0,repetition
208,63,80,23 5/4,2,1,ficta
221,60,86,25 1/2,1,2,other
225,63,87,25 1/1,2,0,repetition
232,58,90,26 1/1,1,3,ficta
235,58,91,27,1,1,other
258,67,100,29 1/1,0,0,repetition
260,59,101,30,2,1,ficta
298,62,116,34 1/2,2,0,repetition
305,62,118,35,1,7,other
311,70,120,35 1/2,0,0,repetition
346,58,136,39 5/4,1,3,other
365,59,146,42,2,1,ficta
420,60,168,48,1,2,other
425,67,170,48 1/2,0,0,repetition
430,67,172,48 1/1,1,5,other
