note,pitch,chord,bar,mapped voice,cost,category
4,45,2,2,3,0,repetition
5,52,2,2,2,0,repetition
6,57,2,2,1,0,repetition
7,60,2,2,0,0,repetition
23,55,8,5,1,0,repetition
34,62,12,6,0,0,repetition
35,53,13,6 1/4,1,1,other
50,62,20,8 1/2,2,0,repetition
81,45,35,14,3,0,repetition
100,48,44,17,3,0,repetition
103,65,44,17,0,0,repetition
118,53,53,19 3/4,3,2,other
121,62,54,20,0,0,repetition
136,62,61,23,1,0,repetition
145,50,66,24 1/2,3,0,repetition
156,65,70,25 1/2,0,1,ficta
164,62,74,26 1/2,1,5,other
167,57,75,27,2,0,repetition
198,55,89,32,2,0,repetition
218,48,99,36,3,0,repetition
219,60,99,36,2,0,repetition
227,62,102,37,0,0,repetition
232,45,105,38,3,0,repetition
249,53,111,40 1/2,3,0,repetition
258,50,115,41 1/2,3,0,repetition
260,65,115,41 1/2,0,0,repetition
283,62,125,45,0,0,repetition
301,55,132,48,2,5,other
304,52,134,48 1/2,2,0,repetition
309,60,136,49,1,0,repetition
328,55,146,52,2,2,other
347,62,154,55,0,0,repetition
374,57,166,60,1,2,other
380,41,169,61,3,0,repetition
381,57,169,61,2,0,repetition
383,65,169,61,0,0,repetition
395,62,174,63,0,0,repetition
409,58,181,65,1,6,other
417,43,185,66,3,0,repetition
436,62,194,68 1/4,0,0,repetition
454,62,202,71,1,0,repetition
466,65,206,72 1/2,0,3,other
598,57,267,93 1/2,2,0,repetition
600,64,268,93 3/4,0,0,repetition
616,55,275,96,2,5,other
